48 Vows of Amitābha Buddha as found in the Larger Sukhāvatīvyūha Sūtra. Each vow is condensed for clarity and easy reference.,,
#,Vow Title / Summary,Core Promise / Condition
1.0,"No Hell, Hungry Ghosts, or Animals","No beings in Pure Land will be reborn in hell, as hungry ghosts, or animals."
2.0,No Falling into Evil Realms,No beings in Pure Land will fall into the three evil realms.
3.0,Golden Bodies,All beings in Pure Land have bodies of genuine gold color.
4.0,No Distinction of Beauty/Ugliness,"All beings have equal appearance, no ugliness or nobility."
5.0,Remember Past Lives,All beings remember their past lives.
6.0,Divine Eye,All beings possess the divine eye (clairvoyance).
7.0,Divine Ear,All beings possess the divine ear (clairaudience).
8.0,Know Others’ Thoughts,All beings know the thoughts of others.
9.0,Know Others’ Past Lives,All beings know the past lives of others.
10.0,No Female Rebirth,"Women, after hearing Amitābha’s name, renounce female form and become men."
11.0,No Evil Thoughts or Acts,No beings have evil thoughts or commit evil acts.
12.0,Infinite Light,Amitābha’s light is infinite and illuminates all worlds.
13.0,Infinite Life,Amitābha’s life is infinite.
14.0,All Hear My Name,All beings in the ten directions hear Amitābha’s name.
15.0,Rebirth at Will,All beings can be reborn in Pure Land at will.
16.0,Attain Bodhisattva Stage,All beings attain the stage of non-retrogression.
17.0,Attain Buddhahood,All beings in Pure Land will become Buddhas.
18.0,Sincere Aspiration,Those who sincerely aspire to be reborn in Pure Land will be reborn there.
19.0,Aspiration and Practice,Those who plant roots of virtue and aspire to be reborn will be welcomed by Amitābha.
20.0,Dedication of Merit,Those who dedicate merit to rebirth in Pure Land will be reborn there.
21.0,See Amitābha at Death,All beings see Amitābha at the moment of death.
22.0,Equal Attainment of Samādhi,All beings attain equal samādhi and reach Buddhahood quickly.
23.0,Eloquence and Wisdom,All beings possess eloquence and wisdom.
24.0,Unlimited Preaching,All beings can preach Dharma everywhere.
25.0,Offerings to All Buddhas,All beings can make offerings to all Buddhas.
26.0,Possess Supernatural Powers,All beings possess supernatural powers.
27.0,Adorned with Virtue,All beings are adorned with virtue.
28.0,Heavenly Music and Fragrance,Pure Land abounds with heavenly music and fragrance.
29.0,Trees and Jewels,Trees and jewels in Pure Land radiate light and sound Dharma.
30.0,Rain of Flowers,"Flowers rain down from the sky, delighting all beings."
31.0,No Attachment or Defilement,No beings have attachment or defilement.
32.0,No Suffering,"No suffering, only joy, in Pure Land."
33.0,No Darkness or Night,No darkness or night in Pure Land.
34.0,No Heat or Cold,No extremes of heat or cold in Pure Land.
35.0,No Hunger or Thirst,No beings experience hunger or thirst.
36.0,Clothing and Ornaments,Clothing and ornaments appear spontaneously.
37.0,Satisfaction of Wishes,All wishes are instantly fulfilled.
38.0,No Aging or Sickness,No beings suffer aging or sickness.
39.0,No Gender Distinctions,No gender distinctions among beings.
40.0,No Slander or Quarrels,"No slander, quarrels, or disputes."
41.0,No Poverty or Want,No poverty or want in Pure Land.
42.0,No Evil Paths,No evil paths exist in Pure Land.
43.0,No False Views,No beings hold false or heretical views.
44.0,No Envy or Jealousy,No envy or jealousy among beings.
45.0,No Laziness,No laziness; all beings diligently cultivate virtue.
46.0,No Short Lifespans,No short lifespans; all beings live as long as Amitābha.
47.0,No Fear or Anxiety,No fear or anxiety in Pure Land.
48.0,Universal Salvation,All beings who sincerely call upon Amitābha will be saved and reborn in Pure Land.
,,
Notes:,,
,,
Each vow is a summary; the original sutra contains more detailed descriptions.,,
,,
"Some vows overlap in theme (e.g., absence of suffering, universal enlightenment).",,
,,
The 18th vow (“Primal Vow”) is especially central in Pure Land Buddhism: it promises rebirth to anyone who sincerely calls Amitābha’s name.,,
