,Abenaki,,Blackfoot,,Haida,,Ho-Chunk,,Hopi,,Innu,
,Azeban,Trickster,Apistotookii,Creator[1],Ta'xet,God of violent death[2],Red Horn,He Who Wears (Human) Faces on His Ears',Aholi,A kachina,Kanipinikassikueu,Provider of caribou[4]
,Gluskab,Kind protector of humanity,Napi,Trickster[1],Tia,Goddess of peaceful death[2],,,Angwusnasomtaka,"Crow Mother, a kachina",Matshishkapeu,Spirit of the anus[4]
,Malsumis,"Cruel, evil god",,,,,,,Kokopelli,"Fertility, flute player, a kachina",,
,Pamola,Bird spirit; causes cold weather,,,,,,,Kokyangwuti,"Creation, Spider grandmother[3]",,
,Tabaldak,The creator,,,,,,,Muyingwa,"Germination of seeds, a kachina",,
,,,,,,,,,Taiowa,"Sun spirit, creator",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inuit,Igaluk,Lunar deity,,,,,,,,,,
,Nanook,Master of bears,,,,,,,,,,
,Nerrivik,Sea mother and food provider,,,,,,,,,,
,Pinga,"Goddess of the hunt, fertility, and medicine",,,,,,,,,,
,Sedna,"Sea goddess, ruler of the underworld",,,,,,,,,,
,Torngasoak,Sky god,,,,,,,,,,
Iroquois,Adekagagwaa,Summer,,,,,,,,,,
,Gaoh,Wind god,,,,,,,,,,
,Gendenwitha,"Maiden, transformed into Morning Star by Dawn.",,,,,,,,,,
,Gohone,Winter,,,,,,,,,,
,Hahgwehdaetgan,God of evil. Twin of Hahgwehdiyu.,,,,,,,,,,
,Hahgwehdiyu,Creator; god of goodness and light. Twin of Hahgwehdaetgan.,,,,,,,,,,
,Onatha,Fertility,,,,,,,,,,
Klamath,Llao,God of the underworld,,,,,,,,,,
Kwakiutl,Kewkwaxa'we,Raven spirit,,,,,,,,,,
Lakota,Whope,Peace,,,,,,,,,,
,Wi,"Solar spirit, father of Whope",,,,,,,,,,
,Etu,Personification of time,,,,,,,,,,
Mi'kmaq,Niskam,The sun; architect,,,,,,,,,,
Miwok,Coyote,Trickster,,,,,,,,,,
Narragansett,Cautantowwit,Creator,,,,,,,,,,
Navajo,Asdzą́ą́ Nádleehé,"Creation deity, changing woman",,,,,,,,,,
,Bikʼeh Hózhǫ́,Personification of speech,,,,,,,,,,
,Haashchʼéé Oołtʼohí,Deity of the hunt,,,,,,,,,,
,Haashchʼééłtiʼí,"The Talking god, god of the dawn and the east",,,,,,,,,,
,Hashchʼéoghan,"The House-god, god of evening and the west",,,,,,,,,,
,Niltsi,Wind god,,,,,,,,,,
,Tó Neinilii,"Water sprinkler', rain god",,,,,,,,,,
,Jóhonaaʼéí,Sun,,,,,,,,,,
,Yoołgai Asdzą́ą́,"White-shell woman', lunar deity",,,,,,,,,,
,Mą’ii,Coyote trickster god,,,,,,,,,,
,Black God,"Creator of the stars, god of fire",,,,,,,,,,
,,See also Diné Bahaneʼ,,,,,,,,,,
Pawnee,Pah,Lunar deity,,,,,,,,,,
,Shakuru,Solar deity,,,,,,,,,,
,Tirawa,Creator,,,,,,,,,,
Salish,Amotken,Supreme deity,,,,,,,,,,
Seneca,Eagentci,Sky goddess,,,,,,,,,,
,Hagones,Trickster,,,,,,,,,,
,Hawenniyo,A fertility god,,,,,,,,,,
,Kaakvha,Solar deity,,,,,,,,,,
Sioux,Haokah,Sacred clown,,,,,,,,,,
,Anpao,Spirit with two faces that represents the dawn,,,,,,,,,,
Snohomish,Dohkwibuhch,Creator,,,,,,,,,,
Taíno,Yaya (Hayah),Supreme God/Great Spirit,,,,,,,,,,
,Yaya'al/Yayael (YasHayah),The son of Yaya (Hayah),,,,,,,,,,
