Tradition,Name/Term,Description,Significance
Greek,"Titans, Gigantes","Titans are primordial deities born of Gaia (Earth) and Uranus (Sky), rulers during the Golden Age. Gigantes fought the Olympians in the Gigantomachy.","The Titans are overthrown by the Olympian gods in the Titanomachy, representing the shift from an older cosmic order. The gigantes were forces of chaos subdued by the Olympians to establish order after the Titans."
Mesopotamian,Anunnaki,Primordial gods associated with creation and the underworld in Sumerian and Akkadian mythology.,"Symbolize ancient divine beings, often seen as precursors to later gods."
Hebrew/Biblical,"Nephilim, Rephaite or Repha'im","Giant offspring of the ""sons of God"" and the ""daughters of men"" mentioned in the Book of Genesis.","Likely reflect ancient, powerful beings that were replaced by the new order following the Great Flood."
Vedic (Indian),"Asuras, Daitya, Nivatakavacha, Danavas","Initially powerful deities who later became demons, antagonists of the Devas (gods).",Represent an earlier generation of divine beings who were supplanted by the Devas in later Hindu mythology.
Buddhist,"Asuras, Giant Buddhas","In Buddhist cosmology, Asuras are powerful demigods in constant conflict with the Devas. Buddhas from past cosmic cycles, often depicted as enormous beings.","Reflect older beings who oppose the Devas, symbolizing the eternal struggle between order and chaos. Giant Buddhas represent earlier, grander epochs of spiritual power, analogous to previous divine or giant generations."
Jain,"Asuras, Giant Tirthankaras","In Jainism, Asuras are considered malevolent beings who oppose righteousness and truth. Earlier Tirthankaras, like Rishabhanatha, are described as giants in ancient cosmic cycles.","Although less central, they symbolize opposition to cosmic and spiritual order, likely representing older forces. Represent a previous generation of larger-than-life enlightened beings, reflecting a grander spiritual past."
Norse,Jotunn (Jötnar),"Giants associated with chaos and nature, often opposed to the Aesir gods.",Represent primal forces and an earlier generation that predates the human world.
Celtic,Fomorians,Ancient supernatural giants and enemies of the gods and humans in Irish mythology.,"Represent the chaotic forces that had to be overcome by the newer gods, the Tuatha Dé Danann."
Persian,"Daeva, Div, or dev",Malevolent giants and spirits opposed to Ahura Mazda in Zoroastrianism.,"Reflect a cosmic battle between older, chaotic beings and the forces of order led by Ahura Mazda. Although they are not explicitly mentioned within canonical Islamic scriptures, their existence was well accepted by most Muslims just like that of other supernatural creatures."
Proto-Indo-European (PIE),Manu and Yemo,In some references in other PIE traditions Many and Yemo are considered giants.,"Suggests that PIE cosmology likely included giant adversaries or beings, which influenced later Indo-European myths of giants like the Titans, Jotunn, and Asuras."
