,,,,
,,,,
Practice / Ritual / Prayer,Type,Description / Purpose,Source Texts (Chapter/Verse or Classical Source),Notes on Denomination/Tradition
"Shacharit, Mincha, Ma’ariv",Prayer,"Morning, afternoon, and evening daily prayers","Torah (Daniel 6:11), Talmud (Berakhot 26b)",All; Mussaf added on Shabbat/holidays5
Shema Yisrael,Prayer,"Declaration of faith: “Hear O Israel, the Lord is our God, the Lord is One”",Deuteronomy 6:4,All5
Amidah (Shemoneh Esrei),Prayer,Central standing prayer in each service,Mishnah Berakhot 4:3,All5
Mussaf,Prayer,Additional service on Sabbaths and festivals,Numbers 28:9-10,All5
Birkat Hamazon,Prayer,Grace after meals,Deuteronomy 8:10,All5
Blessings (Berakhot),Prayer,"Blessings before/after food, upon performing mitzvot, etc.",Talmud Berakhot,All5
Rosh Hashanah,Holiday,"Jewish New Year, introspection, shofar blowing, festive meals",Leviticus 23:23-25,All1
Yom Kippur,Holiday,"Day of Atonement, fasting, prayer, repentance","Leviticus 16, 23:26-32",All1
Passover (Pesach),Holiday/Ritual,"Commemorates Exodus, Seder meal, no leavened bread","Exodus 12, Leviticus 23:5-8",All8
Sukkot,Holiday/Ritual,"Festival of Booths, eating/living in sukkah, waving four species",Leviticus 23:33-43,All8
Shavuot,Holiday,"Festival of Weeks, commemorates giving of Torah",Leviticus 23:15-22,All8
Hanukkah,Holiday,"Festival of Lights, lighting menorah, commemorates Maccabean victory",Talmud Shabbat 21b,All
Purim,Holiday,"Commemorates Esther story, reading Megillah, gifts to poor",Book of Esther,All
Sabbath (Shabbat),Weekly Ritual,"Day of rest, candle lighting, Kiddush, no work","Exodus 20:8-11, 31:12-17",All8
Kashrut (Kosher laws),Dietary Law,"Permitted/forbidden foods, separation of meat/dairy","Leviticus 11, Deuteronomy 14",All8
Tefillin,Ritual Object,Phylacteries worn during weekday morning prayers,"Deuteronomy 6:8, 11:18","Orthodox, Conservative"
Tallit,Ritual Object,Prayer shawl with fringes worn during prayer,Numbers 15:38-39,All
Mezuzah,Ritual Object,Scroll affixed to doorposts,"Deuteronomy 6:9, 11:20",All
Circumcision (Brit Milah),Life-Cycle Ritual,Covenant of circumcision for male infants,Genesis 17:10-14,All
Bar/Bat Mitzvah,Life-Cycle Ritual,"Coming-of-age ceremony at 13 (boys), 12/13 (girls)",Mishnah Avot 5:21,All
Marriage (Kiddushin/Nissuin),Life-Cycle Ritual,Jewish wedding ceremony,Talmud Kiddushin,All8
"Mourning (Shiva, Kaddish)",Life-Cycle Ritual,"Mourning practices, recitation of Kaddish prayer",Talmud Moed Katan 27b,All
Mikveh,Ritual,Ritual immersion for purity,"Leviticus 15, Numbers 19","Orthodox, Conservative"
Tzedakah,Ethical Practice,Charity and social justice,"Deuteronomy 15:7-8, Talmud Pe’ah 1:1",All4
Study of Torah,Religious Duty,Study of sacred texts,"Joshua 1:8, Deuteronomy 6:7, Talmud Berakhot 63b",All4
Hasidic Tish,Hasidic Ritual,"Communal meal/gathering with Rebbe, singing, storytelling",Hasidic tradition,Hasidic7
Hitbodedut,Hasidic/Kabbalistic,"Personal, secluded prayer/meditation",Teachings of Rebbe Nachman of Breslov,"Hasidic, Kabbalistic"
Kabbalat Shabbat,Ritual/Prayer,Welcoming the Sabbath with psalms and “Lecha Dodi”,"Kabbalistic, 16th-century Safed","All, esp. Hasidic, Kabbalistic"
Lag BaOmer Bonfire,Custom,"Commemorates Rabbi Shimon bar Yochai, bonfires, pilgrimages","Talmud Yevamot 62b, Kabbalistic tradition","All, esp. Hasidic, Kabbalistic"
Tikkun Leil Shavuot,Kabbalistic Ritual,All-night Torah study on Shavuot,"Kabbalistic, Zohar","All, esp. Kabbalistic"
Yahrzeit Candle,Custom,Lighting candle on anniversary of death,Talmud Shabbat 23b,All
Kapparot,Ritual/Custom,Pre-Yom Kippur atonement ritual with chicken or money,"Medieval sources, Shulchan Aruch Orach Chaim 605","Orthodox, Hasidic"
Wearing Shtreimel/Spodik,Hasidic Custom,Distinctive fur hats worn on Sabbath/festivals,Hasidic tradition,Hasidic
Modesty Laws (Tzniut),Ethical/Legal,Dress codes for men and women,"Talmud Berakhot 24a, Shulchan Aruch","Orthodox, Hasidic8"
Arranged Marriage,Custom,Matches arranged by family or Rabbi,"Talmud Kiddushin 2b, tradition","Orthodox, Hasidic8"
Prohibition of Work on Shabbat,Law,"No work, use of electricity, driving, etc.","Exodus 20:10, Mishnah Shabbat","Orthodox, Hasidic8"
Prohibition of Tattoos/Shaving,Law,Tattoos and shaving with a razor are forbidden,"Leviticus 19:28, Talmud Makkot 21a","Orthodox, Hasidic8"
Counting the Omer,Ritual,Counting days between Passover and Shavuot,Leviticus 23:15-16,All
Wearing Payot (sidelocks),Custom/Law,Not shaving sides of head,"Leviticus 19:27, Talmud Makkot 20a","Orthodox, Hasidic"
Kiddush Levana,Ritual/Prayer,Blessing over the new moon,Talmud Sanhedrin 42a,All
Simchat Torah,Holiday,Celebration of completing and restarting Torah reading,"Medieval, post-Talmudic",All
Selichot,Prayer,Penitential prayers prior to High Holidays,"Medieval, Talmudic tradition","All, esp. Orthodox"
Hoshana Rabbah,Ritual/Holiday,Beating willow branches during Sukkot,Talmud Sukkah 44a,All
,,,,
Notes:,,,,
,,,,
"Halakha (Jewish law) is the overarching framework for all these practices, codified in sources like the Mishnah, Talmud, Shulchan Aruch, and later responsa6.",,,,
,,,,
"Hasidic and Kabbalistic customs often add mystical or communal dimensions to standard practices, such as ecstatic prayer, storytelling, and specific dress7.",,,,
,,,,
"Many practices are shared across all denominations but may be interpreted or emphasized differently (e.g., role of women, frequency, language of prayer)58.",,,,
,,,,
Sources:,,,,
,,,,
"Torah (Pentateuch): Genesis, Exodus, Leviticus, Numbers, Deuteronomy",,,,
,,,,
Talmud: Mishnah and Gemara (various tractates),,,,
,,,,
Shulchan Aruch: Standard code of Jewish law,,,,
,,,,
Zohar: Foundational Kabbalistic text,,,,
,,,,
Hasidic tradition: Oral and written teachings of Hasidic masters,,,,
,,,,
"For more detailed references, consult the Shulchan Aruch, Mishnah, Talmud, and the Zohar for Kabbalistic rituals675. For contemporary customs and denominational variations, see guides to Jewish practice and ethnographic studies148.",,,,
Citations:,,,,
https://www.ajc.org/news/a-short-guide-to-jewish-religion-and-culture,,,,
https://www.pewresearch.org/religion/2021/05/11/jewish-practices-and-customs/,,,,
https://www.bop.gov/foia/docs/judaism_religious_practices.pdf,,,,
https://www.jewishlives.nz/faith/daily-life-and-rituals,,,,
https://en.wikipedia.org/wiki/Judaism,,,,
https://en.wikipedia.org/wiki/Halakha,,,,
https://dokumen.pub/studying-hasidism-sources-methods-perspectives-9781978804258.html,,,,
https://hhs.iowa.gov/media/12913/download?inline,,,,
https://www.edu.gov.mb.ca/k12/docs/support/world_religions/judaism/change-evolution.pdf,,,,
,,,,
Answer from Perplexity: pplx.ai/share,,,,
