Complete Historical Table of Christian Schisms,,,,,,
Time Period,Schism Name,Core Differences/Practices,Key Texts,Key Figures/Groups,Description of Events,Outcome/Impact
c. 150 CE,Marcionist Schism,Rejection of Old Testament; dualistic theology; edited New Testament canon,"Marcion's Gospel, Apostolikon",Marcion of Sinope,Marcion excommunicated in Rome (144 CE); founded rival church,First major schism; influenced Gnostic movements
c. 156 CE,Montanist Schism,Ecstatic prophecy; asceticism; imminent apocalypticism,Oracles of Montanus,"Montanus, Priscilla, Maximilla",Spread in Phrygia; claimed new revelation,Condemned as heretical; influenced later charismatic movements
100-200 CE,Monarchianist Schism,Denial of Trinity (Modalism/Adoptionism),-,"Theodotus of Byzantium, Praxeas",Early Christological debates,Precursor to Nicene controversies
c. 200 CE,Sabellianist/Patripassianist Schism,Modalist Trinity (one God in three modes),-,Sabellius,Rejected personal distinctions in Trinity,Condemned by early Church Fathers
250 CE onward,Novatianist Schism,Rigorist stance against readmitting lapsed Christians,De Trinitate (Novatian),Novatian,Split after Decian persecution,Survived until 8th century in isolated communities
300-500 CE,Donatist Schism,"Sacramental validity of ""traitor"" clergy",Acts of the Abitinian Martyrs,"Donatus Magnus, Circumcellions",North African conflict post-Diocletian persecution,Suppressed after Muslim conquest of Africa
325 CE,Arian Schism,Denial of Christ's full divinity,"Thalia (Arius), Nicene Creed","Arius, Eusebius of Nicomedia",Council of Nicaea condemned Arianism,Dominated Germanic Christianity until 6th century
325 CE,Quartodeciman Schism,Easter date controversy (Passover vs Sunday),-,Polycarp of Smyrna,Debate over calculating Easter,Resolved at First Council of Nicaea
342 CE,Macedonian Schism,"Denial of Holy Spirit's divinity (""Pneumatomachoi"")",-,Macedonius I of Constantinople,Post-Nicene Trinitarian disputes,Addressed at First Council of Constantinople
355 CE,Luciferian Schism,Rigorist opposition to Arian compromises,-,Lucifer of Cagliari,Reaction to semi-Arian bishops,Short-lived separatist movement
381 CE,Apollinarist Schism,Christ had divine Logos but not human mind,Apollinaris' treatises,Apollinaris of Laodicea,Christological controversy,Condemned at First Council of Constantinople
c. 376 CE,Collyridian Schism,Marian worship with bread offerings (female priesthood),-,Arabian sect,Early extreme Marian devotion,Condemned by Epiphanius of Salamis
431 CE,Nestorian Schism,Two distinct persons in Christ (vs. Theotokos),Bazaar of Heracleides,Nestorius,Council of Ephesus condemnation,Formation of Church of the East
451 CE,Eutychian Schism,Monophysitism (one divine nature),-,Eutyches of Constantinople,Rejected Chalcedonian Definition,Condemned at Council of Chalcedon
451 CE,Monophysite Schism,Rejection of Chalcedon (Oriental Orthodoxy),Encyclicals of Dioscorus,Dioscorus of Alexandria,Split after Chalcedon,Formation of Coptic/Syriac/Armenian Churches
484-519 CE,Acacian Schism,Henotikon compromise document,Henotikon (Zeno),Acacius of Constantinople,35-year East-West communion break,Resolved under Justin I
553 CE,Schism of the Three Chapters,Controversy over condemned Nestorian writings,Judgment of Three Chapters,Justinian I,Second Council of Constantinople,Temporary Western dissent
610 CE,Armenian Apostolic Schism,Formal break with Chalcedonian Christianity,Armenian Church Liturgy,-,National church consolidation,Solidified Oriental Orthodox identity
629-681 CE,Monothelite Schism,Christ had one will (imperial compromise),Ekthesis (Sergius I),"Honorius I, Cyrus of Alexandria",Attempt to reconcile Monophysites,Condemned at Third Council of Constantinople
726-787 CE,First Iconoclast Schism,Destruction of religious images,Horos (Council of Hieria),Leo III the Isaurian,Imperial iconoclasm,Reversed at Second Council of Nicaea
814-843 CE,Second Iconoclast Schism,Renewed image destruction,-,Leo V the Armenian,Second wave of iconoclasm,"""Triumph of Orthodoxy"" 843 CE"
1054 CE,Great East-West Schism,"Filioque, papal primacy, liturgy",Mutual excommunications,"Michael I Cerularius, Leo IX",Permanent split between Rome and Constantinople,Catholic-Orthodox division
1130-1138 CE,Papal Schism of 1130,Dual papal election (Anacletus II vs Innocent II),-,Anacletus II,Political manipulation of papacy,Resolved at Second Lateran Council
