Comprehensive Achaemenid Dynasty Genealogy,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Spouse(s) / Consorts,Children,How They Died / Fate,Notes,,,,,,,,,,,,,,,,,,,,,
Achaemenes,Aryanam (traditional/legendary wife),"Teispes, Ariaramnes (according to some traditions)",Unknown (c. 675 BCE),"Legendary founder of the dynasty; semi-mythical figure who ruled c. 705-675 BCE in Persis region; name means ""having a friend's mind""",,,,,,,,,,,,,,,,,,,,,
Teispes,Unknown,"Cyrus I, Ariaramnes",Natural causes (c. 640 BCE),King of Anshan; expanded the territory; divided his kingdom between his sons - Cyrus I received Anshan and Ariaramnes received Persis,,,,,,,,,,,,,,,,,,,,,
Cyrus I,Argoste (traditional name),"Cambyses I, Arukku",Unknown (c. 600 BCE),"King of Anshan; mentioned in Babylonian texts as ""king of Parsumash""; maintained independence from Median Empire",,,,,,,,,,,,,,,,,,,,,
Ariaramnes,Unknown,Arsames,Unknown (c. 615 BCE),"Ruled Persis region; mentioned in his inscriptions as ""Great King, King of Kings""",,,,,,,,,,,,,,,,,,,,,
Arsames,Unknown,Hystaspes,Unknown (c. 575 BCE),Grandfather of Darius I; maintained control of Persis; contemporary with Cyrus II,,,,,,,,,,,,,,,,,,,,,
Cambyses I,Mandane of Media (daughter of Astyages),"Cyrus II (the Great), Bardiya (disputed), Atusa (daughter)",Unknown (c. 559 BCE),Vassal king under Median rule; marriage to Mandane was a political alliance with the Medes,,,,,,,,,,,,,,,,,,,,,
Cyrus II (the Great),"Cassandane (principal wife, Achaemenid), Amytis of Media (political marriage, daughter of Astyages), Nitetis (Egyptian princess, disputed)","Cambyses II, Bardiya (Smerdis), Atossa, Roxane, Artystone, Hystaspes (mentioned by some sources)",Killed in battle (530 BCE against the Massagetae tribe led by Queen Tomyris),"Founder of the Persian Empire (550-530 BCE); conquered Media, Lydia, Babylonia; referred to as ""King of the Four Corners of the World""; issued Cyrus Cylinder; allowed Jews to return to Jerusalem",,,,,,,,,,,,,,,,,,,,,
Cassandane,Cyrus II,"Cambyses II, Bardiya, Atossa, Artystone",Natural causes (c. 538 BCE),Principal wife of Cyrus; highly respected; Cyrus reportedly mourned her death publicly,,,,,,,,,,,,,,,,,,,,,
Amytis of Media,Cyrus II,(No confirmed children),Unknown,Daughter of Median King Astyages; marriage sealed alliance; some historians question this marriage,,,,,,,,,,,,,,,,,,,,,
Cambyses II,"Phaidyme (daughter of Otanes), Atossa (his sister, disputed), Roxane (his sister, disputed), Nitetis (Egyptian princess, disputed)",No confirmed children,"Death in Syria (522 BCE) - either suicide, accident, or assassination","Ruled 530-522 BCE; conquered Egypt (525 BCE); implemented dual Egyptian-Persian titulature; portrayed negatively by Greek historians; called himself ""King of Egypt""",,,,,,,,,,,,,,,,,,,,,
Bardiya (Smerdis),"Phaidyme (widow of Cambyses II), several unnamed wives",No confirmed children,Assassinated (522 BCE by Darius I and six conspirators),Brief reign in 522 BCE; possibly an impostor named Gaumata according to Darius' Behistun Inscription; controversy remains over his true identity,,,,,,,,,,,,,,,,,,,,,
Phaidyme,"Cambyses II, then Bardiya",No confirmed children,Unknown,"Daughter of nobleman Otanes; helped expose the alleged ""False Smerdis"" (Gaumata) according to Herodotus",,,,,,,,,,,,,,,,,,,,,
Otanes,Unknown,"Phaidyme, Amestris, unnamed daughters",Unknown,"Persian nobleman; one of the seven conspirators against ""False Smerdis""; father-in-law to royal family members",,,,,,,,,,,,,,,,,,,,,
Gobryas,Unknown,"Daughter who married Darius I, Mardonius (general)",Unknown,"Persian nobleman; one of the seven conspirators against ""False Smerdis""; father-in-law to Darius I",,,,,,,,,,,,,,,,,,,,,
Darius I (the Great),"Atossa (daughter of Cyrus II, chief wife), Artystone (daughter of Cyrus II), Parmys (daughter of Bardiya), Phratagune (daughter of Artanes), daughter of Gobryas, daughter of Otanes","Xerxes I, Artobazanes, Masistes, Hystaspes, Achaemenes, Ariamenes, Arsames, Gobryas II, Abrocomes, Hyperantes, Artazostre, Mandane, Rhodogune",Natural causes (486 BCE),Ruled 522-486 BCE; reorganized empire into satrapies; standardized currency (daric); expanded empire; built Persepolis; implemented Royal Road postal system; invaded Greece (First Persian War),,,,,,,,,,,,,,,,,,,,,
Atossa (daughter of Cyrus II),"Cambyses II (brother, disputed), Bardiya (brother, disputed), Darius I","Xerxes I, possibly other children",Unknown (after 490 BCE),Extremely influential queen; ensured her son Xerxes became king despite not being firstborn; mentioned by Herodotus as having significant political power,,,,,,,,,,,,,,,,,,,,,
Artystone (daughter of Cyrus II),Darius I,"Arsames, Gobryas II, other children",Unknown,Favorite wife of Darius according to Herodotus; had a golden statue made of her,,,,,,,,,,,,,,,,,,,,,
Parmys (daughter of Bardiya),Darius I,"Ariomardos, possibly others",Unknown,Marriage legitimized Darius' claim to throne by connecting him to Cyrus II's family,,,,,,,,,,,,,,,,,,,,,
Phratagune (daughter of Artanes),Darius I,"Several children, names uncertain",Unknown,Royal wife; Artanes was Darius' brother,,,,,,,,,,,,,,,,,,,,,
Artobazanes,Unknown,"Several children, names uncertain",Unknown,Eldest son of Darius I; lost succession to Xerxes I,,,,,,,,,,,,,,,,,,,,,
Masistes,Unknown,"Artayntes, other children",Executed by Xerxes (c. 478 BCE),Son of Darius I; satrap of Bactria; killed in revolt against Xerxes,,,,,,,,,,,,,,,,,,,,,
Xerxes I,"Amestris (principal wife, daughter of Otanes), Esther (Biblical figure, disputed/legendary), Vashti (Biblical figure, disputed/legendary)","Artaxerxes I, Darius, Hystaspes, Achaemenes, Rhodogune, Amytis","Assassinated (465 BCE by Artabanus, commander of the royal bodyguard)",Ruled 486-465 BCE; suppressed Egyptian revolt; expanded Persepolis; defeated at Salamis and Plataea; known for crossing the Hellespont with massive bridges of boats,,,,,,,,,,,,,,,,,,,,,
Amestris,Xerxes I,"Artaxerxes I, Darius, Hystaspes, Achaemenes, Rhodogune, Amytis",Unknown (after 465 BCE),Known for her cruelty in Herodotus' accounts; powerful queen mother during Artaxerxes I's early reign,,,,,,,,,,,,,,,,,,,,,
Artaxerxes I,"Damaspia (chief wife), Cosmartidene (Babylonian), Alogyne (concubine), Andia (concubine), numerous others","Xerxes II (by Damaspia), Sogdianus (by Alogyne), Darius II/Ochus (by Cosmartidene), Parysatis (by Andia), Arsites, Bagapaeus, others",Natural causes (424 BCE),"Ruled 465-424 BCE; known as ""Artaxerxes Longimanus"" for his long right hand; faced revolts in Egypt; maintained peace with Greece (Peace of Callias); Jewish tradition associates him with events in Book of Ezra",,,,,,,,,,,,,,,,,,,,,
Damaspia,Artaxerxes I,Xerxes II,Died same day as Artaxerxes I (424 BCE),Principal wife; her son was the legitimate heir,,,,,,,,,,,,,,,,,,,,,
Xerxes II,Unknown,No confirmed children,"Murdered (424 BCE, by his half-brother Sogdianus)",Ruled only 45 days in 424 BCE; killed while drunk after a festival,,,,,,,,,,,,,,,,,,,,,
Sogdianus,Unknown,No confirmed children,"Executed (423 BCE, by Darius II/Ochus)",Illegitimate son of Artaxerxes I; ruled for 6-7 months; killed by suffocation in ashes,,,,,,,,,,,,,,,,,,,,,
