"Scythian, Saka and Related Steppe Tribes: Religious Elements",,,,,,,,
Deity/Divine Being,Associated Tribes,Functions/Domains,Descriptions/Attributes,Greek Equivalent,Historical Sources,,,
Tabiti,Pontic Scythians,"Supreme goddess, hearth, fire, sovereignty",Most venerated deity; central to royal oaths; represented by sacred hearth fires,Hestia,"Herodotus, archaeological evidence from kurgan burials",,,
Papaios,Pontic Scythians,"Sky father, thunder, rulership",Husband of Api; father of gods; associated with open sky,Zeus,"Herodotus, iconography on gold artifacts",,,
Api,Pontic Scythians,"Earth, fertility, motherhood",Consort of Papaios; associated with snakes and earth,Gaia,"Herodotus, female figurines",,,
Oitosyros/Goitosyros,Pontic Scythians,"Sun, light, oaths",Solar deity; overseer of oaths; associated with gold,Apollo,"Herodotus, solar imagery on artifacts",,,
Artimpasa/Argimpasa,"Pontic Scythians, Sarmatians","Fertility, sovereignty, war, female power",Dual nature: fertility goddess and warrior protector; associated with sacred prostitution,Aphrodite Urania (Celestial Aphrodite),"Herodotus, gold plaques showing goddess with weapons",,,
Thagimasadas,"Pontic Scythians, Royal Scythians","Water, horses, oaths",Associated with river crossings and water sources,Poseidon,Herodotus,,,
Targitaos,Royal Scythians,"Divine ancestor, founder",Son of Zeus/Papaios and a daughter of the Borysthenes River; father of three sons who founded Scythian tribes,None specific,Herodotus,,,
Kolaxais,Royal Scythians,"Divine ancestor, royal legitimacy",Youngest son of Targitaos; progenitor of royal Scythian line; successfully handled the burning golden objects,None specific,Herodotus,,,
Lipoxais,Auchatae tribe,Tribal ancestor,Eldest son of Targitaos; progenitor of Auchatae tribe,None specific,Herodotus,,,
Arpoxais,Catiari and Traspian tribes,Tribal ancestor,Middle son of Targitaos; progenitor of Catiari and Traspian tribes,None specific,Herodotus,,,
Agathyrsos,Agathyrsi tribe,Tribal ancestor,Eldest son of Heracles and the snake-woman; founder of Agathyrsi tribe,None specific,Herodotus,,,
Gelonos,Geloni tribe,Tribal ancestor,Middle son of Heracles and the snake-woman; founder of Geloni tribe,None specific,Herodotus,,,
Scythes,Royal Scythians,"Tribal ancestor, eponymous founder",Youngest son of Heracles and the snake-woman; founder of Scythian people,None specific,Herodotus,,,
Saka Warrior God,Saka tribes,"War, courage, victory",Depicted in martial stance with weapons; patronage of warriors,Ares,Archaeological evidence from Saka burials,,,
"""Master of Animals""",All steppe groups,"Wildlife, hunting, wilderness",Depicted controlling wild animals; mediator between human and animal realms,None specific,"""Animal style"" art, especially belt plaques",,,
Sword God (Akinakes),Pontic Scythians,"War, oaths, sacrifices",Anthropomorphized weapon; received sacrifices (especially blood),Ares,"Herodotus, archaeological finds of ritual swords",,,
Female Water Deity,Massagetae,"Rivers, fertility, purification",Associated with water crossings and cleansing rituals,None specific,"Archaeological evidence, comparative mythology",,,
Snake-legged Goddess,Pontic Scythians,"Chthonic power, autochthony",Mixed form deity with snake lower body; possible earth association,Echidna (partially),"Gold plaques, vessel decorations",,,
Sun Deity,Massagetae,"Sun, light, cosmic order",Primary deity of Massagetae; received horse sacrifices,Helios,"Herodotus, solar symbolism in burials",,,
Siberian/Altai Mountain Spirit,Eastern Saka,"Mountains, weather, prosperity",Protective spirit of sacred mountains; bringer of weather,None specific,Archaeological context of mountain burials,,,
Arimaspian Cycle Deities,Northern Scythian/Saka groups,Cosmic gold guardians,One-eyed beings in eternal conflict with gold-guarding griffins,None specific,Aristeas of Proconnesus (via Herodotus),,,
Ancestral Spirits,All steppe groups,"Protection, guidance, legitimacy",Revered dead ancestors believed to intercede for the living,"Heroes, Manes","Kurgan evidence, ritual deposits",,,
Fire Spirit/Deity,All Iranian groups,"Purification, transformation, hearth",Manifestation of sacred flame; mediator between worlds,Hestia (partially),"Ritual hearths, fire altars",,,
Simargl,Late Scythian/Sarmatian,"Guardian, mediator",Winged dog-like creature; protector against evil,None specific,Iconography on artifacts,,,
Object,Associated Tribes,Religious Function,Description,Archaeological Evidence,,,,
Akinakes (Sacred Dagger),All Scythian/Saka groups,"Sacrifices, oaths, divine representation",Short sword/dagger; symbol of male warrior status; used in sacrifice,Numerous examples in burials; oversized ceremonial versions,,,,
Sacred Cauldrons,All Scythian/Saka groups,"Ritual feasting, sacrifice, communion",Large bronze vessels; used in communal rituals and preparation of sacred meals,Found throughout Scythian territories; especially large examples at Chertomlyk,,,,
Golden Emblems,Royal Scythians,"Divine kingship, tribal identity","Celestial golden objects (plow, yoke, axe, cup) from origin myth",Gold artifacts matching descriptions found in royal burials,,,,
Kurgan Stelae,All steppe groups,"Ancestor representation, territorial marking",Stone anthropomorphic figures marking burial sites; often with weapons and regalia,Numerous examples across steppe region,,,,
Sacred Standards,All Scythian/Saka groups,"Tribal/clan identity, battle magic",Poles topped with animal figures (especially horses); tribal rallying points,Pazyryk felt standards; descriptions in historical sources,,,,
Mirror Discs,"All steppe groups, especially Sarmatian","Divination, sun symbol, otherworld portal",Metal (typically bronze) mirrors; often decorated with animal motifs,Common in female burials; ritual contexts,,,,
Smoking Censers,All Scythian/Saka groups,"Purification, altered consciousness",Small braziers for burning cannabis and other substances,Stone and metal examples found throughout territory,,,,
Ceremonial Masks,Eastern Saka,"Transformation, ritual impersonation","Gold, leather, or felt masks representing deities or spirits",Pazyryk burials; Issyk Golden Man,,,,
Animal Effigies,All steppe groups,"Totem animals, spirit helpers",Carved figures of predatory animals and mythical creatures,"Ubiquitous in ""animal style"" art",,,,
Ritual Vessels,All steppe groups,"Libations, ritual drinking","Rhytons, cups, and bowls with religious iconography",Numerous examples in precious metals,,,,
Horse Gear,All steppe groups,"Sacred animal equipment, status","Decorated bridles, saddles, and horse coverings with religious symbols","Found in burials, especially elite interments with sacrificed horses",,,,
Ceremonial Clothing,All steppe groups,"Ritual status, otherworld journey",Elaborate garments with symbolic designs for ritual occasions,"Preserved examples from frozen tombs (Pazyryk, Arzhan)",,,,
Felt Appliqué Art,Eastern Saka,"Sacred narratives, protection",Decorative felt pieces with mythological scenes,Pazyryk and other frozen tombs,,,,
War Axes,"Royal Scythians, warrior class","Symbolic authority, sacred weapon",Battle and ceremonial axes; symbol of divine authority,Elite warrior burials,,,,
Headdresses,All steppe groups,"Status, cosmic connection","Pointed caps (Saka), elaborate headgear with cosmic symbolism","Issyk Golden Man, Pazyryk burials",,,,
Tattoos,Eastern Scythian/Saka,"Permanent religious marking, status",Animal and mythological designs permanently marked on skin,"Preserved examples on mummies from Pazyryk, Ukok Plateau",,,,
Cannabis Seeds/Plants,All steppe groups,"Ritual purification, altered consciousness",Used in vapor baths and smoking rituals,Seed finds in ritual contexts; residue in censers,,,,
Fire Altars,All Iranian steppe groups,Sacred flame maintenance,Platforms or structures for maintaining ritual fires,Archaeological remains at settled sites,,,,
Libation Tubes,Pontic Scythians,Offerings to the underworld,Tubes leading into graves for liquid offerings,Found in some kurgan structures,,,,
Ritual Kettledrums,Eastern Saka,"Shamanic journeying, ceremonial music",Metal drums used in religious ceremonies,Finds in Altai region burials,,,,
Practice,Associated Tribes,Purpose,Description,Historical/Archaeological Evidence,,,,
Horse Sacrifice,All steppe groups,"Supreme offering, funerary rite",Ritual killing of horses; positioning of bodies around kurgans,Horse burials throughout territory; especially elaborate in royal kurgans,,,,
Blood-Oath Ceremony,Pontic Scythians,"Binding agreements, brotherhood",Mixing blood with wine in a vessel; drinking by all participants,Described by Herodotus; special vessels found,,,,
Ritual Cannabis Use,Pontic Scythians,"Purification, altered consciousness",Hemp seeds thrown on hot stones in enclosed tents for vapor bath,Described by Herodotus; archaeological evidence of censers and seeds,,,,
Scapulimancy,All steppe groups,Divination,Reading cracks in heated sheep shoulder blades,Burned scapulae found in ritual contexts,,,,
Funerary Feasting,All steppe groups,"Honoring dead, community bonding",Elaborate meals at funeral sites; food and drink offerings,Food remains in burial contexts; special serving equipment,,,,
Scalping,Pontic Scythians,"Trophy taking, power appropriation",Removal of enemy scalps; use as ritual trophies,Described by Herodotus; possible archaeological evidence,,,,
Secondary Burial,Some Saka groups,Ancestral veneration,Exhumation and reburial of bones after defleshing,Archaeological evidence from some burial contexts,,,,
Royal Funerals,Royal Scythians,Elite passage to afterlife,Elaborate procession through territories; multiple sacrifices,Described by Herodotus; archaeological evidence of complex burial structures,,,,
Hearth Cult,All steppe groups,"Honoring Tabiti, domestic ritual",Maintenance of sacred fires; household offerings,Central hearths in dwellings; special fire-tending equipment,,,,
Initiation Rituals,Warrior class,Transition to adulthood/warrior status,First kill ceremonies; possible scarification or tattooing,Indirect archaeological evidence; comparative ethnography,,,,
Ritual Combat,Elite warriors,Determining divine favor,Formal combat with ritual elements; possibly to death,Warrior burials with combat injuries; historical descriptions,,,,
Seasonal Ceremonies,All steppe groups,Marking astronomical events,Solstice and equinox rituals; possibly aligned monuments,Astronomical alignments of some structures,,,,
