"Here is an expanded comparative table including Shiva, Chenrezig, Dionysus, Pan, Krishna, Buddha, Mithras, Mitra, Maitreya, Amida Buddha, Jesus, Jizo Bosatsu, and related deities. The table lists their tradition, domains, mount (vahana), sacred abode, core iconography, and a common parable or mythic theme that resonates across traditions.",,,,,,
Deity / Figure,Tradition,Domains / Roles,Mount / Vahana,Sacred Abode / Mountain,Iconography / Symbols,Common Parable / Theme Shared Across Traditions
Shiva,Hinduism,"Destruction, transformation, asceticism, fertility, yoga, arts",Nandi (bull),Mount Kailash,"Trident, drum, crescent moon, snake, blue throat, third eye",Dance of destruction and rebirth (cycle of creation and dissolution)
Chenrezig (Avalokiteshvara),Buddhism,"Compassion, mercy, salvation",Not typically depicted with a mount,"Potala (mythical), Himalayas","Multiple arms, lotus, prayer beads, deer skin",Vow to save all beings before attaining final liberation (self-sacrifice for others)
Dionysus,Greek,"Wine, festivity, ecstasy, madness, theater, rebirth","Panther, leopard, chariot by big cats",Mount Nysa,"Thyrsus, grapevine, cup, animal skins","Death and rebirth through ecstasy and dismemberment (initiation, transformation)"
Pan,Greek,"Nature, wildness, shepherds, rustic music, fertility","None (roams wild, goat-footed)",Arcadian mountains,"Goat horns, goat legs, pan flute","Instinct and wildness as sources of both fear and joy (panic, liberation)"
Krishna,Hinduism,"Love, compassion, joy, play, protection","Garuda (eagle, sometimes chariot)","Vrindavan, Govardhan Hill","Flute, peacock feather, blue skin","Divine play (lila), selfless love, and protection of the innocent"
Buddha (Shakyamuni),Buddhism,"Enlightenment, teaching, liberation from suffering",None,Bodh Gaya (enlightenment site),"Ushnisha, elongated ears, lotus seat","Parable of the lost son (returning to the path), Four Noble Truths (universal suffering and liberation)"
Mithras,Persian/Roman,"Contracts, oaths, light, salvation, mediation",None (sometimes bull),"Caves, Mithraea","Bull-slaying, Phrygian cap, torch","Slaying of the bull (sacrifice for cosmic renewal, triumph of light over darkness)17"
Mitra,Vedic/Hindu,"Contracts, friendship, truth, order",None,Celestial realms,"Sun, handshake, lotus",Upholding truth and cosmic order through right action and promise
Maitreya,Buddhism,"Future Buddha, loving-kindness, salvation",None,Tushita Heaven,"Seated posture, stupa, flask, sometimes Western-style seat","Promise to return and bring universal salvation (future hope, messianic expectation)38"
Amida Buddha (Amitabha),Buddhism (Pure Land),"Infinite light, compassion, salvation through faith",None,Western Pure Land (Sukhavati),"Seated, meditation mudra, radiant light",Vow to save all beings who call upon his name (unconditional grace)2
Jesus,Christianity,"Salvation, love, sacrifice, resurrection, teaching",Donkey (Palm Sunday),"Heaven, Mount of Olives","Cross, fish, lamb, halo","Parable of the Good Shepherd, sacrificial death and resurrection (unconditional love, redemption)17"
Jizo Bosatsu (Ksitigarbha),Buddhism (Japan),"Compassion, protector of children, travelers, souls",None (walks as a monk),"Between realms, Sanzu River","Monk’s staff, wish-fulfilling jewel, childlike form","Vow to remain in the world to save all beings, especially children and the suffering689"
