Date,Name/Location,Region,Notes,Type,Dynasty/Ruler,Notes,,,,,,,,,,,,,,,,,,,
750 CE,Martand Sun Temple,Hindu,Kashmir,Temple,,Monumental ruins,,,,,,,,,,,,,,,,,,,
480 BCE,Rajagriha Stupa,Buddhist,Bihar,Stupa,Various Mahajanapadas,One of original 8 Buddha relic stupas.,,,,,,,,,,,,,,,,,,,
480 BCE,Vaishali Stupa,Buddhist,Bihar,Stupa,Various Mahajanapadas,Original relic stupa.,,,,,,,,,,,,,,,,,,,
480 BCE,Kapilavastu Stupa,Buddhist,Nepal/UP,Stupa,Shakya,Original relic stupa.,,,,,,,,,,,,,,,,,,,
480 BCE,Allakappa Stupa,Buddhist,Bihar,Stupa,Malla,Original relic stupa.,,,,,,,,,,,,,,,,,,,
480 BCE,Ramagrama Stupa,Buddhist,Nepal,Stupa,Koliya,Only original stupa not opened by Ashoka.,,,,,,,,,,,,,,,,,,,
480 BCE,Pava Stupa,Buddhist,Bihar,Stupa,Malla,Original relic stupa.,,,,,,,,,,,,,,,,,,,
480 BCE,Kushinagar Stupa,Buddhist,UP,Stupa,Malla,Original relic stupa.,,,,,,,,,,,,,,,,,,,
480 BCE,Vethapida Stupa,Buddhist,Location Unclear,Stupa,Unknown,Original relic stupa.,,,,,,,,,,,,,,,,,,,
350 BCE,Piprahwa Stupa,Buddhist,UP,Stupa,Unknown,"Early stupa, possibly original site.",,,,,,,,,,,,,,,,,,,
300 BCE,Shravanabelagola,Jain,"Karnataka, India","Monastery, statue",Maurya (Chandragupta),"Site of Chandragupta Maurya's last years, giant Gommateshwara statue.",,,,,,,,,,,,,,,,,,,
280 BCE,Ai-Khanoum,"Greek, Buddhist",Bactria,"City, Temples",,Hellenistic-Buddhist syncretism,,,,,,,,,,,,,,,,,,,
250 BCE,Dharmarajika Stupa,Buddhist,"Gandhara, Pakistan (Taxila)",Stupa,Maurya/Ashoka,Built by Ashoka in Taxila.,,,,,,,,,,,,,,,,,,,
250 BCE,Nigali Sagar Stupa,Buddhist,Nepal,Stupa,Maurya/Ashoka,Ashoka enlarged this stupa.,,,,,,,,,,,,,,,,,,,
250 BCE,Sanchi Stupa No. 1,Buddhist,MP,Stupa,Maurya/Ashoka,"Built by Ashoka, elaborated later.",,,,,,,,,,,,,,,,,,,
250 BCE,Shahbaz Garhi,Buddhist,"Mardan, Khyber-Pakhtunkhwa","Rock edicts, stupa",Mauryan (Ashoka),Ashokan rock edicts in Kharosthi script.,,,,,,,,,,,,,,,,,,,
200 BCE,"Sirkap, Taxila","Greek, Buddhist, Hindu, Jain",Gandhara,"City, Temples",,"Urban planning, multi-religious",,,,,,,,,,,,,,,,,,,
200 BCE,Barikot,"Buddhist, Hindu",Gandhara,"City, Temples, Stupas",,"Fortified, multi-phase",,,,,,,,,,,,,,,,,,,
200 BCE,Amaravati Stupa,Buddhist,Andhra Pradesh,Stupa,Satavahana,"Major southern stupa, expanded over centuries.",,,,,,,,,,,,,,,,,,,
200 BCE,Udayagiri-Khandagiri Caves,Jain,"Bhubaneswar, Odisha, India","Caves, monastery",Kharavela (Mahameghavahana),"Rock-cut caves for Jain monks, inscriptions.",,,,,,,,,,,,,,,,,,,
150 BCE,"Amluk-Dara Stupa, Swat",Buddhist,Gandhara,Stupa,,"Large, visible for miles",,,,,,,,,,,,,,,,,,,
150 BCE,Barikot,Buddhist,"Swat Valley, Pakistan","Temple, stupa","Indo-Greek, Mauryan, Kushan","Multi-phase Buddhist temple, among oldest in region.",,,,,,,,,,,,,,,,,,,
