Date,Event,Description
101-102 CE,First Dacian War,Trajan launches his first campaign against Dacia. Roman victory at the Third Battle of Tapae. Trajan's Bridge constructed across the Danube15.
102 CE,Peace Treaty,Decebalus agrees to peace terms with Rome after the fall of several Dacian fortresses15.
105-106 CE,Second Dacian War,Trajan resumes war against Dacia. Sarmizegetusa Regia (Dacian capital) falls. Decebalus commits suicide35.
106 CE,Roman Dacia Established,Dacia becomes a Roman province. Extensive Roman colonization begins5.
117-138 CE,Hadrian's Reign,Emperor Hadrian considers abandoning Dacia but decides against it.
167-180 CE,Marcomannic Wars,Marcus Aurelius fights Germanic and Sarmatian tribes along the Danube frontier.
235-284 CE,Crisis of the Third Century,Period of instability in the Roman Empire affects Dacia.
271 CE,Roman Withdrawal,Emperor Aurelian withdraws Roman forces from Dacia due to increasing pressure from Gothic tribes7.
275 CE,Dacia Aureliana,Aurelian establishes a new province south of the Danube to maintain Roman presence in the region.
332 CE,Gothic-Roman War,Constantine the Great defeats the Goths and establishes a foedus (treaty).
376 CE,Gothic Invasion,"Goths, pushed by the Huns, cross the Danube and settle in the region with Roman permission7."
378 CE,Battle of Adrianople,"Goths defeat the Eastern Roman army, significantly altering the balance of power in the region."
5th-6th centuries CE,Byzantine Influence,The Byzantine Empire exerts significant cultural and political influence in the area7.
6th-7th centuries CE,Slavic Settlement,"Slavic tribes begin settling in the region, contributing to its cultural and linguistic heritage7."
602 CE,Avar-Byzantine Wars Begin,Long period of conflict between Avars and Byzantines affects the Danubian region.
681 CE,First Bulgarian Empire Founded,"Asparuh establishes the Bulgarian state, which will control much of future Wallachia7."
8th-9th centuries CE,Bulgar-Byzantine Wars,Series of conflicts shape the political landscape of the region.
10th-11th centuries CE,Pecheneg Control,"The Pechenegs, a nomadic people, dominate the region7."
1018 CE,Byzantine Conquest of Bulgaria,"Emperor Basil II defeats the First Bulgarian Empire, briefly extending Byzantine control."
11th-13th centuries CE,Cuman Control,"The Cumans, another nomadic group, take control of Wallachia7."
1185 CE,Second Bulgarian Empire,"Establishment of the Second Bulgarian Empire, influencing the region7."
1241 CE,Mongol Invasion,"The Mongols invade and end Cuman domination, causing significant disruption7."
1272 CE,First Written Evidence,"The first written records of local voivodes appear, mentioning Litovoi7."
1285-1288 CE,Bărbat's Reign,"Bărbat rules as voivode, marking early leadership in the region7."
1290 or 1292 CE,Founding of Wallachia,"Traditional founding date of Wallachia by Radu Negru, though likely legendary7."
1310-1352 CE,Basarab I's Reign,Basarab I establishes the first independent Wallachian state468.
1330 CE,Battle of Posada,"Basarab I defeats Charles I of Hungary, securing Wallachian independence248."
1352-1364 CE,Nicolae Alexandru's Reign,"Son of Basarab I, continues the development of Wallachia."
1368 CE,Vladislav I's Rebellion,Vladislav I rebels against Hungarian overlordship.
1386-1418 CE,Mircea the Elder's Reign,"Significant ruler in the Wallachian dynasty, known for military campaigns and diplomacy."
1394 CE,Battle of Rovine,"Mircea the Elder defeats the Ottomans, driving them from Dobruja."
1396 CE,Battle of Nicopolis,Mircea the Elder participates in this crusade against the Ottomans.
1408 CE,Battle of Dobor,Sigismund defeats Croatian and Bosnian nobility.
"December 12, 1408 CE",Founding of the Order of the Dragon,Sigismund of Luxembourg establishes the Order of the Dragon to defend Christianity.
1408 CE,Founding Members Listed,The founding charter enumerates 21 original members.
1417 CE,Ottoman Peace Treaty,Mircea the Elder accepts a peace treaty with the Ottomans.
1418-1420 CE,Michael I's Rule,Michael I defeats the Ottomans in Severin but is killed in a counter-offensive.
1422 CE,Dan II's Victory,Dan II defeats Murad II with help from Pippo Spano.
1431 CE,Birth of Vlad III,Vlad the Impaler is born in Sighișoara.
1431 CE,Vlad II Dracul Joins the Order,Vlad II Dracul becomes a member of the Order of the Dragon.
1436-1442 CE,Vlad II Dracul’s First Reign,"Vlad II, father of Vlad III, rules Wallachia."
1442-1448 CE,Ottoman Captivity,Vlad III and his brother Radu are held hostage by the Ottoman Empire.
1447 CE,Death of Vlad II,Vlad II Dracul and his eldest son are killed.
1448 CE,Vlad III’s First Reign,Vlad the Impaler briefly rules as Voivode of Wallachia for two months.
1449-1456 CE,Vlad III’s Exile,Vlad lives in exile in Hungary.
1453 CE,Fall of Constantinople,The Ottoman conquest of Constantinople increases pressure on Wallachia.
1456-1462 CE,Vlad III’s Second Reign,"Vlad the Impaler’s main reign, known for his brutal tactics and resistance to the Ottomans."
1459 CE,Impalement of Saxon Merchants,Event contributing to Vlad’s reputation for cruelty.
1462 CE,Night Attack,Vlad launches a night raid on Mehmed II’s camp.
1462 CE,Vlad's Capture,Vlad III is captured and imprisoned by Matthias Corvinus of Hungary.
1462-1475 CE,Radu the Handsome’s Rule,"Vlad’s brother, Radu, rules Wallachia intermittently under Ottoman influence."
