Comprehensive Table of Naga Beings in Buddhist and Vedic Traditions,,,,,
Time Period,Naga/Serpent Being,Religious Tradition,Source Text,Connection/Story,Significance
c. 1500 BCE,Ahi/Vritra,Vedic,Rigveda,Serpent demon slain by Indra,Represents drought/chaos overcome by divine force
c. 1400 BCE,Ahirbudhnya,Vedic,Yajurveda,Serpent of the depths,Associated with cosmic waters and underworld
c. 1000 BCE,Kaliya,Hinduism,Bhagavata Purana,Multi-headed serpent subdued by Krishna,Symbolizes conquering of ego and evil
c. 900 BCE,Takshaka,Hinduism,Mahabharata,Naga king who killed King Parikshit,Associated with vengeance and forest powers
c. 800 BCE,Vasuki,Hinduism/Buddhism,"Mahabharata, Samudra Manthan",Serpent used to churn cosmic ocean,Creator of amrita (immortality elixir)
c. 800 BCE,Parshvanatha,Jainism,Kalpa Sutra,23rd Tirthankara with snake canopy,Serpentine iconography in Jain tradition
c. 700 BCE,Shesha/Ananta,Hinduism,"Puranas, Mahabharata","Thousand-headed cosmic serpent, bed of Vishnu","Represents infinity, cosmic cycles, eternity"
c. 600 BCE,Dharanendra/Padmavati,Jainism,Kalpa Sutra,Protected Mahavira (24th Tirthankara),Divine serpent guardians of Jain masters
c. 500 BCE,Mucalinda,Buddhism,"Vinaya Pitaka, Udana",Protected Buddha during meditation,Symbolizes nature's protection of enlightenment
c. 500 BCE,Elapatra,Buddhism,Jataka Tales,Naga king who questioned Buddha,Demonstrates Buddha's wisdom to non-humans
c. 400 BCE,Karkotaka,Hinduism,Mahabharata,Naga king who transformed King Nala,Associated with divine tests and transformation
c. 400 BCE,Nanda & Upananda,Buddhism,Lalitavistara Sutra,Two naga kings who bathed infant Buddha,Recognition of Buddha's greatness by nagas
c. 300 BCE,Patala Nagas,Hinduism,Puranas,Subterranean serpent beings,Guardians of underworld treasures
c. 300 BCE,Chakavaka,Buddhism,Suttas,Naga king converted by Buddha,Example of non-human beings accepting dharma
c. 200 BCE,Nāgarāja (general term),Buddhism,Lotus Sutra,Serpent kings in Buddha's assembly,Represent non-human beings accepting dharma
