1. The 72 Angels of the Shem HaMephorash (Complete Kabbalistic Angelic Hierarchy with Zodiacal Correspondences),,,,,,
**Angel,Zodiac Range,Divine Name,Virtue,Psalm,Purpose of Invocation,Sigil**
Vehuiah,0°-5° Aries,YHWH,Initiative,Psalm 3:4,"New ventures, courage",⚔️ Flaming sword
Jeliel,5°-10° Aries,El,Compassion,Psalm 22:20,"Love, protection in conflict",❤️ Heart with wings
Sitael,10°-15° Aries,Elohim,Patience,Psalm 91:2,Overcoming adversaries,🛡️ Shield with eye
Elemiah,15°-20° Aries,El Shaddai,Leadership,Psalm 6:4,"Safe travel, clarity",⚜️ Crowned scepter
Mahasiah,20°-25° Aries,YHWH Tzva'ot,Wisdom,Psalm 34:5,Spiritual awakening,📖 Open book
Lelahel,25°-30° Aries,El Chai,Joy,Psalm 9:2,"Healing, artistic inspiration",☀️ Sunburst
Achaiah,0°-5° Taurus,Elohim Gibor,Tolerance,Psalm 103:8,Emotional balance,🌿 Olive branch
Cahetel,5°-10° Taurus,Eloah,Gratitude,Psalm 95:7,Agricultural abundance,🌾 Sheaf of wheat
Haziel,10°-15° Taurus,YHWH Yireh,Forgiveness,Psalm 25:6,Reconciliation,🕊️ Dove with scroll
Aladiah,15°-20° Taurus,El Roi,Serenity,Psalm 33:22,Protection from curses,🌙 Moon cradling star
Lauviah,20°-25° Taurus,Elohim,Victory,Psalm 18:47,Overcoming depression,⚡ Lightning bolt
Hahaiah,25°-30° Taurus,YHWH,Refuge,Psalm 10:1,Protection from enemies,🏔️ Mountain fortress
Yezalel,0°-5° Gemini,El Gibor,Fidelity,Psalm 98:4,"Memory, learning",📜 Scroll with quill
Mebahel,5°-10° Gemini,El,Justice,Psalm 9:10,Legal victories,⚖️ Scales of justice
Hariel,10°-15° Gemini,Elohim,Purification,Psalm 94:22,Religious devotion,🔥 Purifying flame
Hakamiah,15°-20° Gemini,YHWH,Loyalty,Psalm 88:2,Protection in battle,🗡️ Sword with crown
Laviah,20°-25° Gemini,Adonai,Revelation,Psalm 18:51,"Against lightning, nightmares",💫 Bright star
Caliel,25°-30° Gemini,YHWH,Truth,Psalm 7:18,"Swift justice, recovery",⏳ Hourglass
Leuviah,0°-5° Cancer,El,Renewal,Psalm 40:2,"Intellectual gifts, memory",🧠 Brain illuminated
Pahaliah,5°-10° Cancer,Elohim,Redemption,Psalm 120:2,Theological insight,📚 Stack of books
Nelkhael,10°-15° Cancer,YHWH,Banishment,Psalm 31:15,Against negative forces,🔮 Crystal orb
Yeiayel,15°-20° Cancer,Adonai,Recognition,Psalm 121:5,"Fame, fortune in trade",👑 Crown with gems
Melahel,20°-25° Cancer,El,Safety,Psalm 121:8,Protection from weapons,🌊 Calm waters
Chahaviah,25°-30° Cancer,YHWH Tzva'ot,Harmony,Psalm 33:18,Familial reconciliation,🎵 Musical notes
Nith-Haiah,0°-5° Leo,YHWH,Wisdom,Psalm 9:12,Occult knowledge,🔍 Eye within triangle
Haaiah,5°-10° Leo,Elohim,Diplomacy,Psalm 119:145,Political success,🤝 Clasped hands
Yerathel,10°-15° Leo,El,Protection,Psalm 140:2,Freedom from enemies,🦅 Eagle with shield
Seheiah,15°-20° Leo,YHWH,Health,Psalm 71:12,"Longevity, healing",🌡️ Caduceus
Reiyel,20°-25° Leo,Elohim,Liberation,Psalm 54:6,Breaking enchantments,🗝️ Golden key
Omael,25°-30° Leo,YHWH,Fertility,Psalm 71:5,Multiplication of species,🌱 Sprouting seed
Lecabel,0°-5° Virgo,El,Knowledge,Psalm 71:16,Intellectual achievements,🎓 Graduation cap
Vasariah,5°-10° Virgo,YHWH,Justice,Psalm 33:4,"Legal matters, clemency",⚖️ Balanced scales
Yehuiah,10°-15° Virgo,YHWH,Subordination,Psalm 121:7,Protection in travel,🧭 Compass
Lehahiah,15°-20° Virgo,Elohim,Obedience,Psalm 131:3,"Calming storms, ambition",🌟 Guiding star
Chavakiah,20°-25° Virgo,El,Reconciliation,Psalm 116:1,Harmony in families,🕯️ Peace candle
Menadel,25°-30° Virgo,Adonai,Employment,Psalm 26:8,Freedom from imprisonment,🚪 Open door
Aniel,0°-5° Libra,YHWH,Breaking cycles,Psalm 80:4,Victory over adversity,🔄 Circle with cross
Haamiah,5°-10° Libra,Elohim,Ritual,Psalm 91:9,"Religious rituals, truth",🌈 Rainbow bridge
Rehael,10°-15° Libra,El,Filial love,Psalm 30:11,Healing parent-child relations,👪 Family symbol
Yeiazel,15°-20° Libra,YHWH Tzva'ot,Joy,Psalm 88:15,Liberation from sorrow,🎭 Smiling mask
Hahahel,20°-25° Libra,El,Faith,Psalm 120:2,Strategic victory,🌠 Shooting star
Mikael,25°-30° Libra,Elohim,Political order,Psalm 121:7,Political ascension,👑 Crown with scepter
Veuliah,0°-5° Scorpio,YHWH,Prosperity,Psalm 88:14,Dominion,🏵️ Flourishing plant
Yelahiah,5°-10° Scorpio,El,Valor,Psalm 22:20,Success in battle,🏹 Bow and arrow
Sehaliah,10°-15° Scorpio,YHWH,Motivation,Psalm 94:18,Will to rise again,🦅 Rising phoenix
Ariel,15°-20° Scorpio,Elohim,Perception,Psalm 145:9,Finding hidden treasures,💎 Hidden gem
Asaliah,20°-25° Scorpio,YHWH Tzva'ot,Justice,Psalm 92:5,Revealing hidden truths,🔦 Revealing light
Mihael,25°-30° Scorpio,El Gibor,Fertility,Psalm 98:2,Generation of children,🌊 Flowing waters
Vehuel,0°-5° Sagittarius,YHWH,Elevation,Psalm 145:3,"Greatness, magnanimity",🌄 Rising sun
Daniel,5°-10° Sagittarius,El,Eloquence,Psalm 103:8,"Mercy, divine justice",🗣️ Speaking lips
Hahasiah,10°-15° Sagittarius,Elohim Gibor,Medicine,Psalm 104:31,Healing arts,🌿 Medicinal herbs
Imamiah,15°-20° Sagittarius,YHWH,Expiation,Psalm 7:18,Breaking pride,🔨 Breaking hammer
Nanael,20°-25° Sagittarius,El,Spiritual awareness,Psalm 119:75,Higher consciousness,👁️ Third eye
Nithael,25°-30° Sagittarius,YHWH,Celestial blessing,Psalm 103:19,"Divine favor, longevity",💫 Celestial crown
Mebahiah,0°-5° Capricorn,Elohim,Benevolence,Psalm 102:12,Intellectual fertility,📊 Growing chart
Poyel,5°-10° Capricorn,El,Fortune,Psalm 145:14,Material abundance,💰 Cornucopia
Nemamiah,10°-15° Capricorn,YHWH,Discernment,Psalm 115:11,Prosperity through justice,🏛️ Pillars of justice
Yeialel,15°-20° Capricorn,Elohim,Mental focus,Psalm 6:4,Curing eye disease,👁️ Healed eye
Harahel,20°-25° Capricorn,YHWH Tzva'ot,Intellectual treasury,Psalm 113:3,"Archives, libraries",📚 Library stack
Mitzrael,25°-30° Capricorn,El,Recovery,Psalm 145:17,Healing of mental disease,🧠 Balanced mind
Umabel,0°-5° Aquarius,YHWH,Friendship,Psalm 113:2,"Affinity, astronomy",🔭 Telescope
Iahhel,5°-10° Aquarius,Elohim,Knowledge,Psalm 119:159,Philosophical wisdom,🧿 Eye of wisdom
Anauel,10°-15° Aquarius,YHWH,Commerce,Psalm 2:11,Business protection,📊 Rising graph
