Here's a timeline table of the history of Tarquinia:,
Date,Event
900 BCE,"Earliest archaeological remains found at Pian di Civita, the urban site of Tarquinia3"
800 BCE,"Etruscan civilization emerges in central Italy, including Tarquinia4"
700-300 BCE,Tarquinia flourishes as a major Etruscan trading and manufacturing center1
600-500 BCE,Tarquinia reaches its peak of urban development and territorial expansion3
540-530 BCE,Construction of the Etruscan Tomb of the Bulls in Tarquinia1
530-520 BCE,Construction of the Etruscan Tomb of the Lionesses in Tarquinia1
510 BCE,Construction of the Etruscan Tomb of the Baron in Tarquinia1
509 BCE,Tarquinia supports Tarquinius Superbus in his attempt to regain the Roman throne2
480 BCE,Construction of the Etruscan Tomb of the Bigas in Tarquinia1
470 BCE,Construction of the Etruscan Tomb of the Dead Man in Tarquinia1
420-400 BCE,Construction of the Etruscan Tomb of the Blue Demons in Tarquinia1
400-300 BCE,Construction of massive defensive walls around Tarquinia23
356 BCE,307 Roman prisoners sacrificed in Tarquinia's forum14
351 BCE,Tarquinia signs a 40-year truce with Rome5
308 BCE,Tarquinia renews its truce with Rome5
280 BCE,Romans conquer Tarquinia14
181 BCE,"Graviscae, Tarquinia's port, becomes a Roman colony2"
89 BCE,Tarquinia is demoted to the status of a Roman municipium1
456 CE,First mention of a bishop of Tarquinia2
1250 CE,Last historical references to Tarquinia under its ancient name7
1922 CE,The name of the town is officially changed back to Tarquinia from Corneto7
