Hekhalot Rabbati (The Greater Palaces),
Aspect,Details
Description/Focus,"Major Hekhalot text describing the ascent through the heavenly palaces (halls), angelic encounters, and the rituals and dangers of mystical ascent."
Key Themes/Content,"- Ascent through seven heavenly halls
- Angelic guardians and passwords
- Mystical hymns and prayers
- Perils of the unworthy mystic"
Key Source Figures,"Rabbi Ishmael, Rabbi Akiva, Rabbi Nehunya ben HaKanah"
Notable Passages,"Descriptions of each palace/hall, angelic hierarchies, hymns recited by mystics"
Historical Context,"Composed c. 3rd–6th centuries CE, late antiquity, in the Land of Israel and Babylonia"
3 Enoch (Sefer Hekhalot),
Aspect,Details
Description/Focus,Later Hekhalot text presenting the transformation of Enoch into the angel Metatron and further elaborating on heavenly hierarchies and palaces.
Key Themes/Content,"- Enoch's ascent and transformation
- Angel Metatron
- Detailed angelic orders and roles
- Mystical cosmology"
Key Source Figures,"Rabbi Ishmael (visionary), Enoch/Metatron"
Notable Passages,"Enoch's enthronement as Metatron, lists of angels and their functions"
Historical Context,"Composed c. 5th–6th centuries CE, probably in Babylonia"
Ma’aseh Merkavah (The Work of the Chariot),
Aspect,Details
Description/Focus,"Fragmentary Hekhalot text focusing on mystical hymns, prayers, and the practical techniques for the ascent to the Divine Chariot."
Key Themes/Content,"- Mystical hymns and prayers
- Rituals and passwords
- Visionary descriptions of the Chariot and angelic beings"
Key Source Figures,"Rabbi Akiva, Rabbi Ishmael, Rabbi Nehunya ben HaKanah"
Notable Passages,"Hymns recited in the palaces, instructions for mystical ascent"
Historical Context,Late Hellenistic to early post-Temple period (after 70 CE); part of early Merkabah literature1234
Zohar,
Aspect,Details
Description/Focus,"Foundational medieval Kabbalistic text, presented as a mystical commentary on the Torah, especially Genesis and Exodus."
Key Themes/Content,"- Sefirot and divine emanations
- Mystical interpretation of Torah
- The soul’s journey
- The nature of the Divine Presence (Shekhinah)"
Key Source Figures,"Rabbi Shimon bar Yochai (attributed), his circle of disciples"
Notable Passages,"The Idra Rabba and Idra Zuta (mystical assemblies), Sifra di-Tzeniuta, sections on the Holy of Holies"
Historical Context,Composed in 13th-century Spain (medieval period); attributed pseudepigraphically to 2nd-century sages
,
"These tables provide a comparative overview of each major mystical text’s structure, content, and historical background, as well as the key figures associated with their transmission and teaching1248.",
