Composite Mystery Tradition Retreat: Ritual Script,,,,
Title,Source,Key Myth,Themes,Ritual Use
The Abduction of Persephone,Homeric Hymn to Demeter,Demeter’s grief; Persephone’s descent,"Loss, initiation, cyclical rebirth","Opening descent rite; initiates witness the ""abduction"" into darkness."
Orpheus’ Katabasis,"Virgil, Ovid",Orpheus in the Underworld,"Love, failure, redemption","Mid-retreat lament; a failed attempt to reclaim the ""lost soul"" (Eurydice)."
Dionysus’ Dismemberment,Euripides’ Bacchae,Pentheus vs. Dionysus,"Ecstasy, madness, rebirth","Frenzied dance culminating in a symbolic ""sparagmos"" (tearing of a effigy)."
The Trials of Heracles,"Apollodorus, Euripides",Heracles’ labors,"Suffering, purification, apotheosis","Initiates undergo symbolic labors (e.g., carrying a ""cosmic burden"")."
Mithras Slays the Bull,Mithraic iconography,Tauroctony scene,"Sacrifice, cosmic order","Silent pantomime of the bull-slaying, followed by a communal feast."
Isis Reassembles Osiris,"Plutarch, Metamorphoses",Isis’ quest for Osiris’ body,"Death, magic, resurrection","Participants gather ""scattered pieces"" (symbolic fragments) to restore unity."
The Descent of Inanna,Mesopotamian poem,Inanna’s underworld journey,"Surrender, ego death, renewal","A guided meditation with seven ""gate"" thresholds (removing attachments)."
Triptolemus’ Gift,Eleusinian tradition,Demeter teaches agriculture,"Divine knowledge, generosity","Hierophant ""gifts"" initiates with symbolic seeds or grain."
The Sleep of Endymion,Greek lyric poetry,Moon goddess Selene’s love,"Eternal longing, divine communion",Night vigil under moonlight; trance-inducing chanting.
The Lament of Adonis,Bion’s Epitaph,Death of Adonis,"Beauty, mortality, seasonal cycles","A procession with flowers, culminating in a mock funeral."
The Birth of Apollo,Homeric Hymn to Apollo,"Delos, Python, and prophecy","Light vs. chaos, purification","Dawn ritual with a ""slaying of darkness"" (breaking a clay serpent effigy)."
The Judgement of Paris,Epic Cycle,Apple of Discord,"Choice, consequence, fate",Participants debate values (Wisdom vs. Power vs. Love) as a moral trial.
Title,Author,Year,Key Myth,Themes
Persians,Aeschylus,472 BCE,Battle of Salamis,"Hubris, divine retribution"
Seven Against Thebes,Aeschylus,467 BCE,Oedipus’ sons’ war,"Fate, family curses"
Suppliants,Aeschylus,463 BCE,Danaids flee forced marriage,"Justice, gender, divine law"
Prometheus Bound (disputed),Aeschylus,~456 BCE?,Prometheus defies Zeus,"Rebellion, knowledge, suffering"
Title,Author,Year,Key Myth,
Iliad,Homer,8th c. BCE,"Achilles’ rage, Trojan War",
Odyssey,Homer,8th c. BCE,"Odysseus’ katabasis, trials",
Theogony,Hesiod,700 BCE,"Origins of gods, Titanomachy",
Works and Days,Hesiod,700 BCE,"Human ages, Prometheus, Pandora",
Cypria (lost),Stasinus (attr.),7th c. BCE,Prelude to Trojan War,
Aethiopis (lost),Arctinus,7th c. BCE,"Death of Achilles, Amazon Penthesilea",
Title,Author,Year,Deity,Use in Mysteries
Homeric Hymn to Demeter,Anonymous,7th c. BCE,Demeter/Persephone,Eleusinian Mysteries core text
Homeric Hymn to Apollo,Anonymous,7th c. BCE,Apollo,Delphic/Delian rites
Homeric Hymn to Dionysus,Anonymous,7th c. BCE,Dionysus,Bacchic initiation
Homeric Hymn to Hermes,Anonymous,7th c. BCE,Hermes,Guides souls in Orphism
Orphic Hymns (early layers),Orpheus (legend),6th–5th c. BCE,Various gods,Bacchic/Orphic rituals
Title,Source,Year,Tradition,
Eleusinian Liturgy,Oral tradition,Pre-456 BCE,Eleusinian Mysteries,
Orphic Gold Tablets,Burial sites,5th c. BCE+,Orphic-Bacchic rites,
Dionysian Dithyrambs,"Archilochus, Pindar",7th–5th c. BCE,Dionysian ecstatic rites,
Mithraic Tauroctony,Persian/Roman synthesis,Later (1st c. CE),Mithraism,
