Historical Timeline of Crimea and the Crimean Tatars,,
Ancient Period,,
Date,Event,
1000 BCE - 700 BCE,Cimmerians inhabit the Crimean Peninsula,
700 BCE - 600 BCE,Scythians displace Cimmerians in Crimea,
600 BCE,Greek colonization of Crimea begins with founding of Panticapaeum (modern Kerch),
480 BCE,Formation of the Bosporan Kingdom around the Kerch Strait,
438 BCE - 430 BCE,Spartocus I establishes Spartocid dynasty in the Bosporan Kingdom,
300 BCE - 100 BCE,Scythian state forms in central and western Crimea,
110 BCE,Scythian defeat by Pontic forces under Diophantus,
107 BCE - 63 BCE,Mithridatic Wars involve Crimean territories,
63 BCE,Crimea comes under Roman influence,
Medieval Period (Pre-Tatar),,
Date,Event,
250 CE,Gothic tribes settle in Crimea,
370 CE,Hunnic invasion of Crimea,
476 CE,Byzantine control established over southern Crimean coast,
527 CE - 565 CE,Emperor Justinian I strengthens Byzantine positions in Crimea,
576 CE,Turkic tribes raid Byzantine possessions in Crimea,
650 CE - 704 CE,Khazar control established over most of Crimea,
787 CE,Byzantine-backed rebellion against Khazars in Crimea,
830 CE,Byzantine Cherson theme (military province) established in Crimea,
860 CE,Rus' raid on Constantinople leads to increased interest in Crimean region,
988 CE,Vladimir I of Kyiv captures Byzantine Cherson before conversion to Christianity,
1016 CE,Byzantine-Rus' forces defeat Khazars in Crimea,
1062 CE,First Cuman (Polovtsian) raids into Crimea,
1204 CE,"After Fourth Crusade, Crimean colonies come under Empire of Trebizond influence",
1223 CE,First Mongol appearance in Crimea after Battle of Kalka River,
Golden Horde Period,,
Date,Event,
1239 CE,Mongol conquest of Crimea,
1243 CE,Crimea incorporated into the Golden Horde (Kipchak Khanate),
1260 CE,"Berke Khan converts to Islam, beginning Islamization of the Golden Horde",
1266 CE,Genoese colony established at Kaffa (modern Feodosia),
1299 CE,Nogai Khan's rebellion affects Crimean territories,
1313 CE - 1341 CE,Reign of Özbeg Khan accelerates Islamization process among Crimean tribes,
1343 CE - 1346 CE,Siege of Kaffa during which plague (Black Death) reportedly spreads to Europe,
1365 CE,Venetian-Genoese war for control of Crimean trade,
1380 CE,Battle of Kulikovo weakens Golden Horde authority,
1395 CE,Timur (Tamerlane) devastates Crimean cities,
1397 CE,Golden Horde reconstruction efforts in Crimea begin,
1420 CE,"First mention of ""Crimean Tatars"" as a distinct group",
Crimean Khanate Emergence and Early Period,,
Date,Event,
1427 CE,"Hacı Giray, founder of the Giray dynasty, first campaigns in Crimea",
1441 CE,Traditional founding date of the Crimean Khanate under Hacı Giray,
1449 CE,Hacı Giray issues first coins of the Crimean Khanate,
1452 CE,Construction of the Khan's Palace at Salaçıq (near future Bakhchisaray),
1466 CE,Death of Hacı Giray leads to succession crisis,
1469 CE,Mengli I Giray becomes Khan with Ottoman support,
1475 CE,Ottoman conquest of Genoese colonies in Crimea,
1478 CE,Crimean Khanate becomes an Ottoman vassal state,
1480 CE,Crimean forces support Ottoman conquest of Otranto,
