Show more,,,,,
Period / Date,Culture / Region,Yemo/Yama & Variants Development,Devil/Satan/Ahriman Development,References/Citations,
c. 3000–2000 BCE,Proto-Indo-European,"Yemo: Primordial twin; slain by Manu, body becomes the world.",No devil or adversary concept.,,
c. 1500 BCE,Indo-Iranian,"Yama (Vedic India): First mortal, king of the dead.
Yima (Iran): First king, ruler of paradise.",No personified evil; dualism not yet developed.,,
c. 1000 BCE,Vedic/Hindu,"Yama: God of death, judge of souls, ruler of Naraka (underworld).",No Satan/devil; evil seen as impersonal or ascribed to gods’ wrath.,,
c. 1000 BCE,Zoroastrian (Iran),"Yima: First king, paradise ruler.","Ahriman (Angra Mainyu): Principle of cosmic evil, adversary to Ahura Mazda; early dualism.",,
950–586 BCE,Israelite (First Temple),No Yama figure. Yahweh rules a pantheon; disasters attributed to Yahweh or lesser gods.,"No Satan as Yahweh’s opponent; angels unnamed, disasters from Yahweh or lesser gods.",125.0,
8th–7th c. BCE,Israelite (Reforms),-,"Monolatric reforms (Hezekiah, Josiah); polytheism persists, no devil figure.",125.0,
586–539 BCE,Babylonian Exile,-,Collapse of pantheon; shift to monotheism. Yahweh responsible for all; suffering prompts theological crisis.,125.0,
539 BCE–70 CE,Second Temple Judaism,-,"Satan emerges as a heavenly being (Zechariah, Job); not yet God’s opponent, but a member of divine court. Dualistic thinking rises, influenced by Zoroastrianism. Names: Satan, Belial, Lucifer, Mastema, Azazel.",12357.0,
c. 3rd–1st c. BCE,Jewish Apocalyptic,-,"Satan/Devil becomes a personified evil; stories of fallen angels (e.g., Azazel, 1 Enoch); cosmic dualism.",1235.0,
Early centuries CE,Buddhist (India/Tibet),"Yama as judge of the dead; Yamantaka (“Yama-slayer”) emerges, conquering Yama.",-,,
Early centuries CE,Chinese/Japanese,"Yama becomes Yanluo Wang (China), Enma (Japan), ruler of the underworld.",-,,
1st c. CE,Early Christianity,-,"Satan/Devil becomes central adversary in Christian theology; explains evil, temptation, suffering. “Christianity cannot do without this character.”",123578.0,
5th–12th c. CE,Indian Tantric Buddhism,"Yamantaka (Vajrabhairava): Wrathful, buffalo-headed, multi-armed; subdues Yama. Many forms (Krishna/Rakta Yamari).",-,,
