"Comparative Table of Aladdin, Genie, and Hidden Prince Stories Across Cultures",,,,,
Date/Period,Culture/Tradition,Story/Tale,Key Details,Primary Sources,Secondary Sources
1500-700 BCE,Mesopotamian,Sumerian tales of Bilulu and Inanna,Early references to female bottle-spirits and demonic entities that could be trapped in containers. Precursors to later jinn/genie concepts.,Sumerian clay tablets,"Foster, B.R. (2005). ""Before the Muses: An Anthology of Akkadian Literature"""
1000-700 BCE,Ancient Hebrew,King Solomon and the Djinn,Biblical and post-biblical traditions describe Solomon commanding djinn/spirits who built his temple and performed various tasks. Early example of human commanding supernatural entities.,Fragments in Dead Sea Scrolls; later Talmudic stories,"Lassner, J. (1993). ""Demonizing the Queen of Sheba: Boundaries of Gender and Culture in Postbiblical Judaism and Medieval Islam"""
800-700 BCE,Phoenician,Lamp of Berytus,Ancient references to a sacred lamp in the temple of Berytus (Beirut) that was believed to house a spirit or deity.,Fragmentary references in Sanchuniathon's texts as preserved by Philo of Byblos,"Baumgarten, A.I. (1981). ""The Phoenician History of Philo of Byblos"""
440 BCE,Greek,"""The Ring of Polycrates""","Early narrative involving a magic ring with power. Polycrates throws his ring into the sea as a sacrifice, but it returns to him in a fish.","Herodotus's ""Histories""","Nagy, G. (2013). ""The Ancient Greek Hero in 24 Hours"""
100-200 CE,Greco-Roman,"""Cupid and Psyche""","Features a hidden supernatural husband, forbidden sight, and trials to regain love. Contains elements of the ""hidden identity"" motif common in prince tales.","Apuleius's ""The Golden Ass""","Anderson, G. (2000). ""Fairytale in the Ancient World"""
200-400 CE,Late Roman/Early Christian,Solomon's Testament,"Pseudepigraphical text describing Solomon's control over demons using a magical ring, forcing them to help build the temple. Influential on later Jewish, Christian, and Islamic demonology.","""Testament of Solomon""","Johnston, S.I. (2002). ""The Testament of Solomon from Late Antiquity to the Renaissance"""
400-500 CE,Byzantine,The Black Lamp of Constantinople,Legends of a black lamp in Constantinople that contained an oracle spirit. Said to predict the city's fate.,Byzantine chronicles,"Magdalino, P. (2006). ""Occult Science and Imperial Power in Byzantine History and Historiography"""
700-800 CE,Persian/Arabic,"""The City of Brass""",Early tale featuring a protagonist who finds magical objects and encounters jinns. Contains themes later seen in Aladdin: magical beings bound to objects and hidden treasures.,"Early manuscripts of ""The Thousand and One Nights""","Irwin, R. (1994). ""The Arabian Nights: A Companion""; Haddawy, H. (2010). ""The Arabian Nights"""
800-1000 CE,Arabic/Persian,"""The Story of Judar and His Brothers""","A poor fisherman finds a magic ring and meets a Moorish magician. Features themes of poverty to wealth, magical objects, and deception that parallel Aladdin.","Early versions of ""The Thousand and One Nights""","Marzolph, U. (2006). ""The Arabian Nights Encyclopedia"""
800-1000 CE,Arabic,"""The Fisherman and the Jinni""","Classic tale of a fisherman who finds a copper vessel containing an imprisoned jinni, who had been trapped by King Solomon. One of the earliest detailed stories of a spirit trapped in an object.","Early manuscripts of ""The Thousand and One Nights""","El-Shamy, H. (2004). ""Types of the Folktale in the Arab World"""
