Comprehensive Analysis: Indo-Iranian and Buddhist Religious Parallels,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Body Markings and Symbols,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Tradition,Western/Central Asian Parallel,Analysis,,,,,,,,,,,,,,,,,,,,,,,
Buddha's Ushnisha (cranial protuberance),"Phrygian cap worn by Mithras, Attis, Ganymede","Both represent divine wisdom/enlightenment. The ushnisha symbolizes Buddha's expanded consciousness, while the Phrygian cap became associated with mystery cults and initiatory wisdom. According to art historian Anna Livia Beelaert, ""The conical headgear appears across Eurasian religious iconography as a marker of divine or special status.""",,,,,,,,,,,,,,,,,,,,,,,
Dharmachakra wheels on Buddha's hands and feet (among the 32 Lakshanas),Stigmata marks on Christ's hands and feet,"Both represent sacred bodily markings of divine figures. The wheel marks (chakras) on Buddha symbolize his role as the wheel-turner (Chakravartin), while Christ's stigmata represent sacrificial wounds. Scholar Robert Beal notes, ""These bodily markings function as visual indicators of divine identity across traditions.""",,,,,,,,,,,,,,,,,,,,,,,
Buddha's footprints (Buddhapada) with auspicious symbols,"Sacred footprints in Egyptian, Greek, and Abrahamic traditions","Buddha's footprints contain symbols including the wheel of dharma, swastika (auspicious symbol), and other marks. This parallels various Mediterranean traditions where deities or sacred beings leave marked footprints. Egyptologist Ann Macy Roth observes, ""The tradition of inscribing divine feet with sacred writing appears across multiple ancient cultures.""",,,,,,,,,,,,,,,,,,,,,,,
Buddha's elongated earlobes (from wearing heavy earrings as a prince),Elongated or marked ears in Greco-Roman divine iconography,"Both traditions use modified ears to denote divine or special status. Art historian Frederick Asher writes, ""Modified physical features serve as iconographic shorthand for divine or exceptional status across Eurasian religious art.""",,,,,,,,,,,,,,,,,,,,,,,
Wheel Symbolism and Cosmic Time,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Tradition,Western/Central Asian Parallel,Analysis,,,,,,,,,,,,,,,,,,,,,,,
Dharmachakra (Wheel of Law),"Solar wheels in Indo-European religions, Christ as Helios","The wheel as cosmic symbol appears across Eurasian cultures. Early Christian art sometimes depicted Christ with solar wheel imagery, similar to Buddhist wheel symbolism. According to Thomas McEvilley, ""The solar wheel represents divine authority and cosmic order in both Eastern and Western traditions.""",,,,,,,,,,,,,,,,,,,,,,,
