Realm,Vedic,Jainism,Buddhism (Pali),Greek,Roman,Nordic
Heaven,स्वर्ग (svarga),ऊर्ध्व लोक (ūrdhva loka),Arūpaloka,Οὐρανός (Ouranós),Caelum,Ásgarðr
Earth,पृथ्वी (pṛthvī),मध्य लोक (madhya loka),Rūpaloka,Γῆ (Gē),Terra,Midgard
Hell,नरक (naraka),अधो लोक (adho loka),Kāmaloka,Ἅιδης (Háidis),"Inferus, Orcus",Hel
,,,,,,
,,,,,,
,,,,,,
,Vedic,,Vedic,,,
Past,भूत (bhūta),Gross Region,भूर (bhūr),,,
Present,भवत (bhavat),Subtle Region,भुवः (bhuvaḥ),,,
Future,भव्य (bhavya),Celestial Region,स्वः (svaḥ),,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Celtic,Mesopotamian,Other (Zoroastrian),,,
,Mag Mell,Kur,Duza,,,
,Tír na nÓg,Dingir,Vahishta,,,
,Domhan,Ki,Asman,,,
,,,,,,
,Underworld,,,,,
,Heaven,,,,,
,Earth,,,,,
