Comprehensive Database of Jesus's Life Episodes,,,,,,
Episode,Summary,Gospel Sources,Variations Between Accounts,Historical Context,Cultural Significance,Connected Episodes
BIRTH AND CHILDHOOD,,,,,,
Annunciation,Angel Gabriel announces to Mary she will conceive Jesus,Luke 1:26-38,Matthew: focuses on Joseph's perspective (1:18-25); Luke: details Mary's experience,"Roman occupation of Judea, ~6-4 BCE",Central to Christian understanding of incarnation,"Visitation, Birth narratives"
Visitation,Pregnant Mary visits Elizabeth; John leaps in womb,Luke 1:39-56,Only in Luke; includes the Magnificat (Mary's song),"Judean hill country, ~6-4 BCE",Important for Marian devotion; establishes relationship between John and Jesus,"Annunciation, Birth of John"
Birth in Bethlehem,"Jesus born in humble setting, laid in manger",Luke 2:1-7; Matthew 1:25,"Luke: emphasizes census, stable/manger; Matthew: mentions birth briefly","During census of Quirinius, ~6-4 BCE",Central Christian narrative; basis for Christmas celebrations,"Shepherds' Visit, Magi Visit"
Shepherds' Visit,Angels announce birth to shepherds who visit Jesus,Luke 2:8-20,Only in Luke,~6-4 BCE,Emphasizes divine announcement to common people,Birth narrative
Circumcision,Jesus circumcised on eighth day,Luke 2:21,Only in Luke,"Jewish requirement, ~6-4 BCE",Shows Jesus' Jewish identity and legal observance,Presentation in Temple
Presentation in Temple,Jesus presented in Jerusalem; Simeon and Anna prophesy,Luke 2:22-38,Only in Luke,"Required by Jewish law, ~6-4 BCE",Demonstrates fulfillment of Messianic expectations,"Circumcision, Return to Nazareth"
Visit of the Magi,"Wise men follow star, bring gifts, worship infant Jesus",Matthew 2:1-12,Only in Matthew,"Reign of Herod the Great, ~6-4 BCE",Basis for Epiphany celebrations; symbolizes recognition by Gentiles,Flight to Egypt
Flight to Egypt,Joseph takes Mary and Jesus to Egypt to escape Herod,Matthew 2:13-15,Only in Matthew,"Herod's persecution, ~4 BCE",Fulfillment of prophecy; parallel to Moses,Massacre of Innocents
Massacre of Innocents,Herod kills male children in Bethlehem,Matthew 2:16-18,Only in Matthew,"Herod's final years, ~4 BCE",Portrays opposition to Messiah from birth,Flight to Egypt
Return from Egypt,"Family returns after Herod's death, settles in Nazareth",Matthew 2:19-23; Luke 2:39,Matthew: emphasizes Egypt connection; Luke: direct return to Nazareth without Egypt,~4 BCE,Fulfillment of prophecy; establishes Nazareth connection,Childhood in Nazareth
Jesus at the Temple,Twelve-year-old Jesus debates with teachers in Temple,Luke 2:41-52,Only in Luke,"Passover festival, ~8 CE",Only canonical story from Jesus' youth; shows early wisdom,Childhood in Nazareth
BEGINNING OF MINISTRY,,,,,,
Baptism by John,Jesus baptized in Jordan River; heavens open,Matthew 3:13-17; Mark 1:9-11; Luke 3:21-22; John 1:29-34,Matthew: John's objection; Mark: simple account; Luke: during prayer; John: emphasizes John's testimony,"~27-29 CE, during John's ministry",Central to Christian baptismal theology; divine affirmation,Temptation in Wilderness
Temptation in Wilderness,Satan tempts Jesus during 40-day fast,Matthew 4:1-11; Mark 1:12-13; Luke 4:1-13,Matthew/Luke: detailed three temptations in different order; Mark: brief mention,~27-29 CE,Model for Christian resistance to temptation,"Baptism, Beginning of Preaching"
Calling First Disciples,Jesus calls fishermen to follow him,Matthew 4:18-22; Mark 1:16-20; Luke 5:1-11; John 1:35-51,Matthew/Mark: simple call; Luke: miraculous catch; John: Andrew & John first,"Sea of Galilee, ~27-29 CE",Foundation of apostolic ministry; model of discipleship,Beginning of Galilean Ministry
Wedding at Cana,Jesus turns water into wine,John 2:1-11,Only in John,"Cana of Galilee, early ministry",First sign in John; demonstrates power over creation,Cleansing the Temple (in John)
Cleansing the Temple,Jesus drives out money changers,Matthew 21:12-17; Mark 11:15-19; Luke 19:45-48; John 2:13-22,Synoptics: during Passion Week; John: at beginning of ministry,"Jerusalem, Temple",Statement against corruption of worship; assertion of authority,"Entry to Jerusalem (Synoptics), Early Ministry (John)"
Nicodemus Visit,Pharisee visits Jesus at night; born again discussion,John 3:1-21,Only in John,"Jerusalem, early ministry",Important for Christian teaching on spiritual rebirth,Woman at the Well (thematic connection)
Woman at the Well,"Jesus meets Samaritan woman, reveals himself as Messiah",John 4:1-42,Only in John,"Samaria, Jacob's well",Breaking ethnic and gender barriers; model for evangelism,Nicodemus Visit (thematic)
GALILEAN MINISTRY,,,,,,
Sermon on the Mount,Extended teaching including Beatitudes and Lord's Prayer,Matthew 5-7,"Luke: shorter ""Sermon on the Plain"" (6:17-49)",Galilee,Central Christian ethical and spiritual teaching,Various teaching episodes
Healing the Centurion's Servant,Jesus heals Roman officer's servant from distance,Matthew 8:5-13; Luke 7:1-10,Matthew: centurion comes; Luke: sends Jewish elders,Capernaum,Shows power over distance; faith of Gentile,Various healing miracles
Raising Widow's Son,Jesus raises dead young man at funeral procession,Luke 7:11-17,Only in Luke,Nain,Demonstration of power over death; compassion,"Raising of Jairus' Daughter, Raising of Lazarus"
Calming the Storm,Jesus commands storm to cease on Sea of Galilee,Matthew 8:23-27; Mark 4:35-41; Luke 8:22-25,Minor variations in disciples' reaction,Sea of Galilee,Shows authority over natural elements,Walking on Water
Gerasene Demoniac,Jesus exorcises legion of demons into swine,Matthew 8:28-34; Mark 5:1-20; Luke 8:26-39,Matthew: two demoniacs; Mark/Luke: one man,Gentile territory,Power over spiritual forces; mission to Gentiles,Other exorcism accounts
Raising of Jairus' Daughter,Jesus raises girl from death; heals woman with bleeding,Matthew 9:18-26; Mark 5:21-43; Luke 8:40-56,Matthew: compressed account; Mark/Luke: detailed narrative,Capernaum,Power over death; ritual impurity,"Raising Widow's Son, Raising Lazarus"
Feeding 5000,Jesus multiplies five loaves and two fish,Matthew 14:13-21; Mark 6:30-44; Luke 9:10-17; John 6:1-15,Minor variations in setting and dialogue,Near Bethsaida,Only miracle in all four gospels; eucharistic symbolism,"Feeding 4000, Bread of Life discourse"
Walking on Water,Jesus walks on Sea of Galilee during storm,Matthew 14:22-33; Mark 6:45-52; John 6:16-21,Matthew: Peter attempts to walk; absent in Luke,Sea of Galilee,Demonstration of divine power; Peter's faith/doubt,Calming the Storm
Syrophoenician Woman,Gentile woman's daughter healed after faith exchange,Matthew 15:21-28; Mark 7:24-30,"Matthew: ""Canaanite""; Mark: ""Syrophoenician""",Tyre and Sidon,Shows expansion to Gentiles; faith rewarded,Other healing accounts
Transfiguration,Jesus revealed in glory with Moses and Elijah,Matthew 17:1-13; Mark 9:2-13; Luke 9:28-36,Luke: during prayer; minor variations in dialogue,Mount (tradition: Tabor),Divine confirmation; connection to Moses/Elijah,Baptism (similar divine voice)
LATER MINISTRY,,,,,,
Good Samaritan,Jesus tells parable of unlikely compassionate hero,Luke 10:25-37,Only in Luke,Response to question about neighbor,Defining Christian compassion story; ecumenical symbol,Other teaching parables
Martha and Mary,Sisters host Jesus; Martha works while Mary listens,Luke 10:38-42,Only in Luke (different from John 11-12),Bethany,Teaches priority of discipleship over busyness,Raising of Lazarus (same family)
Raising of Lazarus,Jesus raises four-day dead man,John 11:1-44,Only in John,"Bethany, late ministry",Greatest sign in John; catalyst for plot against Jesus,"Passion narrative, Anointing at Bethany"
Blind Bartimaeus,Blind beggar healed near Jericho,Matthew 20:29-34; Mark 10:46-52; Luke 18:35-43,Matthew: two blind men; Mark/Luke: one (Bartimaeus),Approaching Jerusalem,Faith rewarded; symbolic of spiritual sight,Entry into Jerusalem
Zacchaeus,Tax collector climbs tree to see Jesus; transformation,Luke 19:1-10,Only in Luke,Jericho,Example of repentance; inclusion of outcasts,Entry into Jerusalem
PASSION WEEK,,,,,,
Triumphal Entry,Jesus enters Jerusalem on donkey amid crowds,Matthew 21:1-11; Mark 11:1-11; Luke 19:28-44; John 12:12-19,Luke: adds Jesus weeping over Jerusalem,"Jerusalem, days before Passover",Fulfillment of Zechariah prophecy; messianic claim,Cleansing the Temple
Anointing at Bethany,Woman anoints Jesus with expensive perfume,Matthew 26:6-13; Mark 14:3-9; John 12:1-8,Matthew/Mark: unnamed woman; John: Mary of Bethany,Bethany,Preparation for burial; act of devotion,Passion narrative
Last Supper,Final meal with disciples; institution of Eucharist,Matthew 26:17-30; Mark 14:12-26; Luke 22:7-39; John 13-17,"Synoptics: focus on bread/wine; John: foot washing, discourse","Jerusalem, Passover",Foundation for Christian communion; covenant theology,Gethsemane
Foot Washing,Jesus washes disciples' feet as example,John 13:1-20,Only in John,During Last Supper,Model of humble service; cleansing symbolism,Last Supper teachings
Farewell Discourse,Extended teaching and prayer after supper,John 14-17,Only in John,"Upper Room, Jerusalem",Central Johannine Christology; Trinitarian teaching,"Last Supper, Gethsemane"
Gethsemane,Jesus prays in agony before arrest,Matthew 26:36-46; Mark 14:32-42; Luke 22:39-46; John 18:1,Luke: sweating blood; John: brief mention only,Mount of Olives,Example of submission to divine will; human/divine tension,"Arrest, Trial"
