"Below is a scholarly, robust, and authoritative comparison table aligning the Seven Parables of the Lotus Sutra with analogous biblical parables, including detailed summaries, principal characters, and precise Lotus Sutra reference information. All information is grounded in established Buddhist and biblical scholarship, with citations to the Lotus Sutra and relevant academic sources.",,,,,,
,,,,,,
Comparative Table: The Seven Parables of the Lotus Sutra and Biblical Parallels,,,,,,
Lotus Sutra Parable & Reference,Summary/Key Theme,Main Characters,Closest Biblical Parable(s) & Reference,Summary/Key Theme,Thematic Connection/Scholarly Note,Lotus Sutra Source(s)
1. Burning House (Ch. 3),"A father’s house catches fire while his children play inside, oblivious to danger. To save them, he promises enticing carts (goat, deer, ox). Once outside, they receive a single, superior cart. The burning house is saṃsāra; the father is the Buddha; the children are sentient beings. The carts symbolize expedient teachings; the great cart is the One Vehicle (ekayāna) to Buddhahood.","The father (Buddha), children (beings)",The Lost Sheep (Luke 15:3–7); The Great Banquet (Luke 14:16–24),A shepherd seeks a lost sheep; a host urgently invites guests to a feast.,Compassionate rescue; use of expedient means to save the lost; urgency of spiritual salvation.,Lotus Sutra Ch. 3;35678
2. Prodigal Son (Ch. 4),"A destitute son unknowingly works for his wealthy father, who gradually restores him and reveals his inheritance. The father is the Buddha, the son is the ordinary being, and the inheritance is Buddhahood. This parable illustrates Buddha-nature and the gradual realization of one's true spiritual potential.","Wealthy father (Buddha), poor son",The Prodigal Son (Luke 15:11–32),"A wayward son returns home and is welcomed by his father, who restores him to his rightful place.","Restoration, unconditional parental love, spiritual inheritance; gradual awakening to innate value.",Lotus Sutra Ch. 4;35678
3. Medicinal Herbs (Ch. 5),"Rain falls equally on all plants, but each absorbs it according to its nature—small, medium, or large. The Buddha’s teachings nourish all beings according to their capacities, ultimately leading all to Buddhahood.","Buddha (as rain), plants (beings)",The Sower (Matt 13:3–9); The Talents (Matt 25:14–30),Seeds grow differently depending on soil; servants use their talents to varying degrees.,Equal opportunity; individual response to spiritual teaching; universal potential for growth.,Lotus Sutra Ch. 5;35678
4. Phantom City (Ch. 7),"A guide conjures an illusory city to encourage exhausted travelers on a quest for treasure. After they rest, the city vanishes and the guide leads them to the true goal. The guide is the Buddha, travelers are beings, the city is provisional teaching, and the treasure is ultimate enlightenment.","Guide (Buddha), travelers (beings)",The Good Shepherd (John 10:1–18); The Narrow Gate (Matt 7:13–14),"A shepherd leads sheep to safety; the narrow gate leads to true life, while the broad way is illusory.","Guidance, provisional means, encouragement on the path; ultimate truth revealed after initial support.",Lotus Sutra Ch. 7;356789
5. Jewel in the Garment (Ch. 8),"A poor man receives a priceless jewel sewn into his garment by a friend, but lives in poverty until the friend reveals it. The jewel represents Buddha-nature—innate but unrecognized. The friend is the Buddha; the poor man is the ordinary being.","Rich friend (Buddha), poor man (beings)",The Hidden Treasure (Matt 13:44); The Pearl of Great Price (Matt 13:45–46),A man discovers hidden treasure in a field; a merchant finds a pearl of great value.,Spiritual riches always present but unrecognized; awakening to latent potential.,Lotus Sutra Ch. 8;35678
6. King with a Physician (Ch. 16),"A physician’s children take poison; some refuse the medicine. The father pretends to die, prompting them to accept the cure. The physician is the Buddha, the children are beings, the poison is delusion, and the medicine is Dharma.","Physician (Buddha), children (beings)",The Good Samaritan (Luke 10:25–37); The Lost Son (Luke 15:11–32),A compassionate outsider heals a wounded man; a father’s actions prompt a son’s return and healing.,"Healing, compassion, need for acceptance and personal responsibility in salvation; use of skillful means (upāya).",Lotus Sutra Ch. 16;35678
7. Jeweled Stupa (Ch. 11),"A jeweled stupa rises from the earth, revealing the Buddha Prabhūtaratna, who appears to vouch for the Lotus Sutra’s truth. Shakyamuni and Prabhūtaratna sit side by side, symbolizing the universality and timelessness of the Dharma.","Shakyamuni Buddha, Prabhūtaratna Buddha",The Transfiguration (Matt 17:1–8); The Wedding Banquet (Matt 22:1–14),Jesus is revealed in glory with Moses and Elijah; a great feast symbolizes the gathering of the faithful.,Revelation of ultimate reality; affirmation of truth; gathering of the faithful in the presence of the transcendent.,Lotus Sutra Ch. 11;35678
Scholarly and Source Notes,,,,,,
,,,,,,
"The Lotus Sutra (Saddharmapuṇḍarīka-sūtra) is a foundational Mahāyāna text, composed between the 1st century BCE and the 2nd century CE, and is central to East Asian Buddhist traditions, especially Tiantai and Nichiren Buddhism123578.",,,,,,
