1196.0,Abbot of Burton's Chronicle,English monk records revenants rising from graves,Unknown victims,Chronicles of the Abbey of Burton,Shows early English belief in reanimated corpses
1249.0,Icelandic Draugr Account,Detailed account of a draugr attack in Eyrarbyggja Saga,Thorolf Twist-Foot (alleged draugr),Eyrarbyggja Saga,Norse saga demonstrating belief in physical undead
1345.0,"Serbian ""Vukodlak"" Case",First recorded use of Slavic term for werewolf/vampire hybrid,Unknown accused,Orthodox Church documents,Shows early connection between werewolf and vampire concepts
1400s,Romanian Strigoi Trials,Multiple cases in Transylvania of alleged undead activity,Local peasants,Church trial records,"Early documentation of what would later be termed ""vampires"""
1576.0,Silesian Nachzehrer Case,German account of corpse believed to chew its shroud and cause plague,Unknown corpse,Henry Boguet's writings,"German variant of vampire belief focused on ""shroud-eaters"""
1591.0,Peter Plogojowitz Case,Early vampire account in Prussia where a nobleman was suspected of vampirism,Peter Plogojowitz,Local church records,Early documented case showing eastern European vampire beliefs
1656.0,Jure Grando Case,"First recorded case in Istria, Croatia. Villagers claimed Grando returned from the dead, drank blood, and harassed his widow","Jure Grando, Village priest Mihajlo",Local church records,"First documented account using the term ""vampire"" (local variant ""štrigon"")"
1672.0,Jure Grando Exhumation,Village leader ordered Grando's body staked and beheaded to stop his alleged vampire activities1.,,,
1672.0,Jure Grando Exhumation,Village leader ordered Grando's body staked and beheaded to stop his alleged vampire activities,Giure Grando (executioner),Town records of Kringa,Demonstrates early vampire disposal methods
1721.0,East Prussian Outbreak,First reported outbreak of alleged vampire attacks in East Prussia.,,,
1725-1734,Habsburg Monarchy Panic,Widespread vampire panic spreads throughout the Habsburg Monarchy.,,,
1725.0,Petar Blagojević Case,"First officially recorded vampire case in Serbia involving Petar Blagojević's corpse. Serbian villager allegedly returned after death, causing nine more deaths in following days2.",,,
1730.0,"""Treatise on Apparitions""",French Benedictine monk publishes major work discussing vampires,Dom Augustin Calmet,"""Treatise on the Apparitions of Spirits and on Vampires""",First scholarly examination of vampire phenomena
1732.0,"""De masticatione mortuorum""",German theologian addresses vampirism,Michael Ranft,"""De masticatione mortuorum in tumulis""",Attempted to provide natural explanations for vampirism
1735.0,First English Vampire Articles,London newspapers publish articles on Eastern European vampire cases,Various journalists,"London Journal, Gentleman's Magazine",Introduction of vampire concept to English-speaking audience
1746.0,Calmet's Treatise,Dom Augustine Calmet publishes a comprehensive treatise on vampires.,,,
1749.0,Gerard van Swieten's Investigation,Empress Maria Theresa sends her physician to investigate vampire claims.,,,
1755.0,Empress Maria Theresa's Decree,Laws passed prohibiting grave desecration and body mutilation.,,,
1772.0,"""Dissertation on Vampires""","Voltaire publishes his critical views on vampires in ""Philosophical Dictionary"".",,,
