Buddha's Life and Teachings: Comprehensive Timeline,,,
1. The Buddha's Final Life (Siddhartha Gautama),,,
Event,Synopsis,Primary Source(s),Details
Birth at Lumbini,Born as Prince Siddhartha to King Suddhodana and Queen Maya of the Sakya clan. His birth was accompanied by various miracles and prophecies about his future as either a great king or spiritual leader.,"Lalitavistara Sutra, Buddhacarita (Ch. 1), Nidanakatha","The birth included Queen Maya giving birth while standing and holding onto a sal tree branch. Multiple deities attended the birth, and the infant supposedly took seven steps, declaring this would be his final rebirth."
Early Palace Life,"Raised in royal luxury with his father attempting to shield him from all suffering, hoping he would become a great ruler rather than a spiritual teacher.","Buddhacarita (Ch. 2-3), Nidanakatha",Educated in all royal arts and sciences. Excelled particularly in archery and other martial skills. Married to Princess Yasodhara at age 16.
The Four Sights,"On four separate excursions outside the palace, Siddhartha encountered an old person, a sick person, a corpse, and a wandering ascetic. These sights revealed to him the reality of suffering and the possibility of spiritual liberation.","Buddhacarita (Ch. 3-4), Ariyapariyesana Sutta (MN 26), Nidanakatha","The four sights were supposedly arranged by divine beings to ensure his spiritual awakening. After seeing the ascetic, he became determined to seek enlightenment."
The Great Departure,"At age 29, shortly after the birth of his son Rahula, Siddhartha left the palace at night to pursue the spiritual path.","Buddhacarita (Ch. 5-6), Ariyapariyesana Sutta (MN 26)",Cut his hair as a symbol of renunciation. His horse Kanthaka was said to have died of heartbreak after carrying him away from the palace.
Ascetic Practices,"Studied under two meditation teachers (Alara Kalama and Uddaka Ramaputta) before embarking on six years of extreme ascetic practices, nearly starving himself to death.","Ariyapariyesana Sutta (MN 26), Mahasaccaka Sutta (MN 36), Buddhacarita (Ch. 7-12)",Mastered the meditative attainments under his teachers but found they did not lead to complete liberation. His ascetic practices were so extreme that he became emaciated and nearly died.
Middle Way & Rice Milk,"Realizing extreme asceticism was not the path to enlightenment, he accepted rice milk from a village girl named Sujata and adopted the ""Middle Way"" between indulgence and self-mortification.","Buddhacarita (Ch. 12), Jataka Introduction","Sujata thought he was a tree deity and offered him milk-rice in a golden bowl. His five ascetic companions abandoned him, believing he had given up the spiritual quest."
Enlightenment at Bodh Gaya,"Seated under the Bodhi tree, he vowed not to rise until achieving enlightenment. After defeating Mara (the embodiment of temptation and distraction), he attained complete awakening at dawn.","Buddhacarita (Ch. 13-14), Lalitavistara, Jataka Introduction","The enlightenment process involved several watches of the night: first recalling past lives, then understanding karma, and finally realizing the Four Noble Truths and dependent origination."
Seven Weeks After Enlightenment,"Spent seven weeks in various locations near the Bodhi tree, contemplating his realization and deciding whether to teach others.","Mahavagga (Vinaya Pitaka), Lalitavistara","Different traditions describe these weeks differently, but they typically include the Buddha experiencing the bliss of liberation, being sheltered by a naga king during a storm, and being offered food by merchants."
First Sermon at Sarnath,"Delivered the ""Dhammacakkappavattana Sutta"" (Setting the Wheel of Dharma in Motion) to his five former companions, who became his first disciples.","Dhammacakkappavattana Sutta (SN 56.11), Mahavagga (Vinaya Pitaka)",Taught the Four Noble Truths and the Noble Eightfold Path. All five ascetics attained stream-entry during this discourse.
Building the Sangha,"Gradually gathered more disciples, including wealthy patrons like Anathapindika and former nobility like Yasa.","Mahavagga (Vinaya Pitaka), Various Suttas","Early conversions include the three Kassapa brothers and their 1,000 fire-worshipping disciples, and the king's chief ministers Sariputta and Moggallana."
Return to Kapilavastu,"Returned to his homeland and reconciled with his family. His son Rahula, father King Suddhodana, cousin Ananda, and many Sakyan nobles joined the Sangha.","Nidanakatha, Rahula Sutta (MN 61)",The Buddha performed miracles to impress his proud relatives. Established rules about parental consent after his father complained about Rahula's ordination.
Establishing the Nuns' Order,"Initially reluctant, the Buddha eventually agreed to establish an order of nuns (Bhikkhuni Sangha) after his stepmother Mahapajapati and other women shaved their heads and walked to find him.",Cullavagga (Vinaya Pitaka),The Buddha's attendant Ananda advocated on behalf of the women. The Buddha established additional rules for the nuns' order.
