,,,
Date,Event,,
1500 BC - 1300 BC,Cimmerian culture develops in the northern Black Sea steppes,,
1450 BC,Hittite Empire expands to Black Sea coast of Anatolia,,
1400 BC,Early trade networks established between Mycenaean Greece and Black Sea regions,,
1380 BC - 1350 BC,Kaskan tribes challenge Hittite control of northern Anatolia,,
1350 BC,Expansion of Hittite control in Black Sea region under Suppiluliuma I,,
1300 BC,Bronze Age settlements flourish along southern Black Sea coast,,
1250 BC,"Height of Hittite Empire, controlling much of future Pontic territories",,
1230 BC - 1210 BC,Sea Peoples' migrations begin affecting eastern Mediterranean,,
1200 BC - 1180 BC,Collapse of Hittite Empire leaves power vacuum in Anatolia,,
Date,Event,,
1180 BC - 1150 BC,Post-Hittite states emerge in northern Anatolia,,
1150 BC,Proto-Phrygian migration into central Anatolia,,
1100 BC,Cimmerians establish dominance north of Black Sea,,
1050 BC,Early iron working technology spreads to Black Sea coastal regions,,
1000 BC,Tribal kingdoms develop in mountainous regions of future Pontus,,
950 BC,Formation of neo-Hittite states in southeastern Anatolia,,
900 BC,"Assyrian records mention ""land of Mushki"" (possibly proto-Phrygians) in eastern Anatolia",,
850 BC,"Rise of Urartu kingdom in Armenian highlands, influencing eastern Black Sea region",,
800 BC,"Phrygian kingdom reaches height under King Midas, controls parts of central Anatolia",,
800 BC - 750 BC,Indigenous Colchian culture flourishes in eastern Black Sea region (modern Georgia),,
Date,Event,,
775 BC - 750 BC,First Greek contact with Black Sea region through exploratory voyages,,
750 BC,Emergence of early Paphlagonians and Mariandynians in central northern Anatolia,,
735 BC,Cimmerians migrate into Anatolia due to Scythian pressure from the east,,
728 BC,Foundation of Sinope by Greek colonists from Miletus (first Greek colony on south Black Sea),,
720 BC,Cimmerian destruction of Phrygia and death of King Midas,,
706 BC,Foundation of Trapezus (modern Trabzon) as a colony of Sinope,,
700 BC,"Emergence of Mossynoeci, Tibareni and Chalybes tribes in northeastern Anatolia",,
691 BC,Cimmerians defeated by Assyrian King Esarhaddon,,
679 BC,"Cimmerians return to Anatolia, defeat Lydian King Gyges",,
675 BC,Foundation of Amisos (modern Samsun) by Milesian colonists,,
668 BC,Scythians enter Anatolia in pursuit of Cimmerians,,
652 BC,Cimmerians capture Sardis (Lydian capital) except for the acropolis,,
630 BC,Foundation of Panticapaeum (modern Kerch) in eastern Crimea by Milesians,,
630 BC,Foundation of Olbia at the mouth of the Southern Bug River,,
625 BC,Foundation of Heraclea Pontica (modern Karadeniz Ereğli),,
600 BC,Foundation of Dioscurias (modern Sukhumi) in Colchis,,
600 BC,Syro-Cappadocian culture flourishes in inland Anatolia,,
590 BC - 580 BC,Lydian King Alyattes finally expels Cimmerians from Anatolia,,
585 BC,Battle of the Eclipse between Medes and Lydians sets boundary at Halys River,,
550 BC,Greek colonies establish control of Black Sea trade routes,,
Date,Event,,
547 BC,"Persian King Cyrus the Great defeats Lydian King Croesus, begins conquest of Anatolia",,
546 BC,Persian conquest reaches Black Sea coastal regions,,
546 BC - 540 BC,Greek coastal cities in Anatolia come under Persian control,,
530 BC,Darius I organizes Persian Empire into satrapies; northern Anatolia part of Cappadocian satrapy,,
520 BC,Scythian campaign of Darius I in the northern Black Sea region,,
513 BC,"Darius crosses Bosporus into Europe, subjugates Thracian tribes",,
500 BC - 493 BC,Ionian Revolt includes some Black Sea Greek cities,,
480 BC - 479 BC,Persian Wars against Greece,,
450 BC,Establishment of the Kingdom of Bosporus under Archaeanactid dynasty,,
438 BC,Spartocid dynasty takes control of Bosporan Kingdom,,
436 BC,Athens establishes cleruchy at Amisos (renamed Piraeus),,
410 BC,Persian satrap Darius II appoints Iranian nobles to govern eastern Anatolia,,
401 BC,"The ""Ten Thousand"" Greek mercenaries pass through northeastern Anatolia after Battle of Cunaxa",,
400 BC,"Xenophon's ""Anabasis"" describes Black Sea coastal peoples",,
387 BC,King's Peace returns Black Sea Greek cities to Persian control,,
370 BC,Datames appointed Persian satrap of Cappadocia,,
362 BC,Datames' rebellion against Persian authority,,
360 BC,Mausolus of Caria extends influence to some Black Sea cities,,
350 BC,"Cappadocia divided into two satrapies: ""Cappadocia towards the Taurus"" and ""Cappadocia towards the Pontus""",,
337 BC,Mithridates of Cius (probable ancestor of Pontic dynasty) becomes ruler of Mariandynia,,
336 BC,Alexander the Great begins campaign against Persian Empire,,
Date,Event,,
334 BC,Alexander's army enters Anatolia,,
333 BC,Alexander defeats Persians at Battle of Issus,,
333 BC - 330 BC,Alexander assigns governors to Anatolian territories,,
331 BC,Execution of Mithridates of Cius by Persian King Darius III,,
323 BC,Death of Alexander the Great,,
321 BC - 301 BC,Wars of the Diadochi (Alexander's successors),,
320 BC,Eumenes of Cardia controls parts of northern Anatolia,,
318 BC,"Antigonus One-Eye defeats Eumenes, takes control of Anatolia",,
315 BC,Mithridates II of Cius flees to Paphlagonia from Antigonus,,
302 BC,Mithridates II declares himself ruler in northern Anatolia,,
301 BC,Battle of Ipsus; Anatolia divided between victorious generals,,
300 BC - 290 BC,Mithridates II expands control in northern Anatolia,,
297 BC - 281 BC,"Rule of Zipoetes I in Bithynia, rival to early Pontic kingdom",,
295 BC,"Traditional founding date of Kingdom of Pontus by Mithridates I Ktistes (""The Founder"")",,
281 BC,Death of Seleucus I Nicator changes balance of power in Anatolia,,
281 BC - 266 BC,Reign of Ariobarzanes as second king of Pontus,,
279 BC,Celtic Galatians invade Anatolia,,
266 BC - 250 BC,Reign of Mithridates II of Pontus,,
255 BC,Mithridates II marries Seleucid princess Laodice,,
250 BC - 220 BC,Reign of Ariobarzanes II of Pontus (largely unknown period),,
245 BC,Ptolemy III's fleet operates in the Black Sea,,
235 BC,Kingdom of Bithynia under Ziaelas challenges Pontic power,,
220 BC - 190 BC,Reign of Mithridates III of Pontus,,
220 BC - 210 BC,First Pontic territorial expansions along coast,,
215 BC,Pontus sides with Philip V of Macedon against Rome,,
200 BC - 196 BC,Second Macedonian War; Roman intervention in Greek affairs grows,,
190 BC,Battle of Magnesia; Romans defeat Seleucid king Antiochus III,,
190 BC - 169 BC,Reign of Pharnaces I of Pontus,,
183 BC,"Pharnaces I captures Sinope, making it the new Pontic capital",,
179 BC,Treaty between Pontus and Pergamon after Roman intervention,,
170 BC - 150 BC,Pontic expansion into Galatia and Paphlagonia,,
169 BC - 150 BC,Reign of Mithridates IV Philopator Philadelphus,,
156 BC - 154 BC,Pontic assistance to Pergamon against Bithynia,,
150 BC - 120 BC,Reign of Mithridates V Euergetes,,
149 BC - 148 BC,Fourth Macedonian War; Macedonia becomes Roman province,,
130 BC - 129 BC,Aristonicus' revolt against Roman rule in Asia,,
128 BC - 126 BC,Pontic alliance with Rome during Aristonicus' revolt,,
120 BC - 115 BC,Regency of Laodice (mother) for young Mithridates VI,,
Ruler,Reign,Relationship,Notes
Mithridates of Cius,d. 331 BC,Distant ancestor,"Persian nobleman, ruler of Mariandynia"
Mithridates II of Cius,d. 302 BC,Son of Mithridates of Cius,"Fled from Antigonus, established independent rule"
Mithridates I Ktistes,302-266 BC,Son of Mithridates II of Cius,Founder of the Kingdom of Pontus
