,,,,,
Year (approx.),Organization,Location/Origin,Type,Notable Information,
1695.0,International Order of St. Hubertus,Bavaria,Hunting Society,"A secretive hunting society with esoteric undertones, sometimes called the ""Illuminati of the hunting world."" Primarily focused on hunting traditions and conservation.",
1717.0,Freemasonry,England,Fraternal Order,Officially organized in England.,
1781.0,Ancient Order of Druids (AOD),"London, England",Fraternal Order,"Founded in London, England.",
1784.0,Prince Hall Freemasonry,United States,Fraternal Order,Founded by Prince Hall for African Americans.,
1795.0,The Grand Orange Lodge of Ireland,Northern Ireland,Protestant Fraternal Organization,Formed after the Battle of the Diamond; formalized as a Grand Lodge in 1798.,
1800s,The Ona Secret Society,Tierra del Fuego,Indigenous Society,"All-male society among the Ona people, based on a legend of overthrowing a female-led order (precise founding date unknown).",
1819.0,Independent Order of Odd Fellows (IOOF),North America,Fraternal Order,Established in North America.,
1822.0,Royal Antediluvian Order of Buffaloes,England,Fraternal Organization,Established in England.,
1833.0,United Ancient Order of Druids (UAOD),,Fraternal Order,"Split from AOD, motto: ""United to assist"".",
1835.0,Independent Order of Rechabites (IOR),,Temperance Society,First order promoting teetotalism.,
1836.0,Ancient Order of Hibernians,United States,Irish Catholic Fraternal Organization,Established in the United States.,
1840s,The Molly Maguires,Ireland/Pennsylvania,Protest/Fraternal Society,Originated in Ireland in the 1840s as a secret society of anti-landlord agitators; activity in the U.S. coalfields peaked between 1862–1876.,
1843.0,B'nai B'rith,United States,Jewish Service Organization,Founded in the United States.,
1800s,Royal Neighbors of America,United States,Female Auxiliary/Fraternal Organization,"Originally a female auxiliary to the Modern Woodmen, later became independent.",
1851.0,International Organisation of Good Templars,United States,Temperance Organization,Founded in the United States.,
1858.0,Order of Druids,,Fraternal Order,Created after UAOD split.,
1861.0,United Brothers of Friendship (UBF),"Louisville, Kentucky",African American Fraternal Order,"Founded in Louisville, Kentucky.",
1865.0,Societas Rosicruciana in Anglia (SRIA),England,Rosicrucian Order,"Open to Master Masons, an esoteric Christian order with Rosicrucian influences.",
1866.0,Grand Army of the Republic (GAR),,Veterans Organization,Formed for veterans of the Union Army and Navy.,
1866.0,Knights of Pythias,,Fraternal Order,Created after the Civil War.,
1867.0,National Grange of the Order of Patrons of Husbandry,United States,Agrarian Fraternal Organization,"Founded to support rural farmers through social, educational, and economic initiatives.",
1868.0,Ancient Order of United Workmen (AOUW),United States,Fraternal Benefit Society,"Combined financial protection with secret rituals and symbols, aimed at working-class members.",
1870.0,Golden Age of Fraternalism begins,,Era,Period of rapid growth in fraternal society membership.,
1870.0,Ancient Mystic Order Rosae Crucis,,Philosophical Organization,Founded in the United States.,
1870.0,Hermetic Brotherhood of Luxor,England/Egypt,Initiatic Occult Organization,"Became public in 1884, but claimed origins in 1870. Involved in initiatory occult practices.",
1870s-1880s,Freemasonic Co-Fraternal Orders,Europe/United States,Esoteric Masonic Orders,"Included fringe Masonic groups that incorporated esoteric traditions such as Hermeticism, Rosicrucianism, and Kabbalah into their rituals.",
1874.0,Prince Hall Order of the Eastern Star,,Masonic Appendant Body,First chapter opened.,
1874.0,Ancient and Archaeological Order of Druids (AAOD),,Druid Society,Founded by Dr. Wentworth Little.,
1874.0,Independent Order of Foresters,Canada/USA,Fraternal Benefit Society,Provided insurance benefits while incorporating ritualistic degrees and symbolism related to forestry.,
1877.0,Catholic Knights of America,United States,Catholic Fraternal Organization,Established to provide mutual aid and discourage secret societies among Catholics.,
1878.0,Sisters of the Mysterious Ten (SMT),,African American Women's Organization,Formalized as part of the United Brothers of Friendship.,
1881.0,Golden Star Fraternity,"Newark, New Jersey",Fraternal Order,"Founded in Newark, New Jersey.",
1882.0,Knights of Columbus,,Fraternal Service Organization,Founded as a Catholic fraternal benefit society.,
1883.0,Knights of the Maccabees,Canada,Fraternal Organization,Established in Canada.,
1883.0,Wolf's Head,Yale University (USA),Collegiate Secret Society,One of the three most prominent secret societies at Yale University (alongside Skull and Bones and Scroll and Key). (Founded in 1883).,
1883.0,Modern Woodmen of America,United States,Fraternal Benefit Society,Focused on life insurance and rituals involving forests and Roman courts.,
1886.0,Atlantic Self-Endowment Association,"Greenville, South Carolina",Mutual Insurance Society,"Founded in Greenville, South Carolina.",
1887.0,The Hermetic Order of the Golden Dawn,England,Occult Society,Focused on magical rituals and divine connections.,
1889.0,Empire Knights of Relief,"Buffalo, New York",Fraternal Organization,"Founded in Buffalo, New York.",
1889.0,Globe Fraternal Legion,Baltimore,Fraternal Organization,Founded in Baltimore.,
1890.0,Woodmen of the World,United States,Fraternal Benefit Society,Split from the Modern Woodmen; known for its philanthropy and ritualistic practices.,
1892.0,Concatenated Order of Hoo-Hoo,,Fraternal Organization,Established for lumber industry professionals.,
1893.0,Eclectic Assembly,"Bradford, Pennsylvania",Fraternal Order,"Founded in Bradford, Pennsylvania.",
1893.0,Home Circle,Boston,Fraternal Organization,Founded in Boston.,
1894.0,Dramatic Order of the Knights of Khorassan,,Fraternal Organization,Founded as an appendant order to the Knights of Pythias.,
1895.0,Sons of Norway,United States,Fraternal Organization,Founded in the United States.,
1895.0,Ancient Order of Pyramids,"Topeka, Kansas",Fraternal Benefit Society,"Founded in Topeka, Kansas.",
1895.0,Ancient Order of Sanhedrims,"Richmond, Indiana",Fraternal Order,"Founded in Richmond, Indiana.",
1896.0,Vasa Order of America,United States,Swedish-American Fraternal Organization,Established in the United States.,
1897.0,The Improved Benevolent and Protective Order of Elks of the World,African American,Fraternal Organization,Formed in response to exclusion from the original Elks lodges.,
1898.0,Fraternal Order of Eagles,,Fraternal Organization,Founded in the United States.,
1899.0,Arctic Brotherhood,"Skagway, Alaska",Fraternal Organization,"Founded in Skagway, Alaska.",
1903.0,Fraternal Order of Colonials,Missouri,Fraternal Insurance Society,Licensed in Missouri.,
