Approximate Date,Mythology,Figure,Description
c. 1000-500 BCE,Aztec,Tlaltecuhtli,The fragmented body of the primordial deity Tlaltecuhtli forms the foundation for the world in the Aztec creation myth of the fifth and final era.
c. 3rd century BCE (compiled),Chinese,Pangu,"Pangu's body forms the Sacred Mountains of China after his death, giving the natural features of the Earth their form."
c. 2400-2200 BCE,Egyptian,Atum,"Atum emerges from the primordial waters of Nun and gives birth to the gods Shu and Tefnut, creating the world."
c. 8th century CE,Japanese,Kotoamatsukami,"A group of primordial, genderless deities that emerged at the moment of the universe's creation in Japanese mythology."
6th century BCE,Greek (Orphic),Phanes,"Phanes is a primordial, hermaphroditic deity who represents the first cosmic being and the source of all life and order, emerging from Chaos."
c. 1500-500 BCE,Hindu,Purusha,"Purusha is the cosmic man, whose body parts are used to form the world, representing the immortal aspect of the individual and the cosmic order in Vedic and Upanishadic traditions."
Date unknown,Northeast India,Kujum-Chantu,A female cosmic giant whose body formed the earth and solar system upon death.
c. 200-900 CE,Maya,Gucumatz (Kukulkan),"Gucumatz, a primordial creator deity, creates the world and humanity from the primordial sea and mud in Maya mythology."
c. 2000-1600 BCE,Mesopotamian,Marduk,"Marduk defeats the chaos deity Tiamat and uses her body to create the world, in Mesopotamian creation myths."
c. 13th century CE (compiled),Norse,Ymir,"Ymir is a primeval, hermaphroditic giant whose body is used by the gods to create the earth, seas, and mountains after his death, representing the initial state of chaos."
c. 1200-1000 BCE,Persian (Zoroastrian),Keyumars/Gayōmart,"Keyumars/Gayōmart, a primordial figure, releases semen at death, from which the first human couple is created. His body also becomes earth’s metals."
Date unknown,Polynesian,Ta'aroa,A primordial deity who emerges from the cosmic egg and creates the world in some Polynesian traditions.
Date unknown,Vietnamese,Thần Trụ Trời,A primordial deity who creates the world by erecting pillars to separate the heavens from the earth in Vietnamese mythology.
c. 600 BCE - 1st century CE,Jewish (Kabbalistic),Adam Kadmon/Adam kasia,"In Jewish legends, Adam was created from dust from the four corners of the Earth and contained the soul of all humanity. In Kabbalistic teachings, this primordial man is Adam Kadmon."
