"Apollonius of Tyana’s life, with historical sources, parable-like episodes, and documentation of attributed parables. All sources are cited in standard academic form.",,,,,
,,,,,
Date/Period,Episode/Event,Summary/Parable-like Elements,Primary Sources,Parables/Teachings,Notes/Variations
c. 15 CE,Birth,"Born in Tyana, Cappadocia; miraculous portents at birth (e.g., swans singing, lightning).","Philostratus, VA 1.4–1.6",-,"Parallels to miraculous births in ancient literature (e.g., Pythagoras, Jesus)."
c. 30 CE,Early Asceticism,"At age 16, adopts Pythagorean practices: vegetarianism, celibacy, silence, giving away inheritance.","Philostratus, VA 1.7–1.13","“As the wise man is a temple of God, so too is the body a temple of the soul.”",Emphasis on self-mastery and discipline; echoes of Pythagorean and Stoic parables.
c. 35–40 CE,Temple of Aesculapius,"Lives at Aegae, gains fame for healing and prophecy.","Philostratus, VA 1.14–1.23","“The wise man should resemble the physician, whose first duty is to heal himself.”",Miraculous healings; parable of the physician.
c. 40–45 CE,Vow of Silence and Travels,"Five years of silence; travels through Asia Minor, calming disputes.","Philostratus, VA 1.14–1.23",“Silence is the safest response for all the contradiction that arises from ignorance.”,Parable-like episodes of resolving conflict through non-action and wisdom.
c. 45–60 CE,Eastern Journeys,"Travels to Babylon, India, Egypt; learns from Brahmans, Magi, Egyptian priests.","Philostratus, VA 1.19–3.58","“The gods do not need sacrifices, but a pure mind.”","Parable of the Indian sages: wisdom is found in simplicity and virtue, not ritual."
c. 60–70 CE,Return to Greece and Rome,"Returns to Greece, performs miracles (e.g., revives a Roman bride, exorcises demons).","Philostratus, VA 4.45–4.48","“The soul is imprisoned by the passions, as a bird by a cage.”",Resurrection of the bride: parallels to Gospel miracles; interpreted as a parable of spiritual awakening.
c. 69 CE,Encounter with Vespasian,Advises Vespasian on just rulership; predicts his rise to emperor.,"Philostratus, VA 5.27–5.41; Cassius Dio, Roman History 66.12","“A good ruler is like a gardener: he must prune, not destroy.”",Parable of the gardener; Philostratus dramatizes political influence.
c. 70–90 CE,Miracles and Teachings,"Performs miracles, heals, exorcises, foretells events (e.g., plague, Domitian’s death).","Philostratus, VA 6.27–8.26; Eusebius, Contra Hieroclem","“As the sun shines on both the just and the unjust, so should the wise man’s charity.”",Parable of the sun; used by pagans as counter-narrative to Christian miracles.
c. 93 CE,Trial under Domitian,Accused of sorcery and treason; allegedly vanishes from court or is acquitted.,"Philostratus, VA 7.33–8.8; Eusebius, Contra Hieroclem",“Injustice is like a shadow: it flees before the light of truth.”,Parable of the shadow; variations in accounts of trial outcome.
c. 100 CE,Death/Ascension,Dies or vanishes; followers claim ascension to heaven.,"Philostratus, VA 8.30; Adana Inscription (C.P. Jones, 2006)","“The soul’s journey is not ended by death, but by ignorance.”",Apotheosis motif; shrines and cultic veneration.
