,,,,,,,,
,,,,,,,,
2.1 Cosmic Evolution Stages,,,,,,,,
,,,,,,,,
"The largest temporal scale traces the development of the universe itself, providing the ultimate context for all subsequent evolution.",,,,,,,,
,,,,,,,,
Table: CosmicEvolutionStages,,,,,,,,
StageID,StageName,StartTime (Years BP),EndTime (Years BP),Description,KeyCharacteristics,PrecedingStageID,NextStageID,
C1,Planck Epoch,13.8 billion,13.8 billion - 10^-43 seconds,Period immediately after Big Bang when quantum effects dominated,"Extreme energy density, four fundamental forces unified",NULL,C2,
C2,Grand Unification Epoch,13.8 billion - 10^-43 seconds,13.8 billion - 10^-36 seconds,Period when strong force separated from electroweak force,Three fundamental forces unified,C1,C3,
C3,Inflationary Epoch,13.8 billion - 10^-36 seconds,13.8 billion - 10^-32 seconds,Rapid exponential expansion of space,"Massive expansion, smoothing of universe",C2,C4,
C4,Quark Epoch,13.8 billion - 10^-12 seconds,13.8 billion - 10^-6 seconds,Formation of quarks and gluons,Quark-gluon plasma,C3,C5,
C5,Hadron Epoch,13.8 billion - 10^-6 seconds,13.8 billion - 1 second,Formation of hadrons (baryons and mesons),Protons and neutrons formed,C4,C6,
C6,Lepton Epoch,13.8 billion - 1 second,13.8 billion - 10 seconds,Leptons dominated energy density,Electron-positron pairs abundant,C5,C7,
C7,Nucleosynthesis,13.8 billion - 10 seconds,13.8 billion - 20 minutes,Formation of light atomic nuclei,"Hydrogen, helium, and lithium formed",C6,C8,
C8,Atomic Era,"13.8 billion - 380,000 years",13.8 billion - 150 million years,Formation of neutral atoms,Cosmic microwave background radiation released,C7,C9,
C9,Dark Ages,13.8 billion - 150 million years,13.8 billion - 1 billion years,Period before first stars,No visible light sources,C8,C10,
C10,Stellar Formation Era,13.8 billion - 1 billion years,Present,Formation of stars and galaxies,"Reionization of universe, continuing star formation",C9,NULL,
,,,,,,,,
2.2 Solar System Evolution,,,,,,,,
Table: SolarSystemEvolution,,,,,,,,
StageID,StageName,StartTime (Years BP),EndTime (Years BP),Description,KeyCharacteristics,PrecedingStageID,NextStageID,
S1,Solar Nebula,4.6 billion,4.57 billion,Molecular cloud collapse,Rotating disk of gas and dust,NULL,S2,
S2,Protoplanetary Disk,4.57 billion,4.56 billion,Formation of Sun and planetary disk,"T Tauri phase of Sun, planetesimal formation",S1,S3,
S3,Planetary Accretion,4.56 billion,4.5 billion,Growth of planets,"Heavy bombardment, planet migration",S2,S4,
S4,Late Heavy Bombardment,4.1 billion,3.8 billion,Intense asteroid impacts,Reshaping of planetary surfaces,S3,S5,
S5,Middle Solar System,3.8 billion,700 million,Relative stability,Gradual evolution of planetary systems,S4,S6,
S6,Recent Solar System,700 million,Present,Modern configuration,Current orbital arrangements,S5,NULL,
,,,,,,,,
2.3 Geological Timescale,,,,,,,,
Table: GeologicalEons,,,,,,,,
EonID,EonName,StartTime (Years BP),EndTime (Years BP),Description,KeyCharacteristics,PrecedingEonID,NextEonID,
G1,Hadean,4.5 billion,4.0 billion,Earth's formation,"Formation of crust, intense meteorite bombardment, no preserved rocks",NULL,G2,
G2,Archean,4.0 billion,2.5 billion,First life,"Primitive bacteria, anoxic atmosphere, cratonization",G1,G3,
G3,Proterozoic,2.5 billion,541 million,Oxygen revolution,"Oxygenation of atmosphere, early multicellular life, snowball Earth events",G2,G4,
G4,Phanerozoic,541 million,Present,Complex life,"Animals, plants, fungi, humans",G3,NULL,
,,,,,,,,
Table: GeologicalEras,,,,,,,,
EraID,EraName,EonID,StartTime (Years BP),EndTime (Years BP),Description,KeyCharacteristics,PrecedingEraID,NextEraID
GE1,Paleoarchean,G2,4.0 billion,3.6 billion,Early Archean,First prokaryotic life,NULL,GE2
GE2,Mesoarchean,G2,3.6 billion,3.2 billion,Middle Archean,Stromatolites appear,GE1,GE3
GE3,Neoarchean,G2,3.2 billion,2.5 billion,Late Archean,First continental masses,GE2,GE4
GE4,Paleoproterozoic,G3,2.5 billion,1.6 billion,Early Proterozoic,Great Oxygenation Event,GE3,GE5
GE5,Mesoproterozoic,G3,1.6 billion,1.0 billion,Middle Proterozoic,First eukaryotes,GE4,GE6
GE6,Neoproterozoic,G3,1.0 billion,541 million,Late Proterozoic,"Snowball Earth, Ediacaran fauna",GE5,GE7
GE7,Paleozoic,G4,541 million,252 million,Ancient life,"First complex animals, land plants, mass extinctions",GE6,GE8
GE8,Mesozoic,G4,252 million,66 million,Middle life,"Dinosaurs, first mammals, Pangaea breakup",GE7,GE9
