Table of Contemporary Kabbalistic & Jewish Mystical Teachers,,,,,,,
Name,Tradition/Lineage,Teachers,Location,Age (Est.),Key Books,Website,Contact/Org
Rabbi Arthur Green,"Neo-Hasidism, Kabbalah",Abraham Joshua Heschel,"Boston, USA",80s,"Radical Judaism, Ehyeh: A Kabbalah for Tomorrow",www.arthurgreen.org,Hebrew College
Rabbi David Cooper,"Jewish Meditation, Nondual Kabbalah","Shlomo Carlebach, Tibetan Buddhism","Colorado, USA",70s,"God is a Verb, The Handbook of Jewish Meditation",www.rabbidavidcooper.com,Private Teachings
Rabbi Jay Michaelson,"Nondual Judaism, Integral Kabbalah",Zalman Schachter-Shalomi,"New York, USA",50s,"Everything is God, The Gate of Tears",www.jaymichaelson.net,Or HaLev Meditation
Rabbi Tirzah Firestone,"Jungian Kabbalah, Feminist Mysticism",Zalman Schachter-Shalomi,"Colorado, USA",60s,"Wounds into Wisdom, The Receiving",www.tirzahfirestone.com,Jewish Mystical Psychology
Rabbi Amichai Lau-Lavie,"Post-Hasidic, Ritual Innovation",Israeli Rabbinate,"New York, USA",50s,Storahtelling (Performance Art),www.labshul.org,Lab/Shul
Rabbi Rami Shapiro,"Perennial Wisdom, Jewish Nonduality","Self-taught, influenced by Heschel","Tennessee, USA",70s,"Perennial Wisdom for the Spiritually Independent, The Sacred Art of Lovingkindness",www.rabbirami.com,One River Foundation
Rabbi David Ingber,"Neo-Hasidism, Embodied Kabbalah",Zalman Schachter-Shalomi,"New York, USA",50s,Romemu Liturgy (Prayerbook),www.romemu.org,Romemu Synagogue
Rabbi Matthew Ponak,"Embodied Kabbalah, Somatic Judaism","Arthur Green, Buddhist Teachers","Vancouver, Canada",40s,Embodied Kabbalah,www.matthewponak.com,Private Teachings
Rabbi Shais Rishon (MaNishtana),"Black Jewish Mysticism, Activism",Self-taught,USA,40s,Ariel Samson: Freelance Rabbi (Fiction),www.manishtana.net,Independent
Rabbi Diane Elliot,"Movement Kabbalah, Embodied Torah",Zalman Schachter-Shalomi,"California, USA",60s,This is the Day (Movement Meditations),www.whollypresent.org,Wholly Present
Rabbi Yitzchak Ginsburgh,Chabad-Lubavitch (Extreme Kabbalah),Menachem Mendel Schneerson,Israel,80s,"The Alef-Beit, Kabbalah and Meditation",www.inner.org,Gal Einai Institute
Rabbi Gershon Winkler,Indigenous Jewish Mysticism,"Self-taught, Shamanic","New Mexico, USA",70s,The Way of the Boundary Crosser,www.walkingstick.org,Walking Stick Foundation
Rabbi Ezra Weinberg,"Contemporary Hasidism, Meditation","Chabad, Breslov","New York, USA",40s,The Illuminated Heart (Poetry),www.thewanderingjew.space,The Wandering Jew
Rabbi Yonah Bookstein,"Mystical Zionism, Community Activism",Shlomo Carlebach,"Los Angeles, USA",50s,Jewish Wisdom for Business Success,www.picoshul.org,Pico Shul
Rabbi Shmuly Yanklowitz,"Ethical Mysticism, Animal Rights",Orthodox Yeshivas,"Arizona, USA",40s,Pirkei Avot: A Social Justice Commentary,www.urj.org,Uri L’Tzedek
Rabbi Jill Hammer,"Feminist Kabbalah, Earth-Based Judaism",Reconstructionist Judaism,"New York, USA",50s,"The Jewish Book of Days, Sisters at Sinai",www.telshemesh.org,Kohenet Priestess Institute
Zvi Ish-Shalom,"Kedumah Kabbalah, Nondual Judaism",Traditional & Tibetan Buddhism,"Colorado, USA",50s,The Kedumah Experience (Online Courses),www.kedumah.org,Kedumah Institute
James Jacobson-Maisels,Jewish-Buddhist Meditation,"Joseph Goldstein, R. Art Green",Israel/USA,50s,Jewish Meditation Practices (Teachings),www.orhalev.org,Or HaLev Meditation Center
Rabbi Mira Rivera,JOCSM (Jews of Color) Mysticism,Conservative Judaism,"New York, USA",40s,(Contributor to anthologies),www.romemu.org,"Romemu, JOCSM Advocate"
Rabbi Matthew Berkowitz,"Mystical Art, Eco-Judaism",Jewish Theological Seminary,"Jerusalem, Israel",50s,The Lovell Haggadah (Illustrated),www.jtsa.edu,JTS (Jewish Theological Seminary)
