Timeline of Major Occult Groups and Mystery Schools Throughout History,,,,,
Date,Organization/School,Location,Key Figures,Core Beliefs/Practices,Historical Significance
1600-1500 BCE,Egyptian Mystery Schools,Ancient Egypt,Priests of various temples,"Initiation rituals, death/rebirth symbolism, sacred knowledge of mathematics and astronomy",Influenced later Greek mystery traditions; preserved in temple hieroglyphs
1500-500 BCE,Eleusinian Mysteries,"Eleusis, Greece",Hierophants of Demeter and Persephone,"Agricultural cycle mysteries, afterlife teachings, sacred drama",Most famous Greek mystery cult; operated continuously for nearly 2000 years
700-500 BCE,Orphic Mysteries,Greece,Legendary founder Orpheus,"Reincarnation, body as prison for soul, purification rituals",Influenced Pythagorean and Platonic thought
530 BCE,Pythagorean Brotherhood,"Croton, Italy",Pythagoras,"Mathematics as mystical doctrine, vegetarianism, communal living, reincarnation",First structured Western esoteric school combining science and mysticism
500-300 BCE,Dionysian Mysteries,Greece/Rome,Various priests and priestesses,"Ecstatic rituals, wine consumption, wild dancing, communion with Dionysus",Offered religious experiences outside state religion
400-200 BCE,Samothracian Mysteries,Island of Samothrace,Unknown initiates,"Maritime protection, initiation ceremonies",Popular among seafarers and merchants
300 BCE-400 CE,Mithraic Mysteries,Roman Empire,Unknown priests,"Solar worship, bull sacrifice symbolism, masculine warrior virtues",Popular among Roman soldiers; rival to early Christianity
100-400 CE,Gnostic Schools,"Egypt, Syria, Asia Minor","Valentinus, Basilides, Mani","Divine spark trapped in material world, secret knowledge (gnosis) for salvation",Early alternative Christian traditions; rediscovered in Nag Hammadi texts
200-600 CE,Hermetic Orders,"Alexandria, Egypt",Attributed to Hermes Trismegistus,"Alchemy, astrology, theurgy, ""as above, so below"" principles",Corpus Hermeticum texts profoundly influenced later Western esotericism
400-1000 CE,Merkabah Mysticism,Middle East,Jewish mystics,"Throne chariot visions, angelic encounters, divine names",Precursor to Kabbalah
1100-1300 CE,Cathars,Southern France,Various Perfect ones,"Dualistic cosmology, asceticism, rejection of material world",Persecuted by Albigensian Crusade; influenced later European esotericism
1100-1600 CE,Kabbalistic Schools,"Spain, France, Israel","Abraham Abulafia, Moses de León, Isaac Luria","Tree of Life, letter mysticism, creation theories, divine emanations",Jewish mystical tradition that greatly influenced Western occultism
1118-1312 CE,Knights Templar,Europe/Middle East,"Hughes de Payens, Jacques de Molay",Originally military order; later accused of heretical practices,Generated centuries of myths about secret knowledge from the East
1300-1600 CE,Alchemical Societies,Europe,"Paracelsus, Nicolas Flamel","Transmutation of metals, inner spiritual transformation",Developed symbolic language that influenced psychology and esotericism
1614-1620 CE,Rosicrucians (original),Germany,Johann Valentin Andreae (attributed),"Christian esotericism, alchemy, sacred geometry",Published manifestos creating widespread interest in hidden brotherhoods
1717 CE,Freemasonry (Modern),England,"James Anderson, John Theophilus Desaguliers","Moral teachings through symbolism and ritual, fraternity",Largest and most influential Western esoteric tradition
1776-1785 CE,Bavarian Illuminati,"Bavaria, Germany",Adam Weishaupt,"Enlightenment ideals, opposition to religious influence",Short-lived but generated enduring conspiracy theories
1875-present,Theosophical Society,USA/International,"Helena Blavatsky, Henry Olcott, Annie Besant","Synthesis of world religions, ancient wisdom tradition, hidden masters",Popularized Eastern concepts in Western occultism
1887-present,Hermetic Order of the Golden Dawn,England,"S.L. MacGregor Mathers, W.W. Westcott, A.E. Waite","Ceremonial magic, Kabbalah, tarot, astrology",Most influential magical order of modern times
1904-present,Thelema/OTO branches,England/International,Aleister Crowley,"Will-based magick, ""Do what thou wilt"" philosophy",Major influence on modern western occultism
1925-present,Builders of the Adytum (BOTA),USA,Paul Foster Case,"Tarot symbolism, Kabbalah, esoteric psychology",Systematic correspondence course in Western mysteries
1950s-present,Wicca,England/International,"Gerald Gardner, Doreen Valiente","Nature worship, goddess spirituality, ceremonial magic",Revival and reinvention of pagan practices
1966-present,Church of Satan,USA,Anton LaVey,"Atheistic self-worship, ritualized psychodrama",Influential in popular conception of modern Satanism
1975-present,Temple of Set,USA,Michael Aquino,"Left-hand path individualism, self-deification",Split from Church of Satan with more esoteric focus
1978-present,Covenant of the Goddess,USA,Multiple founders,"Wiccan and Neo-pagan principles, nature worship",Umbrella organization for various pagan traditions
1970s-present,Chaos Magic,England/International,"Peter J. Carroll, Ray Sherwin","Belief as tool, results-based magic, paradigm shifting",Postmodern approach to magical practice
1977-present,New Acropolis,Argentina/International,Jorge Ángel Livraga Rizzi,"Synthesis of Eastern and Western philosophy, Platonic idealism",Contemporary philosophical school with esoteric elements
1960s-present,Various Neo-Shamanic Groups,International,"Michael Harner, Carlos Castaneda","Journey work, plant medicine, altered states",Revival and adaptation of indigenous practices
1990s-present,Dragon Rouge,Sweden/International,Thomas Karlsson,"Left-hand path magic, dark feminine aspects, qliphothic exploration",Contemporary magical order with growing international presence
,,,,,
,,,,,
Category,Name,Location,Contribution,,
Necromancer,Cecco d’Ascoli,Italy,Burned for demonic astrology.,,
Alchemist,Paracelsus,Switzerland,"Spagyrics, elemental spirits.",,
Wizard,Michael Scot,Sicily,Translated Arabic necromancy.,,
Occultist,John Dee,England,Enochian angel magic.,,
Grimoire Author,"""Honorius of Thebes""",France?,Liber Juratus (sworn book).,,
