Year (CE),Figure,School/Tradition,Role/Contribution,Region
4 BCE – 30 CE,Jesus of Nazareth,Christianity,"Central figure of Christianity, crucified under Pontius Pilate",Judea
5–67,Saint Peter,Christianity,"One of Jesus’ apostles, first Bishop of Rome (Pope)",Rome
5–64,Saint Paul,Christianity,"Missionary, wrote Epistles, major figure in spreading Christianity",Asia Minor/Greece/Rome
20–100,Saint John the Apostle,Christianity,"Apostle of Jesus, traditionally attributed to writing the Gospel of John and Revelation",Ephesus
33–107,Saint Ignatius of Antioch,Christianity (Early Church Fathers),"Bishop of Antioch, wrote letters defining early church beliefs, martyred in Rome",Antioch/Rome
35–99,Saint Clement of Rome,Christianity (Catholic/Orthodox),"Fourth Pope, wrote letters influencing church governance",Rome
69–155,Saint Polycarp of Smyrna,Christianity,"Disciple of John, Bishop of Smyrna, martyred",Asia Minor
100–165,Justin Martyr,Christianity,"Apologist, defended Christianity against pagan criticism",Rome
126–202,Saint Irenaeus of Lyon,Christianity,"Bishop of Lyon, fought Gnostic heresies, wrote Against Heresies",Gaul
140–220,Tertullian,Christianity (Montanism),"Early theologian, coined the term ""Trinity""",Carthage
150–235,Origen of Alexandria,Christianity (Theology),"Early scholar, wrote Hexapla, allegorical interpretation of scripture",Egypt
170–236,Saint Hippolytus of Rome,Christianity,"First Antipope, wrote extensively on church order and heresies",Rome
218–222,Emperor Elagabalus,Roman Imperial,Attempted to merge Christianity with Sol Invictus worship,Rome
235–238,Emperor Maximinus Thrax,Roman Imperial,Initiated one of the first systematic persecutions of Christians,Rome
249–251,Emperor Decius,Roman Imperial,Launched empire-wide persecution of Christians,Rome
257–260,Emperor Valerian,Roman Imperial,"Persecuted Christians, executed Pope Sixtus II and Saint Lawrence",Rome
260–268,Emperor Gallienus,Roman Imperial,Issued edicts of toleration for Christians,Rome
200–258,Saint Cyprian of Carthage,Christianity,"Bishop of Carthage, wrote on church unity, martyred under Valerian",Carthage
284–305,Emperor Diocletian,Roman Imperial,Led the Great Persecution of Christians,Rome
