Order,Location,Scripture References,Activities & Events,Companions,Approx. Date,Duration,Latitude/Longitude
1.0,Tarsus (Birth),Acts 9:11; 21:39; 22:3,"Birth, early life, education",Family,5–10 CE,Early life,"36.9177°N, 34.8917°E"
2.0,Jerusalem,Acts 22:3; 26:4,Studied under Gamaliel,Fellow students,15–30 CE,~15 years,"31.7788°N, 35.2271°E"
3.0,Damascus (Syria),Acts 9:1-25; 22:5-16; 26:12-20,"Conversion, early preaching","Ananias, disciples",~34–36 AD,Several days,"33.5138°N, 36.2765°E"
4.0,Arabia (Nabatea),Gal 1:17,"Spiritual retreat, preaching",Unknown,~36–39 AD,~3 years,"~30.5°N, 35.5°E"
5.0,Damascus (Return),Gal 1:17; Acts 9:23-25,"Preaching, escape",Disciples,~39 AD,Unknown,"33.5138°N, 36.2765°E"
6.0,Jerusalem (1st visit),Acts 9:26-30; Gal 1:18-19,"Met Peter & James, preached, fled",Barnabas,~39 AD,15 days,"31.7683°N, 35.2137°E"
7.0,"Caesarea, Tarsus (Cilicia)",Acts 9:30; 11:25-26,"Ministry in hometown, preaching in Syria/Cilicia",Barnabas (later),~39–43 AD,~4 years,"36.8121°N, 34.6415°E"
8.0,Antioch (Syria),Acts 11:19-26; 13:1-3,"Taught, famine relief, commissioned for 1st journey","Barnabas, prophets/teachers",~43–46 AD,Several years,"36.2021°N, 36.1605°E"
1st Missionary Journey,Acts 13–14,"Preaching, miracles, persecution","Barnabas, John Mark",46–48 AD,~1–2 years,Various,
9.0,Seleucia,Acts 13:4,Departure port,"Barnabas, John Mark",46 AD,Short stay,"35.9280°N, 35.9087°E"
10.0,Salamis (Cyprus),Acts 13:5,Preached in synagogues,"Barnabas, John Mark",46 AD,Weeks,"35.1856°N, 33.9223°E"
11.0,Paphos (Cyprus),Acts 13:6-12,"Converted Sergius Paulus, opposed by Elymas","Barnabas, John Mark",46 AD,Weeks,"34.7756°N, 32.4244°E"
12.0,Perga (Pamphylia),Acts 13:13,John Mark departs,Barnabas,46 AD,Brief,"36.9612°N, 30.8537°E"
13.0,Antioch (Pisidia),Acts 13:14-52,"Preached, expelled",Barnabas,46–47 AD,Weeks,"38.3066°N, 31.1894°E"
14.0,Iconium,Acts 14:1-7,"Preached, miracles, fled persecution",Barnabas,47 AD,Months,"37.8817°N, 32.4596°E"
15.0,Lystra,Acts 14:8-20,"Healed lame man, stoned",Barnabas,47 AD,Weeks,"37.6646°N, 32.3475°E"
16.0,Derbe,Acts 14:20-21,"Preached, made disciples",Barnabas,47 AD,Weeks,"37.4386°N, 33.7667°E"
17.0,Return to Antioch (Syria),Acts 14:21-28,Reported on journey,Barnabas,47–48 AD,~1 year,"36.2021°N, 36.1605°E"
Jerusalem Council,Acts 15:1-29; Gal 2:1-10,Debated Gentile conversion,"Barnabas, Titus",49–50 AD,Short stay,"31.7683°N, 35.2137°E",
2nd Missionary Journey,Acts 15:36–18:22,"Strengthened churches, new cities","Silas, Timothy, Luke, others",50–52 AD,~2–3 years,Various,
18.0,Antioch (Syria),Acts 15:35,Prepared for journey,Silas,50 AD,Months,"36.2021°N, 36.1605°E"
19.0,Tarsus,Acts 15:41,Passed through,Silas,50 AD,Brief,"36.8121°N, 34.6415°E"
20.0,Derbe & Lystra,Acts 16:1-5,Recruited Timothy,"Silas, Timothy",50 AD,Weeks,"37.4386°N, 33.7667°E"
21.0,"Phrygia, Galatia",Acts 16:6,Strengthened churches,"Silas, Timothy",50 AD,Weeks,"~39.0°N, 30.0°E"
22.0,Troas,Acts 16:8-10,"""Macedonian Call"" vision","Silas, Timothy, Luke",50 AD,Brief,"39.9576°N, 26.2389°E"
23.0,"Samothrace, Neapolis",Acts 16:11,Travel stops,"Silas, Timothy, Luke",50 AD,Brief,"40.4776°N, 25.4800°E"
