"Here is a comprehensive timeline table integrating the evolution of Yemo/Yama and their variants, the development of Satan/Ahriman/Devil, the role of chthonic (underworld) deities across Indo-European cultures, and the etymological roots and connections (or lack thereof) between Yama/Yemo and YHVH/Yahweh/Jehovah. This table also highlights the PIE (Proto-Indo-European) links between various underworld deities and motifs.",,,,,,,
Period / Date,Culture / Region,Yemo/Yama & Variants Development,Chthonic/Underworld Deities & Motifs,Devil/Satan/Ahriman Development,YHVH/Yahweh/Jehovah Development,Etymological Notes & PIE Links,References/Notes
c. 3000–2000 BCE,Proto-Indo-European,"Yemo: Primordial twin, slain by Manu; his body becomes the world.","Dʰéǵʰōm: Earth-goddess, abode of the dead; underworld as the final dwelling of mortals.",No devil concept.,"No Yahweh cult; Northwest Semitic deities (El, Baal, etc.)",Yemo: PIE root yem- (“twin”). Dʰéǵʰōm: root for earth/underworld. No etymological link to YHVH.,8.0
c. 1500 BCE,Indo-Iranian,"Yama (India): First mortal, ruler of the dead. Yima (Iran): King, ruler of paradise.","Yama rules the land of the dead; Vala (Vedic), Veles (Slavic) as underworld/earth gods.",No personified evil; dualism not yet developed.,No Yahweh cult in Indo-Iranian world.,"Yama: Sanskrit from PIE yem-. Veles: Slavic, possibly from PIE Welnos, linked to earth/underworld.",68.0
c. 1200–1000 BCE,Northwest Semitic (Canaan),"No Yama; Canaanite death gods: Mot, Resheph.",Mot: God of death and underworld; chthonic sacrifices.,No devil concept.,Yahweh: Appears as a storm/war god in Canaanite pantheon.,No etymological overlap; YHVH possibly from h-y-h (“to be”).,8.0
c. 1000 BCE,Vedic/Hindu,"Yama: God of death, judge of souls, rides buffalo.",Yama as king of the dead; Nirrti (goddess of decay); Ratri (night).,-,-,Yama and YHVH: No linguistic or mythological connection.,8.0
c. 1000 BCE,Zoroastrian (Iran),"Yima: First king, ruler of paradise.","Angra Mainyu/Ahriman: Underworld adversary; Druj (deceit, chaos).","Ahriman: Principle of evil, dualistic adversary.",-,"Ahriman: Not PIE, but dualistic evil develops.",8.0
950–586 BCE,Israelite (First Temple),No Yama; Yahweh rules a pantheon; disasters from Yahweh or lesser gods.,Rephaim: Spirits of the dead; Sheol as underworld.,No Satan as adversary; angels unnamed.,Yahweh: Head of Israelite pantheon; polytheistic context.,"YHVH: Tetragrammaton, likely from h-y-h (“to be”); no Indo-European link.",8.0
8th–7th c. BCE,Israelite (Reforms),-,-,No devil concept.,Hezekiah/Josiah reforms: move toward Yahweh alone (monolatry).,No etymological overlap.,8.0
586–539 BCE,Babylonian Exile,-,-,No Satan as adversary; suffering attributed to Yahweh.,Collapse of pantheon; Yahweh as sole god.,-,8.0
539 BCE–70 CE,Second Temple Judaism,-,-,"Satan emerges as heavenly being (Zechariah, Job), not yet opponent.","Yahweh as sole god, monotheism.",No etymological overlap; Yama myth not present in Israelite tradition.,8.0
c. 3rd–1st c. BCE,Jewish Apocalyptic,-,-,"Satan/Devil personified as cosmic evil; stories of fallen angels (Azazel, 1 Enoch).",-,-,8.0
Early centuries CE,Buddhist (India/Tibet),"Yama: Judge of dead; Yamantaka: ""Yama-slayer,"" wrathful deity.",Yama as judge of the dead; Bhairava as fierce guardian.,-,-,Yama: Indo-European death judge motif.,8.0
Early centuries CE,Chinese/Japanese,"Yanluo Wang (China), Enma (Japan): Yama as underworld judge.",Yanluo Wang: Judge of the dead; Diyu (Chinese hell).,-,-,Yama imported via Buddhism; no YHVH connection.,8.0
