1. Bodhisattva Stages (Bhūmis),,,
#,Stage (Sanskrit),Key Realization,Qualities Developed
1.0,Pramuditā (Joyful),Direct insight into emptiness,Perfects generosity
5.0,Sudurjayā (Difficult to Conquer),Mastery over meditation,Perfects meditation
7.0,Dūraṅgamā (Far-Reaching),Skillful means (upāya),Perfects wisdom-compassion balance
10.0,Dharma Meghā (Cloud of Dharma),Complete omniscience,Buddha activity manifests
,,,
Source: Daśabhūmika Sūtra (Mahayana),,,
,,,
2. Types of Bodhicitta,,,
Type,Definition,Associated Practice,
Aspirational Bodhicitta (Praṇidhāna),Wish to attain enlightenment for all beings,Taking Bodhisattva vows,
Practical Bodhicitta (Prasthāna),Active engagement in the path,6 Perfections,
,,,
Subtypes:,,,
,,,
Relative Bodhicitta: Compassionate motivation,,,
,,,
Absolute Bodhicitti: Insight into emptiness,,,
3. Bodhisattva Vow Systems,,,
Tradition,Vow Set,Key Components,
Indian (Asaṅga),18 Root Vows,"Avoid abandoning beings, praising oneself",
Tibetan (Atiśa),46 Secondary Vows,Refine ethical conduct,
Zen (Brahmajāla),10 Major + 48 Minor,Precepts for monastic/lay Bodhisattvas,
,,,
Key Vow Examples:,,,
,,,
Never abandon a sentient being,,,
,,,
Never give up Bodhicitta,,,
,,,
Never teach emptiness to unprepared minds,,,
4. Grades of Bodhisattvas,,,
Type,Qualities,Path Level,
Ordinary Bodhisattva,Aspiration but no realization,Before 1st Bhūmi,
Ārya Bodhisattva,Direct emptiness insight,1st-10th Bhūmi,
Mahāsattva,Advanced (8th+ Bhūmi),Irreversible,
5. Path Components Integration,,,
System,Components,Relation to Bodhisattva Path,
5 Paths,Accumulation → No-More-Learning,Maps progress toward Buddhahood,
4 Immeasurables (Brahmavihāras),"Love, compassion, joy, equanimity",Cultivates Bodhicitta,
7 Cause-Effect Method (Atiśa),1. Recognize all as mother → 7. Bodhicitta,Develops compassion,
6. Aspiration Types (Praṇidhāna),,,
Type,Goal,Example,
King-Like,Attain Buddhahood first to help others,Samantabhadra,
Boatman-Like,Achieve enlightenment with others,Avalokiteśvara,
Shepherd-Like,Liberate all beings before oneself,Kṣitigarbha,
7. Faith (Śraddhā) in Bodhisattva Path,,,
Level,Definition,Role,
Clear Faith,Inspired by Buddha’s qualities,Initial spark,
Aspirational Faith,Longing to attain those qualities,Drives practice,
Irreversible Faith,Unshakable after 1st Bhūmi,Stabilizes path,
8. Integration with Mumukṣutva (Liberation-Seeking),,,
Tradition,Synthesis,Practice,
Yogācāra,Bodhicitta + Nirvana quest,Lankavatara Sūtra,
Vajrayana,Bodhicitta + Deity yoga,Guru Yoga,
Dzogchen,Rigpa + Compassion,Trekchö,
9. 20 Bodhisattva Qualities (Abhisamayālaṅkāra),,,
#,Quality,Cultivation Method,
1.0,Renunciation,Reflect on samsara’s faults,
12.0,Fearlessness,Mastery of Dharma,
20.0,Uninterrupted compassion,Always benefit beings,
10. Comparative Framework,,,
Tradition,Key System,Unique Emphasis,
Theravada,10 Pāramīs,Perfections for Buddhahood,
Zen,52 Stages (Avataṃsaka),Sudden/Gradual awakening,
Pure Land,48 Vows (Amitābha),Faith-based Bodhicitta,
,,,
Key Sources:,,,
,,,
Bodhicaryāvatāra (Śāntideva),,,
,,,
Avataṃsaka Sūtra (Huayan/Zen),,,
,,,
Abhisamayālaṅkāra (Maitreya),,,
,,,
,,,
1. Theravada: 10 Pāramīs (Perfections),,,
#,Pāramī (Pali),Key Practice,Emphasis
1.0,Dāna (Generosity),Giving without attachment,Cultivates non-clinging
2.0,Sīla (Morality),Ethical conduct,Purifies karma
3.0,Nekkhamma (Renunciation),Letting go of sensuality,Reduces craving
4.0,Paññā (Wisdom),Insight into impermanence,Directs all perfections
5.0,Viriya (Energy),Persistent effort,Overcomes laziness
6.0,Khanti (Patience),Enduring hardship,Tames anger
7.0,Sacca (Truthfulness),Honesty in speech/action,Builds trust
8.0,Adhiṭṭhāna (Determination),Unshakable resolve,Sustains practice
9.0,Mettā (Loving-kindness),Unconditional goodwill,Counteracts ill-will
10.0,Upekkhā (Equanimity),Balanced mind,Accepts joy/suffering equally
,,,
"Source: Buddhavaṃsa, Jātaka tales",,,
Unique Focus: Gradual cultivation over countless lifetimes to attain Samma-Sambuddhahood.,,,
,,,
2. Zen (Huayan/Avataṃsaka): 52 Stages,,,
Stage Group,# Stages,Key Phase,Description
Ground of Faith,10.0,Initial aspiration,Inspired by Buddha-nature
Ground of Practice,10.0,Preliminary cultivation,6 Perfections
Ground of Merit,10.0,Advanced practice,Unites wisdom-compassion
Ground of Wisdom,10.0,Bhūmis 1-10,Mahayana Bodhisattva stages
Ground of Ultimate,2025-11-12 00:00:00,Buddhahood,Dharmakaya realization
Final Stage (52),1.0,Myōgō (Marvelous Enlightenment),Complete awakening
,,,
