Approximate Date,Characters,,Source Text,,Involvement of Bull/Ocean/Serpent,,,Oldest Extant Texts/PIE Derived Pantheon,,Theme
24th century BCE,Osiris and Set,,"Pyramid Texts, ""Book of the Dead""",,Symbolic association with the bull,,,Egyptian mythology,,"Two brothers, one kills the other"
24th century BCE,Seth and Horus (Egypt),,"Pyramid Texts, ""Book of the Dead""",,,,,Battles between Horus and Set; bulls symbolic of kingship,,"Fraternal figures, rivalry over kingship"
22nd century BCE,Enlil and Ninurta,,"Sumerian mythology, ""Lugal-e""",,"Defeating chaos, similar to serpent themes",,,"Sumerian, early Middle Eastern myths",,God vs the forces of chaos
c. 2100-1200 BCE,Gilgamesh and Enkidu,,Epic of Gilgamesh,,"Involves bulls, divine creatures, and heroes",,,Oldest literary text in existence,,"Heroic duo, one dies"
18th-16th century BCE,Marduk and Tiamat,,"Babylonian epic, ""Enuma Elish""",,Ocean battle (Tiamat as primordial sea),,,"Enuma Elish, one of the oldest known creation myths",,God fights the ocean
1500–1200 BCE,Indra and Vṛtra,,Rigveda,,"Serpent battle, cosmic waters involved",,,"Hindu mythology, one of the earliest PIE-derived myths",,God fights a serpent
1500–1200 BCE,Yama and Yami (Hindu),,Vedic texts (Rigveda),,,,,"Yama as the first mortal to die, linked to underworld themes",,"Twin brother and sister, death theme"
14th-13th century BCE,Teshub and Illuyanka,,"Hittite myth, cuneiform texts",,Serpent battle,,,"Hittite mythology, influenced by Indo-European myths",,God fights a serpent
1200-600 BCE,Ahura Mazda and Angra Mainyu,,"Zoroastrian texts, Avesta",,Cosmic battle between good and evil,,,"Persian, Zoroastrian traditions",,Cosmic struggle of good and evil
1200-600 BCE,Ahriman and Ahura Mazda,,"Zoroastrian texts, Avesta",,,,,"Dualistic conflict; no bull, ocean, or serpent directly involved",,"Cosmic twins, good vs. evil struggle"
1st century BCE,Romulus and Remus,,"Livy, ""Ab Urbe Condita""",,No direct bull involvement,,,"Roman mythology, derived from PIE myths",,"Twin brothers, one kills the other"
6th century BCE (oral traditions earlier),Orphic Mysteries,,"Orphic Hymns, Orphic Theogony",,Serpent imagery tied to Orphic cosmogony,,,"Greek mystery traditions, influenced by PIE myths",,"Creation myth, divine struggles"
6th-5th century BCE,Cain and Abel,,"Bible, Book of Genesis",,"Livestock mentioned, no direct bull reference",,,"Hebrew Scriptures, oral traditions c. 10th century BCE",,"Two brothers, one kills the other"
4th century BCE - 4th century CE,Shiva and the Serpent Vasuki,,"Hindu mythology, Mahabharata and Puranas",,Ocean and serpent involved,,,"Hindu mythology, cosmic serpent involved",,God churns the ocean (Samudra Manthan)
1st-4th centuries CE,Mithra and the Bull,,"Mithraic Mysteries, Roman inscriptions",,Central theme of slaying a cosmic bull,,,"Persian origin, spread to Rome",,God slays a bull
"720 CE, 712 CE",Amaterasu and Susanoo,,"Nihon Shoki, Kojiki",,Involves sea and storm god Susanoo's battle,,,"Japanese mythology, non-PIE tradition",,Brother-sister rivalry
8th-7th century BCE (Homeric texts),Heracles and Geryon,,"Greek mythology, ""Labors of Heracles""",,Involves cattle and bull imagery,,,"Greek mythology, derived from PIE myths",,Hero fights a creature (cattle)
7th-6th century BCE,Apollo and Python,,"Greek mythology, Homeric Hymns",,Serpent battle,,,"Greek mythology, PIE-derived",,God fights a serpent
7th-6th century BCE,Eleusinian Mysteries,,"Homeric Hymns, other Greek sources",,Underworld and cyclical death/rebirth,,,"Greek mysteries, fertility cycles related to agriculture",,Abduction and return of Persephone
7th-6th century BCE,Apollo and Artemis,,"Homeric Hymns, Greek mythology",,,,,"God and goddess of sun and moon, no bull, ocean, or serpent involvement",,"Twin siblings, divine power dynamic"
700 BCE,Poseidon and Typhon,,Hesiod’s Theogony,,"Typhon, a monstrous serpent/dragon",,,"Greek mythology, Hesiod",,God fights a serpent (Typhon)
700 BCE,Typhon and Zeus,,"Greek mythology, ""Theogony""",,Typhon as a serpent/dragon,,,"Greek mythology, battle between Zeus and Typhon",,God fights a serpent
800-1000 CE,Vishnu and the Serpent,,Bhagavata Purana,,Serpent Shesha associated with cosmic waters,,,"Hindu mythology, later texts influenced by PIE",,God fights a serpent (Shesha)
13th century CE,Thor and Jörmungandr,,"Prose Edda, Poetic Edda",,Serpent lives in the ocean,,,Norse mythology,,God fights a serpent
13th century CE,Odin and Loki,,"Poetic Edda, Prose Edda",,,,,"Loki betrays Odin and the gods, linked to the end of the world (Ragnarök)",,"Fraternal figures, one betrays the other"
13th century CE,Höðr and Baldr,,"Poetic Edda, ""Gylfaginning""",,,,,Höðr (blind) kills Baldr (god of light) unintentionally; Loki’s trickery involved,,"Two brothers, one kills the other"
13th century CE,Thor and Loki,,"Poetic Edda, Prose Edda",,,,,Loki’s betrayal of Thor and the gods contributes to Ragnarök,,"Fraternal bond, Loki betrays Thor"
13th century CE,Thor and Jörmungandr,,Poetic Edda,,,,,"Thor's eternal battle with Jörmungandr, Midgard Serpent (cosmic struggle)",,God fights a serpent (fraternal struggle with cosmic forces)
13th century CE (Norse myth origin earlier),Baldr and Höðr,,"Poetic Edda, ""Gylfaginning""",,No bull involvement,,,"Norse mythology, linked to PIE traditions",,"Two brothers, one kills the other"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
