Name,Date of Birth and Death,School,Teacher
Aedesia,4th century AD,Neoplatonism,Aedesius
Aedesius,4th century AD,Neoplatonism,Iamblichus
Aeneas of Gaza,~5th century AD,Neoplatonism,Unknown
Aeschines of Neapolis,~3rd century AD,Platonism,Unknown
Agapius,Unknown,Unknown,Unknown
Albinus,~2nd century AD,Middle Platonism,Gaius
Alcinous,~2nd century AD,Middle Platonism,Unknown
Ambrosius Theodosius Macrobius,~4th-5th century AD,Neoplatonism,Unknown
Amelius,~3rd century AD,Neoplatonism,Plotinus
Ammonius Hermiae,435/445-517/526 AD,Neoplatonism,Proclus
Ammonius of Athens,~5th century BC,Platonism,Unknown
Ammonius Saccas,3rd century AD,Neoplatonism,Unknown
Antiochus of Ascalon,~130-68 BC,Middle Platonism,Philo of Larissa
Antoninus,Unknown,Unknown,Unknown
Apuleius,124-170 AD,Middle Platonism,Unknown
Arcesilaus,316/5-241/0 BC,Platonism (Skepticism),Polemo
Aristonymus,Unknown,Unknown,Unknown
Asclepigenia,5th century AD,Neoplatonism,Plutarch of Athens
Asclepiodotus of Alexandria,~1st century BC,Platonism,Unknown
Atticus,~110-180 AD,Middle Platonism,Unknown
Augustine of Hippo,354–430 AD,Christianity,Ambrose
Axiothea of Phlius,4th century BC,Platonism,Plato
Boethius,477–524 AD,Christian Platonism,Libanius and Aginatius
Calippus of Syracuse,4th century BC,Platonism,Eudoxus
Carneades of Carnea,214/213-129/8 BC,Platonism,Diogenes of Babylon
Cassius Longinus,213–273 AD,Neoplatonism,Plotinus and Ammonius
Chaeron of Pellene,3rd century BC,Platonism,Unknown
Charmadas,4th-3rd century BC,Platonism,Unknown
Chrysanthius of Sardis,4th–5th century AD,Neoplatonism,Eusebius of Myndus
Clement of Alexandria,150–215 AD,Christianity,Pantaenus
Clitomachus,187/6–110/09 BC,Platonism,Carneades
Coriscus of Scepsis,4th century BC,Platonism,Unknown
Crantor,4th–3rd century BC,Platonism,Xenocrates
Crates of Athens,4th–3rd century BC,Platonism,Polemo
Damascius,462–after 538 AD,Neoplatonism,Isidore of Alexandria
Demetrius of Amphipolis,3rd–2nd century BC,Platonism,Unknown
Dexippus,3rd–4th century AD,Neoplatonism,Unknown
Dio of Alexandria,2nd century AD,Platonism,Unknown
Diocles of Cnidus,4th century BC,Platonism,Unknown
Diodorus of Adramyttium,1st century BC,Platonism,Unknown
Domninus of Larissa,5th–6th century AD,Neoplatonism,Unknown
Erastus of Scepsis,Unknown,Platonism,Unknown
Euaeon of Lampsacus,4th century BC,Platonism,Plato
Eudoxus of Cnidus,390–337 BC,Platonism,Plato
Eusebius of Myndus,4th century AD,Neoplatonism,Unknown
Eustathius of Cappadocia,4th–5th century AD,Neoplatonism,Unknown
Evander,Unknown,Platonism,Unknown
Gaius the Platonist,2nd century AD,Platonism,Unknown
Hagnon of Tarsus,Unknown,Platonism,Unknown
Hegesinus of Pergamon,3rd century BC,Platonism,Unknown
Hegias,4th century BC,Platonism,Unknown
Heliodorus of Alexandria,5th century AD,Neoplatonism,Isidore of Alexandria
Heraclides of Aenus,Unknown,Platonism,Unknown
Heraclides Ponticus,390–310 BC,Platonism,Plato
Hermias,5th century AD,Neoplatonism,Syrianus
Hermodorus of Syracuse,5th–4th century BC,Platonism,Plato
Hestiaeus of Perinthus,Unknown,Platonism,Unknown
Hierius,Unknown,Platonism,Unknown
Hierocles of Alexandria,5th century AD,Neoplatonism,Plutarch of Athens
Hypatia of Alexandria,350–370 AD–415 AD,Neoplatonism,Theon of Alexandria
Iamblichus Chalcidensis,245–325 AD,Neoplatonism,Porphyry
Isidore of Alexandria,5th–6th century AD,Neoplatonism,Proclus
Lacydes of Cyrene,3rd century BC,Platonism,Arcesilaus
Lastheneia of Mantinea,4th century BC,Platonism,Plato
Marinus of Neapolis,5th–6th century AD,Neoplatonism,Proclus
Maximus of Ephesus,4th–5th century AD,Neoplatonism,Unknown
Maximus of Tyre,2nd century AD,Platonism,Unknown
Menedemus of Pyrrha,4th–3rd century BC,Platonism,Unknown
Metrodorus of Stratonicea,2nd century AD,Platonism,Unknown
Numenius of Apamea,2nd century AD,Middle Platonism,Unknown
Nymphidianus of Smyrna,4th–5th century AD,Neoplatonism,Unknown
Olympiodorus the Younger,495–570 AD,Neoplatonism,Ammonius Hermiae
Onasander,1st century AD,Platonism,Unknown
Origen,184/5–253/4 AD,Early Christian,Ammonius Saccas
Origen the Pagan,3rd century AD,Platonism,Ammonius Saccas
Philip of Opus,4th century BC,Platonism,Plato
Philo of Alexandria,20 BC–50 AD,Hellenistic Judaism,Unknown
Philo of Larissa,159–84 BC,Platonism,Unknown
