Comprehensive Catalog of Solar and Mystery Cult Deities of Eurasia,,,,,
Solar and Hero Cult Deities,,,,,
Deity,Type,Title/Description,Source Text,Date,Content Summary
Helios (Greek),Hymn,Homeric Hymn to Helios (31),Homeric Hymns collection,c. 700-500 BC,"Brief hymn praising ""all-seeing"" Helios, son of Hyperion and Euryphaessa, glorified by gods and men"
Helios,Hymn,Orphic Hymn to Helios (8),Orphic Hymns collection,c. 3rd-2nd century BC,"Invokes Helios as ""immortal Zeus"" and ""light-bearer,"" describing cosmic powers and solar attributes"
Helios,Prayer,Prayer to Helios in Greek Magical Papyri,PGM IV.1596-1715,c. 300-400 AD,"Solar invocation describing Helios' journey across the zodiac, invoking his powers"
Helios,Hymn,Aristonoos' Hymn to Helios,Delphic inscription,c. 280 BC,3rd century BCE composition from Delphi praising Helios' golden rays
Helios,Hymn,Mesomedes' Hymn to Helios,Ancient Greek musical texts,c. 130 AD,"2nd century CE hymn with surviving musical notation, praises the sun's ""snow-white steeds"""
Helios,Treatise/Hymn,Hymn to King Helios,Emperor Julian,362 AD,Philosophical treatise venerating Helios as cosmic intellect and supreme divinity
Helios,Literary Reference,Helios' Cattle Episode,Homer's Odyssey (Book 12),c. 800 BC,"Ulysses' men slaughter sacred cattle of Helios, leading to divine punishment"
Helios,Literary Reference,Helios and Phaethon,Ovid's Metamorphoses,c. 8 AD,Story of Phaethon attempting to drive the sun chariot and causing disaster
Apollo (Greek),Hymn,Homeric Hymn to Apollo,Homeric Hymns collection,c. 700-500 BC,"Celebrates Apollo's birth, powers, and sanctuaries; includes details of temple at Delphi"
Apollo,Hymn,Delphic Hymns to Apollo,Delphic inscriptions,c. 138-128 BC,"Two surviving musical hymns performed at Delphi, invoking Apollo as ""Paian"" (healer)"
Apollo,Hymn,Orphic Hymn to Apollo (34),Orphic Hymns collection,c. 3rd-2nd century BC,"Invocation of Apollo as radiant, healer, prophet, and musician"
Apollo,Prayer,Chryses' Prayer to Apollo,"Homer's Iliad, Book 1",c. 800 BC,Supplicatory prayer for vengeance and healing by priest Chryses
Apollo,Hymn,Paian (Paean) hymns,Various Greek sources,c. 700-300 BC,"Ancient healing and victory hymns sung to Apollo as ""Paian"""
Apollo,Play,Ion,Euripides,c. 414 BC,Drama focusing on Apollo's son Ion and the founding of Athens
Apollo,Play,Oresteia trilogy,Aeschylus,458 BC,"Apollo plays key role in the trilogy, especially in ""Eumenides"""
Sol Invictus (Roman),Hymn,Carmen Saliare (fragments),Roman religious texts,c. 700-600 BC,Ancient Roman hymn with possible solar references
Sol Invictus,Festival,Natalis Invicti,Roman calendar,Established 274 AD,"December 25th celebration of the ""Birth of the Unconquered Sun"""
Sol Invictus,Prayer,Prayer to Sol in Macrobius,Saturnalia,c. 430 AD,Records prayers to Sol as supreme deity
Sol Invictus,Hymn,Hymns by Aurelian,Historical references,c. 270-275 AD,Emperor Aurelian's promotion of Sol Invictus worship
Sol Invictus,Inscription,Dedication to Sol Invictus,Various Roman inscriptions,c. 200-400 AD,"Formula ""Soli Invicto"" used in numerous dedicatory inscriptions"
Mithras (Persian/Roman),Liturgy,Mithras Liturgy,Greek Magical Papyri,c. 300-400 AD,Greco-Egyptian magical text with prayers and invocations to Mithras
Mithras,Hymn,Hymn to Helios-Mithras,Emperor Julian,c. 362 AD,Julian's works associate Mithras with the sun
Mithras,Ritual Text,Mithraic Mysteries initiations,Cave inscriptions and reliefs,c. 100-400 AD,Fragmentary ritual texts and depictions of the seven grades of initiation
Mithras,Sacred Text,Yasht 10 (Mihr Yasht),Zoroastrian Avesta,c. 600-400 BC,Ancient Persian hymn to Mithra as deity of covenants and justice
Mithras,Inscription,Mithraic inscriptions,Various Roman Mithraea,c. 100-400 AD,"""Deo Soli Invicto Mithrae"" dedications from temples across Roman Empire"
Surya (Hindu),Hymn,Rigvedic Hymns to Surya,Rigveda (various),c. 1500-1200 BC,Ancient Sanskrit hymns praising Surya as supreme solar deity
Surya,Hymn,Aditya Hridayam,Ramayana,c. 500 BC - 100 AD,Hymn to Surya revealed to Rama before battle with Ravana
Surya,Prayer,Gayatri Mantra,Rigveda (3.62.10),c. 1500-1200 BC,Sacred verse to Savitri (aspect of Surya)
Surya,Prayer,Surya Namaskaras,Yoga tradition,Traditional,Series of 12 postures with mantras honoring the sun
Shamash (Mesopotamian),Hymn,Hymn to Shamash,Babylonian texts,c. 1800-1600 BC,Praises Shamash as judge and overseer of justice
Shamash,Prayer,Shamash Prayers in Divination,Babylonian Liver Omens,c. 1800-600 BC,Prayers before hepatoscopy (liver divination)
Shamash,Legal Text,Code of Hammurabi Prologue,Stele of Hammurabi,c. 1754 BC,Invokes Shamash as divine witness to laws
Ra/Re (Egyptian),Hymn,Great Hymn to Ra,Various tomb inscriptions,c. 1350 BC,Solar hymn praising Ra's daily journey and cosmic power
Ra,Funerary Text,Book of the Dead spells,Papyri and tomb inscriptions,c. 1550-50 BC,Various spells identifying deceased with Ra in solar boat
Ra,Ritual Text,Opening of the Mouth Ceremony,Pyramid and Coffin Texts,c. 2400-1000 BC,Ritual identifying deceased pharaoh with Ra
Ra,Hymn,Litany of Ra,New Kingdom royal tombs,c. 1550-1070 BC,Identifies 75 forms of Ra and assists the deceased's journey
Attis (Phrygian),Hymn,Hymns to Attis,Naassene Sermon,c. 200 AD,Early Christian and Gnostic texts preserving hymns to Attis
Attis,Hymn,Julian's Hymn to the Mother of the Gods,Emperor Julian,362 AD,Focuses on Cybele but devotes attention to Attis myth
Attis,Ritual,Attis Passion Plays,Roman accounts,c. 100-400 AD,Ritual enactments during festival of Hilaria
Attis,Poetry,Catullus' Poem 63,Catullus,c. 57 BC,Poetic account of Attis' self-castration and service to Cybele
Dionysus (Greek),Hymn,Homeric Hymn to Dionysus,Homeric Hymns collection,c. 700-500 BC,"Tells of Dionysus' birth, miracles, and powers"
Dionysus,Hymn,Orphic Hymns to Dionysus,"Orphic Hymns 30, 45, 46, 52",c. 3rd-2nd century BC,Multiple hymns invoking different aspects of Dionysus
Dionysus,Play,The Bacchae,Euripides,405 BC,Tragedy centered on Dionysus' divinity and worship
Dionysus,Choral Song,Dithyrambs,Various Greek festivals,c. 600-400 BC,Choral hymns sung in Dionysian festivals
Sabazios (Phrygian/Thracian),Hymn,Orphic Hymn to Sabazios,Orphic Hymn 49,c. 3rd-2nd century BC,Invokes Sabazios as liberator and cosmic power
Horus (Egyptian),Ritual Text,The Contendings of Horus and Seth,Chester Beatty Papyrus I,c. 1160 BC,"Myth of Horus' struggle against Seth, solar symbolism"
Horus,Spell,Horus identification spells,Book of the Dead,c. 1550-50 BC,Spells identifying deceased with Horus
Amaterasu (Japanese),Myth,Kojiki account of Amaterasu,Kojiki,712 AD,Creation myth of the sun goddess and her hiding in cave
Amaterasu,Ritual,Kagura dances,Shinto tradition,Traditional,Ritual dances recreating the myth of Amaterasu
Utu (Sumerian),Hymn,Temple Hymns of Utu,Sumerian temple hymns,c. 2100 BC,Praise hymns to Utu as sun god and judge
Ahura Mazda (Zoroastrian),Hymn,Gathas,Zoroastrian Avesta,c. 1000 BC,Hymns composed by Zoroaster with solar symbolism
