Year,Author/Thinker,Work/Context,References,,
-450.0,Herodotus,Histories,Mentions Persian worship of Mithras (P),,
-423 to -348,Plato,Phaedrus,Dionysus,"Discusses soul's chariot, ascent to heavens; important for later Mithraic symbolism",Classical texts
-380.0,Plato,Timaeus,"Describes cosmology with ascent of the soul, later echoed in Mithraic thought",,
-370.0,Xenophon,Cyropaedia,"References Persian religious practices, including Mithras (P)",,
-340.0,Aristotle,On Philosophy,Mystery Religions,References mystery cults and initiatory religions,Classical texts
-330.0,Duris of Samos,Historical accounts,"Notes on Persian customs, possibly including Mithras (P)",,
-200.0,Plutarch,De Iside et Osiride,Links Mithras to Persian solar and light symbolism,,
-20.0,Strabo,Geography,"Discusses Persian religious beliefs, including Mithras (P)",,
35-100,Josephus,Jewish Antiquities,Jewish-Persian Relations,Notes connections between Persian religious practices and Jewish communities,Classical sources
50.0,Quintus Curtius,History of Alexander,"References Persian deities, possibly including Mithras (P)",,
77.0,Pliny the Elder,Natural History,Mentions Mithras in the context of Persian worship (P),,
98-117,Tacitus,Histories,Mithras,Mentions Mithras worship among Roman legions,Classical texts
100.0,Plutarch,Various works,Expands on Mithras’ solar associations and role in Persian religion,,
125.0,Lucian,Dialogues,Alludes to Mithras in Persian theological discussions (P),,
150-225,Clement of Alexandria,Protrepticus,Mystery Religions,"Explicitly compares Mithraic, Eleusinian, and Dionysian mysteries",Classical texts
170.0,Celsus (via Origen),True Doctrine,Critiques Mithras as a source of ancient wisdom (P),,
180-250,Dio Cassius,Roman History,Mithras,Documents spread of Mithraic cult among Roman military,Classical texts
200-300,Numenius of Apamea,On the Good,Syncretism,"Synthesizes Platonic, Pythagorean and Eastern religious concepts",Classical texts
200.0,Zenobius the Sophist,Proverbia,Lists Mithras among eight cosmic deities (R),,
210.0,Porphyry,De antro nympharum,"Describes Mithras symbolically, referencing Eubulus (R)",,
210.0,Tertullian,Adversus Valentinianos,Critiques Mithras in context of Gnostic beliefs (R),,
215.0,Cassius Dio,Roman History,Notes Mithras in context of Parthian royalty and Roman imperial events (P),,
250.0,Origen,Contra Celsum,"Defends Mithras as an ancient, wise religious figure (P)",,
260.0,Porphyry,De antro nympharum (revisited),Further develops the symbolic/cosmological view of Mithraic Mysteries (R),,
260–270,Plotinus,Enneads,Discusses the soul's ascent—mirroring Mithraic mystery teachings,,
280–310,Iamblichus,De Mysteriis,On theurgy and soul ascent; parallels with Mithraic initiation themes,,
283.0,Porphyry,On the Cave of the Nymphs,Mithras,Detailed analysis of Mithraic symbolism and cosmology,Classical texts
312-337,Constantine the Great,Imperial Edicts,Christianity/Mithraism,Transition from Mithraic tolerance to Christian dominance,Historical documents
350.0,Julian the Apostate,Against the Galileans,Advocates revival of Mithraism in Neoplatonic form,,
360.0,Synesius of Cyrene,Letters & Hymns,Integrates Mithraic solar imagery into Neoplatonic-Christian synthesis,,
360-384,Firmicus Maternus,The Error of Pagan Religions,Mithras,Criticizes Mithraic practices in detail,Classical texts
370-430,Macrobius,Saturnalia,Solar Worship,"Connects various solar deities including Apollo, Mithras, and Christ",Classical texts
400-450,Nonnus,Dionysiaca,Dionysus,"Epic poem detailing Dionysus's journey to India, cultural syncretism",Classical texts
480.0,Proclus,Commentary on Plato's Republic,Mystery Religions,Neoplatonic interpretation of mystery traditions,Classical texts
550-600,Cosmas Indicopleustes,Christian Topography,Buddhism,First detailed Western account of Buddhist practices in India and Ceylon,Byzantine texts
635.0,Tang Dynasty Records,Imperial Chronicles,Buddhism/Christianity,Documents arrival of Nestorian Christianity in China alongside Buddhism,Chinese historical texts
