"Here is a comprehensive timeline table of major and minor civilizations throughout the world, including region and key metadata. The table is organized chronologically by approximate start date, with representative examples from all continents and major cultural spheres.",,,,
Civilization / Culture,Approx. Dates,Region / Continent,Key Cities / Sites,Notes / Metadata
Göbekli Tepe Culture,c. 9600–8200 BCE,"Anatolia (Turkey), Eurasia",Göbekli Tepe,Earliest monumental architecture
Natufian Culture,"c. 12,500–9500 BCE","Levant, Fertile Crescent",Jericho,"Sedentary hunter-gatherers, proto-agriculture"
Sumerian,c. 5000–1900 BCE,"Mesopotamia, Fertile Crescent","Ur, Uruk, Nippur","First urban civilization, cuneiform writing"
Ancient Egyptian,c. 3100–30 BCE,"Nile Valley, Africa","Memphis, Thebes, Giza","Pharaonic dynasties, pyramids"
Norte Chico (Caral),c. 3500–1800 BCE,"Andes, South America",Caral,Oldest known civilization in the Americas
Indus Valley (Harappan),c. 3300–1300 BCE,"South Asia (Pakistan, NW India)","Harappa, Mohenjo-daro","Urban planning, undeciphered script"
Minoan,c. 3000–1100 BCE,"Crete, Aegean, Europe",Knossos,"Palatial society, Linear A script"
Elamite,c. 2700–539 BCE,"SW Iran, Eurasia",Susa,Early Iranian civilization
Akkadian,c. 2334–2154 BCE,"Mesopotamia, Fertile Crescent",Akkad,"First empire, Semitic language"
Xia Dynasty,c. 2070–1600 BCE,"Yellow River, China, Asia",Erlitou,First Chinese dynasty (semi-legendary)
Babylonian,c. 1894–539 BCE,Mesopotamia,Babylon,"Hammurabi’s Code, astronomy"
Hittite,c. 1600–1178 BCE,"Anatolia, Eurasia",Hattusa,"Ironworking, Indo-European language"
Shang Dynasty,c. 1600–1046 BCE,"Yellow River, China",Anyang,"Oracle bones, bronze age"
Mycenaean,c. 1600–1100 BCE,"Greece, Europe","Mycenae, Tiryns","Linear B script, Homeric epics"
Olmec,c. 1200–400 BCE,"Mesoamerica, Americas","San Lorenzo, La Venta",First major Mesoamerican civilization
Assyrian,c. 1800–609 BCE,Mesopotamia,"Nineveh, Ashur","Military empire, libraries"
Phoenician,c. 1100–332 BCE,"Levant, Mediterranean","Tyre, Sidon, Carthage","Alphabet, maritime trade"
Zhou Dynasty,c. 1046–256 BCE,"China, East Asia","Haojing, Luoyang","Mandate of Heaven, feudalism"
Etruscan,c. 900–396 BCE,"Italy, Europe","Tarquinia, Veii",Pre-Roman Italian culture
Scythian,c. 900–200 BCE,Eurasian Steppe,Various kurgans,"Nomadic, horse culture"
Greek (Hellenic),c. 800–146 BCE,"Greece, Mediterranean","Athens, Sparta, Corinth","City-states, philosophy, democracy"
Celtic,c. 800 BCE–400 CE,Western/Central Europe,"Hallstatt, La Tène","Tribal, ironworking, druidism"
Carthaginian,c. 814–146 BCE,"North Africa, Mediterranean",Carthage,"Phoenician colony, Punic Wars"
Persian (Achaemenid),c. 550–330 BCE,"Iran, Near East","Persepolis, Susa","Largest ancient empire, Zoroastrianism"
Maurya,c. 322–185 BCE,"South Asia, India",Pataliputra,First pan-Indian empire
Maya,c. 250–900 CE,"Mesoamerica, Americas","Tikal, Palenque, Copán","Writing, astronomy, city-states"
Roman,c. 509 BCE–476 CE,"Italy, Mediterranean, Europe","Rome, Constantinople","Republic, Empire, law"
Kingdom of Kush,c. 2500 BCE–350 CE,"Nubia, Africa","Napata, Meroë","Pyramids, iron smelting"
Korean (Gojoseon),c. 2333–108 BCE,"Korean Peninsula, Asia",Pyongyang,First Korean kingdom
Axumite,c. 100–940 CE,"Ethiopia, Africa",Axum,"Trade, Christianity"
Ghana Empire,c. 300–1200 CE,West Africa,Koumbi Saleh,"Gold trade, Islamic influence"
Srivijaya,c. 650–1377 CE,"SE Asia, Indonesia",Palembang,"Maritime trade, Buddhism"
Khmer Empire,c. 802–1431 CE,"Cambodia, SE Asia",Angkor,"Angkor Wat, hydraulic engineering"
Mali Empire,c. 1235–1600 CE,West Africa,"Timbuktu, Gao","Gold, Mansa Musa"
Aztec,c. 1345–1521 CE,"Mesoamerica, Americas",Tenochtitlan,"Empire, human sacrifice"
Inca,c. 1438–1533 CE,"Andes, South America","Cusco, Machu Picchu","Road system, quipu, terrace farming"
"Polynesian (Lapita, etc.)",c. 1500 BCE–1200 CE,Pacific Islands,"Tonga, Samoa, Hawaii","Seafaring, navigation"
