Comprehensive Table of Biblical Characters with Controversies,,,,,,
Name,Role,Era (Approx.),Relationship with God,Position/Status,Notable Drama/Controversy,Source Texts
Adam,First Man,Creation,"Initially close, then estranged","First Being, Proto-Royal","Fall of mankind, disobedience of God's command",Genesis 1-5
Eve,First Woman,Creation,"Initially close, then estranged","First Being, Proto-Royal","Deceived by serpent, first to eat forbidden fruit",Genesis 1-5
Cain,First son of Adam & Eve,Early Creation,"Rejected offering, cursed","Farmer, Proto-Royal","First murderer (killed Abel), marked by God",Genesis 4
Abel,Second son of Adam & Eve,Early Creation,Acceptable offering,"Shepherd, Proto-Royal",First murder victim,Genesis 4
Seth,Third son of Adam & Eve,Early Creation,Faithful lineage,Proto-Royal,Replaced Abel,Genesis 4-5
Enoch,Prophet,Pre-Flood,"""Walked with God,"" did not die",Proto-Royal,One of only two humans (with Elijah) taken to heaven without dying,"Genesis 5:21-24, Jude 1:14-15"
Methuselah,Longest-lived human,Pre-Flood,In faithful lineage,Proto-Royal,Lived 969 years,Genesis 5:25-27
Lamech (Cain's line),Descendant of Cain,Pre-Flood,Defiant of God,Proto-Royal,"First polygamist, boasted of murdering a young man",Genesis 4:19-24
Noah,Righteous Preacher,~2300 BC,"Obedient, covenant recipient",Ship builder,"Post-flood drunkenness, nakedness incident with Ham",Genesis 6-9
Ham,Son of Noah,Post-Flood,Dishonored father,Proto-Royal,"""Saw his father's nakedness,"" cursed lineage",Genesis 9:20-27
Nimrod,Mighty hunter,Post-Flood,Rebellious,First empire builder,"Founded Babel, associated with Tower of Babel rebellion",Genesis 10:8-12
Abraham (Abram),Patriarch,~2000 BC,"Covenant, ""Friend of God""",Nomadic chieftain,"Lied about Sarah being his sister (twice), had child with servant Hagar",Genesis 12-25
Sarah (Sarai),Matriarch,~2000 BC,Faithful but doubting,Chieftain's wife,"Mistreated Hagar, laughed at God's promise",Genesis 12-23
Lot,Abraham's nephew,~2000 BC,Wavering faith,City dweller,"Offered daughters to mob, later impregnated by daughters","Genesis 13-14, 19"
Hagar,Sarah's Egyptian servant,~2000 BC,Seen by God in distress,Servant/outcast,"Conceived with Abraham, fled from Sarah's mistreatment","Genesis 16, 21"
Ishmael,Son of Abraham & Hagar,~2000 BC,Blessed but not covenant heir,Outcast son,"Conflict with Isaac, sent away with mother","Genesis 16-17, 21"
Isaac,Son of Promise,~1900 BC,Covenant heir,Patriarch,"Nearly sacrificed by Abraham, deceived by Jacob and Rebekah",Genesis 21-35
Rebekah,Isaac's wife,~1900 BC,Recipient of blessing,Matriarch,Orchestrated deception of Isaac to benefit Jacob,Genesis 24-27
Esau,Isaac's firstborn,~1850 BC,Rejected birthright,Hunter,"Sold birthright for soup, married Hittite women",Genesis 25-36
Jacob (Israel),Patriarch of 12 tribes,~1850 BC,Wrestled with God,Patriarch,"Deceived father for blessing, deceived by Laban, family dysfunction",Genesis 25-50
Laban,Jacob's uncle,~1800 BC,Not described,Wealthy herder,"Deceived Jacob repeatedly, switched brides, changed wages","Genesis 24, 29-31"
Leah,Jacob's first wife,~1800 BC,Blessed with children,Unloved wife,"Unwanted in marriage, rivalry with sister","Genesis 29-31, 49"
Rachel,Jacob's beloved wife,~1800 BC,"Long barren, then blessed",Favored wife,"Stole father's idols, rivalry with sister",Genesis 29-35
Dinah,Jacob's daughter,~1750 BC,Not described,Victim,"Raped by Shechem, leading to massacre by brothers",Genesis 34
Simeon & Levi,Jacob's sons,~1750 BC,Rebuked for violence,Tribal leaders,Massacred Shechemites in revenge for Dinah,"Genesis 34, 49"
Reuben,Jacob's firstborn,~1750 BC,Lost blessing,Tribal leader,Slept with father's concubine Bilhah,"Genesis 35:22, 49:3-4"
Judah,Jacob's son,~1750 BC,Received kingship blessing,Tribal leader,Slept with daughter-in-law Tamar (unknowingly),"Genesis 38, 49"
Joseph,Jacob's favored son,~1750 BC,"Dreamer, faithful",Slave to Prime Minister,Sold into slavery by jealous brothers,Genesis 37-50
Potiphar's wife,Egyptian noblewoman,~1700 BC,Against God's faithful,Noble,Falsely accused Joseph of assault after he rejected her advances,Genesis 39
Moses,Prophet/Lawgiver,~1450 BC,Face-to-face with God,Prince to Leader,"Killed Egyptian, struck rock in anger",Exodus-Deuteronomy
Aaron,First High Priest,~1450 BC,Spokesman for God,High Priest,"Created golden calf, joined Miriam in criticism of Moses",Exodus-Numbers
Miriam,Prophetess,~1450 BC,Temporary leprosy for criticism,Leader,"Criticized Moses' Cushite wife, temporarily struck with leprosy","Exodus 15, Numbers 12"
"Korah, Dathan & Abiram",Levites,~1450 BC,Rebels against God's authority,Tribal leaders,"Led rebellion against Moses, swallowed by earth",Numbers 16
Balaam,Foreign prophet,~1450 BC,Compromised prophet,Hired diviner,"Attempted to curse Israel, later advised seduction strategy","Numbers 22-24, 31"
Joshua,Military leader,~1400 BC,Faithful successor,Israel's general/leader,"Led conquest of Canaan, numerous battles and killings",Joshua
Achan,Israelite,~1400 BC,Punished for disobedience,Soldier,"Stole forbidden items from Jericho, causing defeat at Ai",Joshua 7
Rahab,Canaanite prostitute,~1400 BC,Converted to faith,Prostitute to ancestor of David,"Protected spies, lied to protect them","Joshua 2, 6"
Ehud,Judge,~1300 BC,Deliverer,Left-handed assassin,Assassinated obese Moabite king Eglon with hidden dagger,Judges 3:12-30
Jael,Kenite woman,~1250 BC,Used by God,Nomad,Drove tent peg through sleeping Sisera's head,Judges 4-5
Deborah,Prophetess/Judge,~1200 BC,Spoke for God,Judge of Israel,Led military campaign against Canaanites,Judges 4-5
Gideon,Judge,~1150 BC,Reluctant deliverer,Judge,"Made ephod that became idolatrous, had 70 sons from many wives",Judges 6-8
Abimelech,Self-proclaimed king,~1150 BC,Punished usurper,Illegitimate king,"Murdered 69 half-brothers, killed by millstone dropped by woman",Judges 9
Jephthah,Judge,~1100 BC,Outcast turned leader,Judge,Made rash vow resulting in daughter's sacrifice or dedication,Judges 11
Samson,Judge/Nazirite,~1100 BC,"Spirit-empowered, compromised",Judge,"Sexual immorality, vengeful massacres, betrayed by Delilah",Judges 13-16
Eli,Priest/Judge,~1100 BC,Failed father,High Priest/Judge,Failed to discipline sons who defiled temple worship,1 Samuel 1-4
Samuel,Prophet/Judge,~1050 BC,Called as a child,Priest/Judge,Sons were corrupt judges,1 Samuel 1-16
Saul,First King of Israel,~1050 BC,Rejected by God,King,"Disobeyed God, consulted witch of Endor, attempted to kill David",1 Samuel 9-31
David,King/Psalmist,~1000 BC,"""Man after God's heart""",King,"Adultery with Bathsheba, murder of Uriah, census","1/2 Samuel, Psalms"
Bathsheba,Wife of Uriah/David,~1000 BC,Mother of Solomon,Queen,Adultery with David while married to Uriah,"2 Samuel 11-12, 1 Kings 1-2"
Amnon,David's son,~980 BC,Not in favor,Prince,Raped his half-sister Tamar,2 Samuel 13
Absalom,David's son,~980 BC,Rebel,Prince,"Murdered Amnon, rebelled against David, slept with father's concubines",2 Samuel 13-18
Solomon,King/Sage,~970 BC,"Initially wise, later compromised",King,"700 wives & 300 concubines, idolatry in later life","1 Kings 1-11, Proverbs, Ecclesiastes"
Rehoboam,Solomon's son,~930 BC,Rejected wisdom,King of Judah,Harsh rule caused kingdom division,"1 Kings 12, 2 Chronicles 10-12"
Jeroboam,First king of Northern Israel,~930 BC,Rebel against God,King of Israel,Established golden calf worship,1 Kings 12-14
Jezebel,Phoenician princess,~850 BC,Enemy of God's prophets,Queen of Israel,"Promoted Baal worship, murdered prophets, framed Naboth","1 Kings 16-21, 2 Kings 9"
Ahab,King of Israel,~850 BC,Most evil king,King of Israel,"Married Jezebel, promoted idolatry, coveted Naboth's vineyard",1 Kings 16-22
Elijah,Prophet,~850 BC,"Powerful prophet, discouraged",Non-royal,Slaughtered 450 prophets of Baal at Mt. Carmel,1 Kings 17-2 Kings 2
Elisha,Prophet,~840 BC,Double portion of Elijah's spirit,Non-royal,Cursed mocking youths who were mauled by bears,2 Kings 2-13
Athaliah,Queen of Judah,~840 BC,Worshipped Baal,Queen,Murdered royal family to seize throne,"2 Kings 11, 2 Chronicles 22-23"
Jehu,King of Israel,~840 BC,Partial obedience,King,Violent purge of Ahab's family and Baal worshippers,2 Kings 9-10
Jonah,Prophet,~780 BC,"Reluctant, bitter",Non-royal,"Fled God's call, angry at Nineveh's repentance",Jonah
Hosea,Prophet,~750 BC,Faithful despite pain,Non-royal,Commanded to marry promiscuous woman as object lesson,Hosea
Uzziah (Azariah),King of Judah,~760 BC,"Initially faithful, then proud",King,Struck with leprosy for usurping priestly role,"2 Kings 15, 2 Chronicles 26"
Ahaz,King of Judah,~730 BC,Idolatrous,King,"Sacrificed his son in fire, altered temple worship","2 Kings 16, 2 Chronicles 28"
Isaiah,Major Prophet,~740-700 BC,Saw God's throne,Possibly royal,Walked naked and barefoot for three years as sign,Isaiah
Hezekiah,King of Judah,~715-686 BC,"Reformer, faithful",King,"Showed treasures to Babylonians, pride in extension of life","2 Kings 18-20, Isaiah 36-39"
Manasseh,King of Judah,~686-642 BC,"Most evil Judean king, late repentance",King,"Child sacrifice, extreme idolatry, filled Jerusalem with blood","2 Kings 21, 2 Chronicles 33"
Josiah,King of Judah,~640-609 BC,Reformer,King,"Discovered lost Torah, reformed worship","2 Kings 22-23, 2 Chronicles 34-35"
Jeremiah,Weeping Prophet,~627-586 BC,Suffered for message,Priest,"Persecuted, imprisoned in cistern","Jeremiah, Lamentations"
Zedekiah,Last King of Judah,~597-586 BC,"Weak, unfaithful",King,Rebelled against Babylon despite warnings,"2 Kings 24-25, Jeremiah"
Nebuchadnezzar,King of Babylon,~605-562 BC,"Temporary madness, acknowledged God",Foreign Emperor,"Destroyed Jerusalem, temporary insanity","2 Kings, Daniel, Jeremiah"
Daniel,Prophet/Statesman,~605-536 BC,Faithful in exile,Royal advisor,Thrown into lions' den for praying,Daniel
"Shadrach, Meshach, Abed-nego",Jewish exiles,~600 BC,Refused to worship idol,Officials,Thrown into fiery furnace,Daniel 3
Belshazzar,Last Babylonian king,~539 BC,Blasphemed with temple vessels,King,"""Writing on the wall,"" killed same night",Daniel 5
