Year,,Figure,School/Tradition,Role/Contribution,Region
800-700,BC,Authors of early Upanishads,,Composed Vedic texts,India
600.0,BC,Laozi (Lao Tzu),,"Founder of Daoism, author of Dao De Jing",China
599-527,BC,Mahavira,,24th Tirthankara of Jainism,India
570.0,BC,Pythagoras,,Founder of Pythagoreanism,Greece (influenced Asia)
563-483,BC,Siddhartha Gautama (Buddha),,Founder of Buddhism,Nepal/India
551-479,BC,Confucius,,Founder of Confucianism,China
500.0,BC,Parshvanatha,,23rd Tirthankara of Jainism,India
500.0,BC,Authors of later Upanishads,,Developed core Hindu concepts,India
469-399,BC,Socrates,,Influential philosopher,Greece (influenced Asia)
371-289,BC,Mencius,,Confucian philosopher,China
350.0,BC,Panini,,"Sanskrit grammarian, systematized Sanskrit",India
298-238,BC,Xun Zi,,Confucian philosopher,China
300.0,BC,Chanakya,,"Political philosopher, advisor to Chandragupta Maurya",India
148.0,AD,An Shih-Kao,Early Chinese Buddhism,First translator of Indian Buddhist texts into Chinese,China
168.0,AD,Lokaksema,Mahayana,Translated Small Perfections of Wisdom Sutra and A Land of Bliss Sutra,China
230-308,AD,Dharmaraksa,Early Chinese Buddhism,"Translated numerous sutras, including Lotus Sutra",China
344-413,AD,Kumarajiva,Madhyamaka,Major translator of Buddhist texts into Chinese,China
344-416,AD,Hui-yuan,Pure Land,Founder of the White Lotus Society,China
470-543,AD,Bodhidharma,Chan (Zen),First Patriarch of Chan Buddhism,China
476-542,AD,T'an-Luan,Pure Land,First Patriarch of Pure Land school,China
538-597,AD,Chih-i (Zhiyi),Tiantai,Founder of Tiantai school,China
557-640,AD,Fa-shun (Dushun),Huayan,Founder of Huayan school,China
602-664,AD,Xuanzang,Yogacara,Major translator and founder of Faxiang school,China
638-713,AD,Huineng,Chan (Zen),Sixth Patriarch of Chan Buddhism,China
643-712,AD,Fazang,Huayan,Third Patriarch and systematizer of Huayan school,China
650-714,AD,Hui Zhao,Yogacara (Faxiang),Second Patriarch of Faxiang school,China
668-723,AD,Zhi Zhou,Yogacara (Faxiang),Third Patriarch of Faxiang school,China
738-820,AD,Saichō,Tendai,Founder of Japanese Tendai school,Japan
767-822,AD,Kūkai,Shingon,Founder of Japanese Shingon school,Japan
1141-1215,AD,Eisai,Rinzai Zen,Founder of Japanese Rinzai school,Japan
1200-1253,AD,Dōgen,Sōtō Zen,Founder of Japanese Sōtō school,Japan
