Timeline of Maitreya in Buddhism,,,,
Year,Event/Development,Region,Description,Source(s)
500-400 BCE,Earliest references,India,First mentions of Maitreya (Pali: Metteyya) in early Buddhist texts; described as the future Buddha who will appear after Gautama Buddha's teachings disappear,"Cakkavatti-Sihanada Sutta (DN 26), Digha Nikaya"
200-100 BCE,Introduction in Mahayana,India,Maitreya begins appearing in early Mahayana sutras as a bodhisattva currently residing in Tushita heaven,Maitreyavyakarana
100 BCE - 100 CE,Development in Pure Land tradition,India,Maitreya becomes associated with Pure Land Buddhism as ruler of Tushita heaven,Maitreya-vyākaraṇa
150 CE,Early iconography,Gandhara,"First artistic representations of Maitreya in Gandhara art, typically shown with water vessel and characteristics distinguishing him from Shakyamuni","Huntington, Susan L. (1985). ""The Art of Ancient India"""
300-400 CE,Major sutras composed,India,"Completion of major Maitreya-related texts: Maitreyavyakarana, Maitreyasamiti","Lancaster, Lewis (2005). ""The Earliest Chinese References to Maitreya"""
402 CE,Chinese translations,China,Kumarajiva translates key Maitreya texts into Chinese,"Tsukamoto, Zenryu (1985). ""A History of Early Chinese Buddhism"""
420 CE,First Maitreya cult in China,China,Daoan founds the first Chinese Maitreya society,"Zürcher, Erik (2007). ""The Buddhist Conquest of China"""
531-579 CE,Maitreya in political movements,China,Emperor Wu of Liang proclaims himself as Maitreya incarnate,"Ch'en, Kenneth (1964). ""Buddhism in China: A Historical Survey"""
601-604 CE,Japanese introduction,Japan,Introduction of Maitreya worship to Japan with arrival of Korean monk Eji,"Kamstra, J.H. (1967). ""Encounter or Syncretism: The Initial Growth of Japanese Buddhism"""
694 CE,Major statue commissioned,China,Empress Wu commissions giant Maitreya statue at Longmen Grottoes to legitimize her rule,"McNair, Amy (2007). ""Donors of Longmen"""
742-755 CE,Establishment of Miroku cult,Japan,Emperor Shōmu promotes Maitreya worship throughout Japan,"Brown, Delmer M. (1993). ""The Cambridge History of Japan"""
765-770 CE,Mantrayāna developments,India/Tibet,Maitreya becomes incorporated into tantric practices,"Davidson, Ronald M. (2005). ""Tibetan Renaissance"""
944-1001 CE,Maitreya sculptures,Cambodia,Construction of major Maitreya sculptures in Angkor region,"Coedès, George (1968). ""The Indianized States of Southeast Asia"""
1049 CE,Atisha's teachings,Tibet,Atisha brings renewed emphasis on Maitreya to Tibet,"Chattopadhyaya, Alaka (1999). ""Atisha and Tibet"""
1078-1117 CE,Five Treatises of Maitreya,Tibet,"Translation and codification of the ""Five Treatises of Maitreya"" into Tibetan canon","Ruegg, David Seyfort (2000). ""Three Studies in the History of Indian and Tibetan Madhyamaka Philosophy"""
1357-1419 CE,Tsongkhapa's commentary,Tibet,Tsongkhapa writes influential commentaries on Maitreya's texts,"Thurman, Robert (1982). ""Life and Teachings of Tsong Khapa"""
1403-1424 CE,Leshan Giant Buddha,China,"Completion of the Leshan Giant Buddha, identified as Maitreya","Howard, Angela F. (2001). ""Summit of Treasures: Buddhist Cave Art of Dazu, China"""
1621-1644 CE,White Lotus rebellions,China,Maitreya belief central to White Lotus rebellions against Ming Dynasty,"Ter Haar, B.J. (1992). ""The White Lotus Teachings in Chinese Religious History"""
1796-1820 CE,Eight Trigrams uprising,China,Maitreya-centered apocalyptic movement revolts against Qing Dynasty,"Naquin, Susan (1976). ""Millenarian Rebellion in China"""
1889-1890 CE,Maitreya temples,Korea,Construction of major Maitreya temples during late Joseon period,"Lancaster, Lewis R. & Yu, Chai-shin (1989). ""Introduction of Buddhism to Korea"""
1915-1916 CE,Theosophy adoption,Global,"Theosophical Society incorporates Maitreya into their ""World Teacher"" concept","Hammer, Olav (2003). ""Claiming Knowledge: Strategies of Epistemology from Theosophy to the New Age"""
1926-1930 CE,Modern movements begin,Taiwan,First modern Maitreya-focused groups emerge in Taiwan,"Jones, Charles B. (1999). ""Buddhism in Taiwan: Religion and the State, 1660-1990"""
1954-1956 CE,Institutional development,Taiwan,Foundation of Maitreya Inner Light movement and similar organizations,"Clart, Philip (2007). ""The Concept of 'Popular Religion' in the Study of Chinese Religions"""
1988 CE,Establishment of major center,Nepal,"Completion of Maitreya Project monastery in Kopan, Nepal","Keown, Damien (2003). ""A Dictionary of Buddhism"""
1990-present,Contemporary movements,Global,"Rise of various global Maitreya movements, including Share International","Mikul, Chris (2001). ""Bizarrism: Strange Lives, Cults, Celebrated Lunacy"""
2006-2013 CE,Giant Buddha projects,India,"Planning and initial work on 500-foot Maitreya Buddha statue in Kushinagar, India",Maitreya Project (official publications)
