file,rows,data_rows,cols,blank_rows,note_rows,sub_tables,fill_pct,verdict
kindex-persian-battles.csv,231,134,8,97,81,3,39.4,MULTI-TABLE(3) | NOTES(81) | SPARSE | LOW-FILL(39.4%)
kindex-sources.csv,629,430,8,199,419,2,13.3,MULTI-TABLE(2) | NOTES(419) | SPARSE | LOW-FILL(13.3%)
kvol2-ai-research-notes.csv,107,77,6,30,43,2,38.7,MULTI-TABLE(2) | NOTES(43) | SPARSE | LOW-FILL(38.7%)
kvol2-demons-and-angels.csv,313,204,12,109,94,5,35.7,MULTI-TABLE(5) | NOTES(94) | SPARSE | LOW-FILL(35.7%)
kvol2-mithras-in-bible.csv,117,86,13,31,26,2,39.1,MULTI-TABLE(2) | NOTES(26) | SPARSE | LOW-FILL(39.1%)
kvol2-yama-satan-devil-timeline.csv,350,262,8,88,142,3,37.0,MULTI-TABLE(3) | NOTES(142) | SPARSE | LOW-FILL(37.0%)
kvol2-thracian-horseman.csv,0,,0,0,0,0,0,EMPTY
kindex-turans-and-danavas.csv,287,195,5,92,66,3,42.1,MULTI-TABLE(3) | NOTES(66) | SPARSE
kvol2-baal-cycle.csv,106,79,11,27,22,3,46.1,MULTI-TABLE(3) | NOTES(22) | SPARSE
kvol2-dionysus-timeline.csv,180,118,9,62,54,3,45.5,MULTI-TABLE(3) | NOTES(54) | SPARSE
kvol2-elements-timeline.csv,317,185,11,132,87,2,42.9,MULTI-TABLE(2) | NOTES(87) | SPARSE
kvol2-apollonius-of-tyana.csv,51,47,6,4,14,2,55.0,MULTI-TABLE(2) | NOTES(14)
kvol2-sudhodhana.csv,152,134,5,18,44,2,69.6,MULTI-TABLE(2) | NOTES(44)
christodex-critical-theory.csv,83,54,26,29,15,0,13.9,NOTES(15) | SPARSE | LOW-FILL(13.9%)
christodex-introduction.csv,25,9,3,16,9,0,33.3,NOTES(9) | SPARSE | LOW-FILL(33.3%)
daimonologia-celestial-pairs.csv,398,285,26,113,39,1,18.7,NOTES(39) | SPARSE | LOW-FILL(18.7%)
daimonologia-realms.csv,44,15,7,29,3,2,54.3,MULTI-TABLE(2) | SPARSE
daimonologia-two-brothers-chart.csv,18,8,7,10,2,2,46.4,MULTI-TABLE(2) | SPARSE
greek-phil-supplemental.csv,36,19,2,17,2,2,94.7,MULTI-TABLE(2) | SPARSE
kindex-apocrypha.csv,278,198,6,80,16,1,38.2,NOTES(16) | SPARSE | LOW-FILL(38.2%)
kindex-magic-and-necromancy.csv,915,573,26,342,71,0,22.5,NOTES(71) | SPARSE | LOW-FILL(22.5%)
kvol2-achaemenid-kings.csv,46,32,8,14,25,0,31.6,NOTES(25) | SPARSE | LOW-FILL(31.6%)
kvol2-apollo-timeline.csv,270,177,19,93,21,1,34.7,NOTES(21) | SPARSE | LOW-FILL(34.7%)
kvol2-bardiya-2.csv,329,218,26,111,79,0,15.2,NOTES(79) | SPARSE | LOW-FILL(15.2%)
kvol2-bible-tables.csv,415,228,26,187,18,0,16.5,NOTES(18) | SPARSE | LOW-FILL(16.5%)
kvol2-lotus-7-parables-compared-bible.csv,52,36,7,16,28,0,33.3,NOTES(28) | SPARSE | LOW-FILL(33.3%)
kvol2-mystery-ritual.csv,275,176,5,99,140,0,35.0,NOTES(140) | SPARSE | LOW-FILL(35.0%)
kvol2-tantric-practice-index.csv,61,40,26,21,24,0,12.3,NOTES(24) | SPARSE | LOW-FILL(12.3%)
kvol2-tantric-sex-index.csv,73,50,6,23,41,0,31.7,NOTES(41) | SPARSE | LOW-FILL(31.7%)
christodex-early-church-fathers.csv,125,121,26,4,5,0,23.2,NOTES(5) | LOW-FILL(23.2%)
greek-phil-works-index.csv,51,45,2,6,0,6,100.0,MULTI-TABLE(6)
kvol2-achaemenid-dynasty.csv,56,54,26,2,7,0,17.2,NOTES(7) | LOW-FILL(17.2%)
kvol2-bardiya.csv,196,174,26,22,46,0,15.8,NOTES(46) | LOW-FILL(15.8%)
kvol2-buddha-jesus-bardiya-table.csv,67,64,26,3,19,0,9.3,NOTES(19) | LOW-FILL(9.3%)
kvol2-fables-and-myths.csv,268,211,26,57,124,0,13.5,NOTES(124) | LOW-FILL(13.5%)
kvol2-golden-chain.csv,343,336,26,7,30,0,28.4,NOTES(30) | LOW-FILL(28.4%)
kvol2-jewish-hellenization-timeline.csv,163,138,26,25,38,0,12.9,NOTES(38) | LOW-FILL(12.9%)
kvol2-phrygian-cap-and-ushnisha.csv,41,33,26,8,11,0,16.7,NOTES(11) | LOW-FILL(16.7%)
kvol2-pie-myths.csv,74,66,26,8,27,0,15.1,NOTES(27) | LOW-FILL(15.1%)
kvol2-saka-religion.csv,156,147,26,9,11,0,18.2,NOTES(11) | LOW-FILL(18.2%)
kvol2-shakya-saka-scythian-evidence.csv,124,114,26,10,14,0,14.0,NOTES(14) | LOW-FILL(14.0%)
kvol2-tantric-lineages.csv,169,169,7,0,130,0,34.1,NOTES(130) | LOW-FILL(34.1%)
kvol2-temples.csv,390,373,26,17,19,0,23.5,NOTES(19) | LOW-FILL(23.5%)
christodex-alt-authors.csv,31,29,12,2,2,0,29.3,LOW-FILL(29.3%)
christodex-inquisitions.csv,138,138,26,0,1,0,22.9,LOW-FILL(22.9%)
christodex-life-of-paul.csv,61,61,26,0,1,0,29.9,LOW-FILL(29.9%)
christodex-prophets.csv,45,44,26,1,2,0,29.5,LOW-FILL(29.5%)
christodex-roman-emperors.csv,119,119,26,0,0,0,13.7,LOW-FILL(13.7%)
christodex-vampire-history.csv,63,57,26,6,1,0,17.9,LOW-FILL(17.9%)
christodex-witch-trials.csv,92,92,26,0,1,0,22.9,LOW-FILL(22.9%)
daimonologia-americas.csv,99,85,13,14,3,1,19.4,LOW-FILL(19.4%)
kindex-fraternal-orders.csv,118,92,26,26,2,0,18.6,LOW-FILL(18.6%)
kindex-roman-battles.csv,142,142,22,0,0,0,24.1,LOW-FILL(24.1%)
kindex-sacred-architecture.csv,179,179,26,0,1,0,21.2,LOW-FILL(21.2%)
kvol2-nonduality-development-timeline.csv,83,81,26,2,2,0,22.6,LOW-FILL(22.6%)
kvol2-vision-motifs.csv,10,10,26,0,0,0,15.4,LOW-FILL(15.4%)
kindex-bardiya.csv,115,75,7,40,13,0,59.4,NOTES(13) | SPARSE
kindex-indexes.csv,17,8,2,9,8,0,50.0,NOTES(8) | SPARSE
kindex-mithridates.csv,342,229,4,113,17,0,61.0,NOTES(17) | SPARSE
kindex-past-buddhas.csv,59,38,1,21,38,0,100.0,NOTES(38) | SPARSE
