Date,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs
c. 4000–2500 BCE,*Dyēus,Proto-Indo-European,Sky Father (Dyēus),"Sky, daylight, sovereignty, order","Linguistics, comparative mythology",Pontic-Caspian,"Dyaus (Vedic), Zeus (Greek), Jupiter (Roman), Tiwaz (Germanic), Zio (Norse), Dīv (Iranian)","Sky, light, paternal figure"
c. 4000–2500 BCE,*Dyēus ph₂tḗr,Proto-Indo-European,"Sky Father (""Dyēus the Father"")","Paternal authority, cosmic order","Linguistics, comparative mythology",Pontic-Caspian,"Dyaus Pitar (Vedic), Zeus Pater (Greek), Jupiter (Roman), Diespiter (Latin)","Sky, light, fatherly motif"
c. 4000–2500 BCE,*Perkʷūnos,Proto-Indo-European,Thunder God (Perkʷūnos),"Thunder, lightning, rain, oaks, stone weapon, serpent-slayer","Linguistics, comparative mythology","Pontic-Caspian, Europe","Perkūnas (Baltic), Perun (Slavic), Fjörgyn (Norse), Parjanya (Vedic), Perëndi (Albanian)","Hammer, axe, oak, chariot, serpent/dragon"
c. 3500-3000 BCE,"Ra, Re, Atum-Ra",Ancient Egyptian,Ra,"Solar deity, creator, divine kingship","Pyramid Texts, Egyptian iconography",Egypt,"Atum, Amun-Ra, Horus, Khepri","Solar disc, falcon head, boat"
c. 3500-3000 BCE,"Horus, Hr, Hor",Ancient Egyptian,Horus,"Sky, kingship, solar aspects","Egyptian texts, iconography",Egypt,"Ra, Amun-Ra, Apollo","Falcon, Eye of Horus, solar disc"
c. 3000–1500 BCE,"*Tṛḫu-ent, *Tarhunt, *Tarḫunna","Anatolian (Hittite, Luwian)","Storm God (Tarhunt, Tarḫunna)","Conquering, storm, rain",Comparative linguistics,Anatolia,"Indra (Vedic), Perkʷūnos (PIE)","Axe, chariot, lightning"
c. 3000-2000 BCE,Enlil,Sumerian,Enlil,"Air, wind, storm god, chief deity",Sumerian cuneiform texts,Mesopotamia,"Baal, Zeus, Jupiter","Crown of horns, throne"
c. 3000-2000 BCE,Anu,Sumerian/Akkadian,Anu,"Sky god, kingship, cosmic order",Sumerian/Akkadian texts,Mesopotamia,"Zeus, Jupiter, Dyaus","Crown of horns, elevated throne"
c. 2500-500 BCE,"Baal, Ba'al Hadad",Canaanite/Phoenician,Baal,"Storm, fertility, kingship","Ugaritic texts, archaeology",Levant,"Zeus, Jupiter, Thor, Indra","Bull, lightning, club"
c. 2500-500 BCE,"Amun, Amun-Ra",Ancient Egyptian,"Amun, Amun-Ra","Solar, creator, king of gods, hidden one",Egyptian religious texts,Egypt,"Zeus, Jupiter, Ra","Ram-headed, solar disc, double plumes"
c. 2500-500 BCE,"Set, Seth, Sutekh",Ancient Egyptian,Set,"Storms, chaos, desert, foreign lands",Egyptian religious texts,Egypt,"Typhon (Greek), destructive aspects of storm gods","Animal-headed (Set animal), was-scepter"
c. 2000-1000 BCE,"Teshub, Tarhunz",Hurrian/Hittite,Teshub,"Storm, bull, war",Hurrian/Hittite texts,Anatolia,"Zeus, Baal, Indra","Bull, lightning, axe"
c. 2000–1000 BCE,"Dyaus, Dyaus Pitar",Vedic Sanskrit,Sky Father (Dyaus),"Sky, daylight, paternal, cosmic order","Rigveda, comparative linguistics",India,"Dyēus (PIE), Zeus, Jupiter","Sky, bull, light"
c. 2000–1000 BCE,Parjanya,Vedic Sanskrit,Rain/Thunder God (Parjanya),"Rain, thunder, fertility","Rigveda, comparative linguistics",India,"Perkūnas, Perun, Perëndi","Clouds, rain, thunderbolt"
c. 2000-1000 BCE,Varuna,Vedic Sanskrit,Varuna,"Cosmic law, water, celestial ocean",Rigveda,India,"Ahura Mazda, Uranus, Neptune","Water, cosmic law (rta), noose"
c. 2000-500 BCE,Marduk,Babylonian,Marduk,"Storm, creator, kingship, cosmic order","Enuma Elish, Babylonian texts",Mesopotamia,"Baal, Zeus, Jupiter, Indra","Dragon-slayer, lightning"
c. 1700-500 BCE,Ahura Mazda,Zoroastrian/Avestan,Ahura Mazda,"Supreme deity, wisdom, light, creator","Avesta, Zoroastrian texts",Persia/Iran,"Zeus, Varuna, Mithra","Light, fire, winged disc"
c. 1500–500 BCE,"इन्द्र (Indra), Inra, Innara","Vedic Sanskrit, Hittite",Indra,"Storm, thunder, king of gods, serpent-slayer","Rigveda, Hittite texts","India, Anatolia","Zeus, Thor, Perun, Taranis","Vajra (thunderbolt), elephant, chariot"
c. 1500–500 BCE,"Zeus, Ζεύς, Zeus Pater, Διός (Dios), Keraunos",Greek,Zeus,"Sky, thunder, king of gods, order, lightning","Homeric epics, Greek myth",Greece,"Jupiter, Indra, Thor, Perun","Lightning bolt, eagle, throne"
c. 1500–500 BCE,"Jupiter, Iuppiter, Diespiter, Jove, Tonans",Latin/Roman,Jupiter,"Sky, thunder, king of gods, justice, oaths","Roman myth, Latin texts",Italy,"Zeus, Indra, Thor, Perun","Lightning, eagle, scepter"
