"Comprehensive Index: Hero Cults of the Steppe, Eurasian, and Hellenistic Worlds",,,,
,,,,
"With Extant Fragments, Myth Cycles, and Archaeological Evidence",,,,
,,,,
"This index catalogs the major and minor hero cults across the Greek, Thracian, Anatolian, Steppe, and related Eurasian worlds, focusing on historical reconstruction using existing literary fragments, archaeological finds, and myth cycles.",,,,
"Sources include epic cycles, inscriptions, shrine remains, votive offerings, and ancient literary references.",,,,
Citations are provided where possible.,,,,
,,,,
I. Greek Hero Cults (Mainland & Colonies),,,,
Hero/Group,Cult Center(s) & Region,Archaeological/Literary Evidence,Date (BCE),Extant Fragments / Notes
Agamemnon,Mycenae (Argolid),"Tholos tomb, shrine, votive offerings",800–400,"Shrine at Mycenae, referenced in Pausanias159"
Menelaus & Helen,Therapne (Sparta/Laconia),"Shrine, lead votives, dedications",800–400,"Menelaion excavations, lead plaques, blue limestone stela9"
Odysseus,Polis Bay (Ithaca),"Shrine, dedications",800–400,"Archaeological finds, local tradition15"
Cassandra/Alexandra,Amyklai (Laconia),"Shrine, dedications",800–400,Often conflated with local goddess Alexandra5
Pelops,Olympia (Elis),"Heroön, sacrificial altar",700–400,Cult linked to Olympic Games15
Theseus,"Athens (Attica), Delos","Heroön, festival (Theseia)",500–400,"Remains, festival, literary references5"
Oedipus,"Colonus (Attica), Thebes","Heroön, Sophoclean drama",500–400,"Cult at Colonus, Theban cycle5"
Seven Against Thebes,Argos (Peloponnese),"Shrine, festival",500–400,"Linked to epic cycle, Argive primacy6"
Heracles,"Panhellenic (esp. Thebes, Athens, Tiryns)","Heroöns, temples, dedications",800–400,"Both hero and god, widespread cult15"
Asclepius,"Epidaurus, Kos, Athens","Temples, healing sanctuaries",500–400,"Hero and god, healing rites1"
Erechtheus,Athens (Acropolis),"Shrine, invoked as Poseidon-Erechtheus",500–400,"Chthonic rituals, political significance1"
Amphiaraos,"Oropos (Attica), Thebes","Oracular sanctuary, shrine",500–400,"Healing and prophecy, Theban cycle5"
Dioskouroi (Castor & Polydeuces),"Sparta, Tarentum, Amyklai","Shrines, festivals, literary odes",700–400,"Twin heroes, also worshipped as gods57"
Melikertes-Palaimon,Isthmia (Corinthia),"Shrine, festival, literary ode (Pindar)",500–100,"Linked to Isthmian Games, Pindaric ode6"
"Idmon, Tiphys, Cyzicus, Dolops (Argonauts)","Black Sea, Asia Minor","Hero shrines, Apollonius Rhodius, local cults",300–100,"Heroization in Apollonius, local tombs7"
"II. Steppe, Thracian, and Eurasian Hero Cults",,,,
Hero/Group,Region/Tradition,Archaeological/Literary Evidence,Date (BCE/CE),Extant Fragments / Notes
Thracian Horseman,"Thrace, Balkans","Reliefs, votive stelae, tombs",400 BCE–400 CE,"Iconography, inscriptions, syncretized with Heracles4"
Orpheus,"Thrace, Greece","Orphic gold tablets, hymns, local shrines",500–200,"Orphic Hymns, myth cycles, tomb at Leibethra4"
Rhesus,"Thrace, Troad","Iliad, local cults, tomb at Troy",700–400,"Epic cycle, local heroization4"
Zalmoxis,"Dacia, Thrace","Herodotus, cave sanctuaries",500–100,"Deified king, mystery cult4"
"Scythian Kings (e.g., Anacharsis, Skyles)",Pontic Steppe,"Herodotus, burial mounds (kurgans)",600–300,"Heroized ancestors, kurgan cults"
"Amazon Queens (Penthesilea, etc.)","Pontic Steppe, Anatolia","Epic cycles, tombs at Troy, Ephesus",700–400,"Linked to Artemis cult, mythic cycles"
