"Timeline: Evolution of Tree-of-Life, Divine Figures, and Metaphysical Concepts",,,,,,
Era/Date,Tradition/Region,Key Figures & Motifs,Concept of Deity/Metaphysics,Features & Iconography,Notes,
2000–500 BCE,"Indo-Iranian, Vedic, Persian","Mitra (Vedic), Mithra (Avestan)","Dualism (Ahura Mazda vs. Angra Mainyu), cosmic order, contracts, solar mediation","Sun, bull, cosmic order","Mitra/Mithra as god of contracts, light, and mediator; part of triad with Ahura Mazda and Anahita2347",
1200–400 BCE,"Anatolia, Phrygia","Attis, Cybele","Dying and rising god, vegetation cycles","Tree, pine, bull, shepherd","Attis as consort of Cybele, linked to vegetation and rebirth9",
600 BCE–400 CE,"Persia, Roman Empire",Mithras (Mithraism),"Solar monotheism/dualism, mediator, cosmic struggle","Bull-slaying, cave, sun, banquet","Mithras as mediator (mesites), solar hero, tauroctony; sometimes part of triad (Mithra, Ahura, Anahita)2479",
500 BCE–200 CE,"India, Central Asia","Maitreya (Buddhism), Amida (Pure Land)","Future Buddha, savior, cosmic compassion; Amida as infinite light","Lotus, tree, paradise, cosmic Buddha",Maitreya as messianic figure of future enlightenment; Amida as focus of Pure Land devotion,
500 BCE–300 CE,"Hellenistic, Greco-Egyptian","Hermes, Hermes Trismegistus","Monad (The One), Nous (divine mind), Soul (psyche), hypostasis","Caduceus, staff, winged sandals, Emerald Tablet","Hermes as messenger, guide of souls; Trismegistus as syncretic sage and revealer of Hermetic wisdom68",
100 BCE–400 CE,"Greco-Roman, Hermeticism","Hermeticism, Hermetic Monad","God as Monad (absolute unity), emanation of Nous and World Soul (Psyche), trinitarian hypostasis","As above, so below, seven heavens, cosmic ascent","Hermetica articulates unity of God, divine intellect, and soul; trinitarian metaphysics68",
100 BCE–400 CE,"Greco-Roman, Syncretic","Attis, Dionysus, Mithras","Dying/rising gods, dualism, trinity (in late syncretism)","Tree, bull, vine, ecstatic rites",Dionysus and Attis as vegetation gods; trinitarian hints in mystery cults9,
100–600 CE,"Early Christianity, Gnosticism","Christ (Messiah), Logos","Trinitarianism (Father, Son, Holy Spirit), Logos as divine mind, cosmic soul","Cross/tree, shepherd, fish, vine","Christ as cosmic Logos, Good Shepherd, Tree of Life; trinitarian doctrine solidifies",
200–1200 CE,"Hermeticism, Neoplatonism","Hermes Trismegistus, Monad, Nous, Psyche","Monad (The One), Nous (divine intellect), World Soul (Psyche), hypostasis","As above, so below, cosmic ascent, trinity of hypostases","Hermetic and Neoplatonic texts elaborate on trinitarian metaphysics, ascent of soul68",
Year (approx.),Region/Tradition,Motif/System,Key Features,Iconography/Associations,Deity/Figure,Notes
4000–2000 BCE,"Ancient Near East, Neolithic Europe","Proto-World Tree, Bird-Snake Goddess","Tree as axis mundi, bird and snake motifs, fertility","Trees, snakes, birds, sometimes composite forms","Early Mother Goddesses (e.g., Asherah, Inanna, Hathor)",Bird and snake iconography widespread in Neolithic Europe and Egypt; tree as cosmic connector76
3000–1200 BCE,"Canaan, Ugarit, Egypt",Asherah/Tree of Life,"Wooden poles/trees as sacred symbols, fertility, nurturing","Trees flanked by animals (ibexes, goats, lions), pubic triangle, menorah-like trees","Asherah, Hathor, Astarte","Asherah poles and trees as symbols of the goddess, associated with fertility and cosmic order13459"
2500–1200 BCE,"Mesopotamia, Assyria",Sacred Tree of Life,"Stylized tree with nodes, crisscrossing lines, attended by genies/kings","Tree flanked by symmetrical figures, sometimes eagle-headed beings","Not named; associated with fertility, kingship","Iconography appears in palace reliefs; no direct textual evidence for ""Tree of Life"" term9"
1500–500 BCE,Vedic India,Proto-Chakra/World Axis,"Cosmic mountain/tree, elemental cycles, chakras as subtle centers","Axis mundi, lotus, tree motifs","Agni, Vayu, other deities",World tree as cosmic connector; early chakra ideas emerge within elemental cosmology6
1350–900 BCE,"Ugarit, Israel, Egypt","Asherah, Astarte, Anat","Tree or pole as goddess symbol, flanked by animals; snake and lion motifs","Tree, snake-entwined goddess, lioness, pubic triangle","Asherah, Astarte, Anat",Snake-entwined goddess motif prefigures later serpent symbolism in healing and esoteric traditions57
900–600 BCE,"Greece, Anatolia",World Tree/Axis Mundi,"Tree as cosmic connector, sacred groves","Tree flanked by animals, sometimes entwined by serpents","Gaia, Artemis, Cybele",Greek and Anatolian traditions absorb Near Eastern motifs; tree as world axis6
700 BCE–200 CE,"Central Asia, Eurasian Steppe","World Tree, Cosmic Axis","Tree connects heavens, earth, underworld; eagle and serpent motifs","Tree with birds in branches, snakes at roots; sometimes flanked by animals","Tengri, shamanic spirits","Shamanic cosmology: tree as axis mundi, eagle and serpent as mediators6"
600 BCE–400 CE,"Israel, Persia, Greco-Roman","Tree of Life, Caduceus, Brazen Serpent","Tree as symbol of life, healing, immortality; serpent entwined on staff","Tree, serpent on pole (brazen serpent), caduceus (two serpents on staff)","Moses (brazen serpent), Hermes (caduceus)",Biblical Asherah/tree motifs merge with serpent symbolism; caduceus and brazen serpent emerge97
