Attribute,Greek,"Hindu, Rigvedic",Roman,Egyptian,Persian/Avestan/Zarathustrian,"Mahayana, Vajrayana Buddhism",Japanese Buddhist,Shinto,Theravadan Buddhism,Japanese Buddhism Counterpart(s),Maya,Armenian,Israelite,Islam,Canaanite,Celtic,Norse,Chinese,Guanche,Incan,Aztec,Native American,Irish,Jain,Slavic,Sumerian,African,Yoruba,
Supreme deity creator,Zeus,"Brahman, Vishnu, Brahma, Dyaus Pita, Shiva (Shakti",Jupiter,"Ra,  Amun,  Atum",,"Adi-Buddha,  Samantabhadra,  Vajradhara, Vairocana",Dainichi Nyorai (Vairocana),"Ame-no-Minakanushi, Amaterasu-Ōmikami","Brahma, Thagyamin",Dainichi Nyorai,"Itzamná,  Hunab Ku",Aramazd,,,El,Dagda,Odin,Shangdi,Achamán,Viracocha,Ometeotl,Gitche Manitou,The Dagda,Mahavira,Perun,Anu,Olodumare,Olodumare,
Creation,"Phanes, Gaia and Uranus (Primordial deities)",Brahma (creation),"Phanes, Gaia and Uranus (Primordial deities)","Atum,  Ra,  Ptah,  Khnum",,"Adi-Buddha, Samantabhadra, Vajradhara, Vairocana (light)",,"Ame-no-Minakanushi, Izanagi and Izanami","Brahma (Hindu deity, but with a different role in Buddhist cosmology)","Dainichi Nyorai,  various creation myths","Itzamná,  Gucumatz",,,,El,Lugh,Baldur,Taiyang Shen,,Viracocha,Ometeotl,,,,Dazhbog,Enlil,Ra,"Olodumare,  Obatala",
Cosmic Force/Necessity,"Ananke (necessity, fate)","Karma (cosmic law), Rta (cosmic order)",Necessitas,"Ra,  Amun,  Atum",,"Adi-Buddha, Samantabhadra, Vajradhara, Dharmakaya",,,"The law of Karma,  the power of the Triple Gem (Buddha, Dhamma, Sangha)","Dainichi Nyorai (Cosmic Buddha),  the concept of emptiness (śūnyatā)","Itzamná,  Hunab Ku",,,,,,"Wyrd, Örlög (primordial law)",Tao,,,Teotl,Great Spirit (overall cosmic force),,Karma,Rod,Me (divine decree of cosmic law),,"Olodumare,  the supreme creator god",
Agriculture harvest,"Demeter, Dionysus","Bhumi, Lakshmi (prosperity)",Ceres,"Osiris,  Renenutet",,"Vasudhara, Bhumi Devi, local land deities",,Inari,"Phra Mae Thorani (Earth Goddess), Rice Goddess (various local names)","Inari Ōkami (god of rice and agriculture),  Toshigami (deities of the harvest)","Yum Kaax,  Ah Mun",,,,Dagon,Cernunnos,Freyr,Shennong,,,Centeotl,Corn Mother,Dagda,,Jarilo,Enkimdu,,"Oko,  Orisha Oko",
Beauty/Fertility,Aphrodite,"Krishna (youth, beauty)",Venus,"Hathor,  Isis,  Bastet,  Nephthys",,"Tara, Kurukulla, Ushnishavijaya, Sarasvati, Lakshmi, Dakinis",,,"Mae Kwan Yin, Phra Mae Thorani, Nang Kwak (Thai goddess of prosperity)","Benzaiten (goddess of beauty, music, and knowledge),  Kichijōten (goddess of beauty and happiness)","Ixchel,  Ix Tab",,,,Tammuz,,Yarilo,,,,,Baldr,,,Tammuz,Orunmila (fertility),Orunmila,"Oshun,  Yemoja",
Boundaries,Hermes (protector of boundaries),Vastu (guardian of boundaries),Terminus,"Aker,  Seth (in his role as protector of the desert)",,"Four Lokapalas, Wisdom Kings, Dharmapalas",,,"Yakkhas, guardian spirits of specific places","Shitennō (Four Heavenly Kings),  various guardian deities (Nio)","Bacabs,  Pauahtun",,,,,,Heimdall (guardian of the rainbow bridge),,,,,Masauwu (guardian of Hopi land boundaries),,,,,,"Eshu Elegbara,  the Orisha who stands at the crossroads",
Chaos,Khaos (primordial chaos),"Asat (non-being, chaos)",Chaos (primordial void),"Apep,  Seth (in his disruptive aspect)",,"Wrathful deities, Dharmapalas, Mara",,,"Mara, Asuras, ghosts (Pretas), demons","Mara (demon king),  tengu (mischievous spirits)","Ah Puch,  Seven Macaw",,,,,,"Ymir (primordial being, chaos)",,,,,"Coyote (trickster, chaos)",,,"Rod (primordial god, creator of order from chaos)",,"Nyame (Ghanaian sky deity, linked to creation from chaos)","Eshu Elegbara,  Aje (witches)",
Childbirth,Eileithyia,Parvati (motherhood),Lucina,"Hathor,  Isis,  Meskhenet,  Tawaret",,"Tara, Hariti, Jambhala",,Ko-no-Hana,"Mae Kwan Yin, Phra Mae Thorani","Kannon Bosatsu (goddess of mercy),  Jizō Bosatsu (protector of children and travelers)",Ixchel,,,,Astarte,Brigid,"Frigg, Freyja",Guan Yin,,Pachamama,Toci,White Buffalo Woman,,Medb,Lada,Ninhursag,Yemaya,"Oshun,  Yemoja",
Compassion,"Eleos, Harmonia, Eirene (as personifications of peace)","Saraswati (compassionate wisdom), Lakshmi",Pietas (compassion and duty),"Isis,  Hathor,  Ma'at",,"Avalokiteshvara, Tara, Buddhas, Bodhisattvas, Chenrezig",Kannon (Avalokiteshvara),Amaterasu-Ōmikami (sun),"Avalokiteshvara (as Mae Kwan Yin),  Buddhas (especially the historical Buddha)","Kannon Bosatsu,  Jizō Bosatsu,  all Buddhas and Bodhisattvas","Ixchel,  Itzamná",,,,,,Frigg (compassionate mother goddess),,,,,"White Buffalo Calf Woman (Lakota, compassion and peace)",,,,Inanna (compassion in certain myths),,"Obatala,  Oshun",
Constellations,Crios,Nakshatras (stars),Crius,"Nut,  Sah,  Sopdet",,"Buddhas of the Five Directions, astrological deities",,,Devas associated with stars and planets,"Myōken Bosatsu (associated with the stars),  various astrological deities","Itzamná,  Pleiades",,,,Mot,Danu,Njord,Tai Shan,,Pachamama,Xiuhtecuhtli,,Nuada,,Svarog,Enki,Shango,"Orunmila,  the Orisha of divination and wisdom",
