Timeline of Petosyris and the Origins of Hermeticism,,,,
Year (BCE/CE),Event/Development,Key Figures,Location,Narrative Description
~350-330 BCE,Petosyris serves as High Priest of Thoth,"Petosyris, his father Sishu, brother Djedthothefankh","Hermopolis Magna (Khmun), Middle Egypt","Petosyris serves as high priest during a tumultuous period in Egyptian history. His family forms a priestly dynasty devoted to Thoth, the lunar god of wisdom, writing, and magic. The Egyptian priesthood was known for secrecy and disdain for outsiders, making Petosyris's later openness to Greek influence particularly significant."
~343-332 BCE,Second Persian occupation of Egypt,Petosyris,Middle Egypt,"As inscribed in his tomb, Petosyris lived through a ""period of upheaval"" during foreign (likely Persian) occupation. Many traditional Egyptian shrines were damaged, and Petosyris personally oversaw their repair, particularly those dedicated to Thoth. This demonstrates his deep commitment to Egyptian traditions despite the changing political landscape."
332-331 BCE,Alexander the Great's conquest of Egypt,Alexander the Great,Egypt,"Alexander's conquest marks the official beginning of Hellenistic influence in Egypt, founding Alexandria in 331 BCE. This cultural shift would eventually create the conditions for the Greek-Egyptian synthesis that became Hermeticism. Petosyris likely witnessed this dramatic transition in Egyptian history."
~330-320 BCE,Construction of Petosyris's tomb,Petosyris,Tuna el-Gebel necropolis near Hermopolis,"Petosyris constructs an elaborate tomb (6m wide, 7m long) for himself, his father, brother, and eventually his son. The tomb represents a groundbreaking fusion of Egyptian and Greek elements. While the inner sanctuary maintains traditional Egyptian funerary imagery, the outer pronaos features strikingly Greek artistic styles—muscular men with six-packs, draped tunics, and figures that break the fourth wall by facing forward. This remarkably early adoption of Greek artistic influence occurs deep in the traditional heartland of the Thoth cult, 500km south of Alexandria."
~320-300 BCE,Early Ptolemaic Period begins,Ptolemy I Soter,Egypt,"As Greek rule is established, the tomb's inscriptions reveal a departure from traditional Egyptian burial concepts. The texts speak directly to visitors, urging a life of piety through ""the way of the god"" (Thoth). Petosyris's father and brother declare that serving the god is ""the good way"" that leads to ""discerning knowledge of his might"" and accessing ""the very mind of the divine."" His brother Djedthothefankh even advises visitors to ""drink till drunk"" during feast days, noting that material possessions cannot be taken to the afterlife—a stark contrast to traditional Egyptian tomb preparations."
~300-100 BCE,Pilgrimage to Petosyris's tomb begins,Greek-speaking pilgrims,Tuna el-Gebel,"The tomb becomes a site of pilgrimage, with Greek graffiti appearing in the outer pronaos. One poetic invocation reads: ""I invoke Petosyris whose corpse is underground whose soul resides in the abode of the gods wise he is reunited to wise men."" Greek-speaking visitors recognize Petosyris as a ""sophos"" (wise person/sage) worthy of invocation decades after his death. This suggests an early transfer of Egyptian priestly wisdom to Greek-speaking audiences, potentially setting the stage for Hermeticism."
~200-100 BCE,Hor Ostraca archive documents,Hor (scribe),Saqqara (catacombs of animals sacred to Thoth),"The Ostraca archive reveals documents (especially #16, #17, and #23) where a scribe named Hor petitions Thoth after spending time ""contemplating the path of Thoth"" in the temple. Hor claims to have received visions from the god in dreams and believes being on ""the way of Thoth"" provides magical protection against injustice. This parallels the ""way of the god"" described in Petosyris's tomb, suggesting a developing initiatory tradition centered on Thoth."
~100 BCE-100 CE,"Development of ""Petosyris literature""","Pseudo-Petosyris, Nechepso (""the wise"")",Alexandria and wider Greco-Roman world,"A character bearing the name ""Petosyris"" emerges as a stock figure in Hellenistic astrological literature, often paired with a wise king Nechepso. Over 100 references to these figures appear in surviving texts. While we can't definitively identify this literary Petosyris with the historical tomb owner, Greek astrologers clearly wanted to associate their teachings with him. The texts treat Petosyris with ""extreme deference bordering on worship,"" placing him alongside figures like Hermes, Abraham, Asclepius, and Orpheus."
~1-300 CE,Corpus Hermeticum development,Attributed to Hermes Trismegistus,Greco-Roman Egypt,"The core philosophical Hermetic texts emerge during this period, showing the full flowering of the Egyptian-Greek fusion first glimpsed in Petosyris's tomb. In the Hermetic texts, ""the way"" has become a fully developed path of spiritual rebirth through reverence, self-knowledge, and transition from the material world to the spiritual realm. The texts even retain the Egyptian priesthood's disdain for Greek language as ""lacking the essential inner energeia to properly communicate hermetic ideas""—despite being preserved only in Greek."
~200-400 CE,Technical Hermetica flourishes,Attributed to various figures including Petosyris,Greco-Roman world,"The astrological literature attributed to Petosyris covers topics including eclipses, comets, basic and advanced astrology, the origin of the world (said to begin at Hermopolis), the Egyptian deacons, fortune, natal astrology, life length predictions, auspicious times for conception, medical astrology, consciousness-altering plants, and numerological predictions. Understanding these forces of fate as expressed through astral power becomes central to Hermetic practice, as escape from the body trapped in fate is key to Hermetic salvation."
~300-400 CE,Secondary burials in Petosyris's tomb,Various,Tuna el-Gebel,"The tomb fills with additional burials, indicating its continued significance. Meanwhile, the region around the tomb features a massive system of catacombs housing mummified ibises and baboons (sacred to Thoth), and Greco-Roman tombs dot the area, including the famous tomb of Isidora. A sacred pilgrimage route runs near Petosyris's tomb, reinforcing the site's religious importance."
~400-500 CE,Petosyris's tomb sealed,,Tuna el-Gebel,"After being filled nearly 9 meters high with coffins, a new plaster vault is constructed within the original pillared entrance. This secondary door is filled with mud-fired bricks and plastered over, sealing the tomb until its modern rediscovery."
~500-1000 CE,"""Petosyris's Circle"" divination spreads",,Western Europe,"Numerological divination techniques attributed to Petosyris spread to Europe. These methods involve taking the value of someone's name in Greek, adding values for lunar months and days, dividing by 29 or 30, and plotting the result on ""Petosyris's Circle"" to predict outcomes. Greek manuscripts describing these techniques date back to at least 1000 BCE, representing a fascinating survival of Petosyris's wisdom into European esoteric practice."
~500-1900 CE,Sahara sands cover tomb,,Tuna el-Gebel,"The sands of the Sahara slowly encroach upon the site, eventually swallowing the tomb of Petosyris and surrounding structures. For nearly 2,000 years, this potential birthplace of Hermeticism lies hidden, preserving the dialogical inscriptions and artistic fusion that may represent the earliest proto-Hermetic texts."
Early 1900s CE,Rediscovery of Petosyris's tomb,,Tuna el-Gebel,"The tomb is discovered in a remarkably preserved state, with its unique blend of Egyptian and Greek elements intact. The coffin of Petosyris, richly inlaid with colored glass and precious stones expressing chapter 42 of the Book of Coming Forth by Day (Egyptian Book of the Dead), is recovered and displayed in the Egyptian Museum in Cairo."
1920s CE,First publication of tomb findings,,,"Academic study of the tomb begins, with scholars immediately noting the unusual nature of its inscriptions—texts that speak directly to the reader, urging a life of piety. This dialogical, didactic form parallels later Hermetic texts."
2020s CE,Renewed interest in Petosyris as possible origin of Hermeticism,Dr. Justin Sledge,,"New connections are proposed between the historical Petosyris and the development of the Hermetic tradition. The tomb inscriptions are interpreted as ""proto-Hermetic texts"" where moral, reverent living is considered ""the way of the god Thoth,"" providing access to the mind and will of the deity—tropes present in later Hermetic texts. Scholars suggest the tomb of Petosyris, its surroundings, inscriptions, and the later astrological literature should be considered collectively as part of the story of Hermeticism's origins."
