Dates Existing,BCE/CE,to,BCE/CE,Group/Heresy,Founder,Key Belief,,,,
50.0,CE,100.0,CE,Judaizers,Unknown,"Advocated adherence to Jewish law (e.g., circumcision) as necessary for Christians.",,,,
50.0,CE,100.0,CE,Simonians,Simon Magus,Early Gnostic sect; Simon claimed to be an incarnation of divine power.,,,,
50.0,CE,present,CE,Antinomianism,Various,Belief that Christians are freed from moral law by grace.,,,,
70.0,CE,100.0,CE,Nicolaitans,Unknown,Antinomian views; mentioned in Book of Revelation.,,,,
70.0,CE,200.0,CE,Docetism,Unknown,Belief that Jesus only appeared to be human.,,,,
70.0,CE,500.0,CE,Ebionites,Unknown,Denied the deity of Christ; viewed Jesus as a unique man equipped by God to be the Messiah.,,,,
80.0,CE,400.0,CE,Gnosticism,Various leaders,Complex system teaching salvation through secret knowledge.,,,,
90.0,CE,150.0,CE,Cerinthians,Cerinthus,Combined elements of Judaism with Christian beliefs.,,,,
100.0,CE,200.0,CE,Carpocratians,Carpocrates,Gnostic sect advocating libertine practices and equality of all souls.,,,,
100.0,CE,200.0,CE,Ophites,Unknown,Gnostic sect that revered the serpent from Eden as a symbol of wisdom.,,,,
100.0,CE,300.0,CE,Psilanthropism,Various,View that Jesus was merely human with no divine nature.,,,,
100.0,CE,400.0,CE,Chiliasm (Millenarianism),Various,Belief in Christ's literal 1000-year earthly reign.,,,,
100.0,CE,400.0,CE,Elcesaites,Elxai,Jewish-Christian sect emphasizing strict asceticism and secret teachings.,,,,
120.0,CE,140.0,CE,Basilideans,Basilides,Gnostic group teaching a complex cosmology and salvation through secret knowledge.,,,,
140.0,CE,200.0,CE,Valentinianism,Valentinus,Gnostic movement teaching emanations from a supreme being.,,,,
144.0,CE,300.0,CE,Marcionism,Marcion of Sinope,"Rejected Old Testament, believed in two gods (Old Testament vs. New Testament).",,,,
150.0,CE,300.0,CE,Naassenes,Unknown,Gnostic sect that revered the serpent as a symbol of divine wisdom.,,,,
150.0,CE,300.0,CE,Sethians,Unknown,Gnostic group venerating Seth (third son of Adam) as a spiritual ancestor.,,,,
155.0,CE,325.0,CE,Quartodecimanism,Polycarp (advocate),"Advocated celebrating Easter on Nisan 14, following Jewish tradition.",,,,
170.0,CE,200.0,CE,Encratites,Tatian,"Ascetic group rejecting marriage, meat, and wine.",,,,
170.0,CE,300.0,CE,Montanism,Montanus,"Emphasized prophecy, ecstatic experiences, and strict moral discipline.",,,,
180.0,CE,300.0,CE,Monarchianism,Various,Emphasized the unity of God; split into Modalistic and Dynamic branches.,,,,
190.0,CE,300.0,CE,Adoptionists,Theodotus of Byzantium,Believed Jesus was a mere man adopted as God's Son at baptism.,,,,
190.0,CE,300.0,CE,Dynamic Monarchianism (Adoptionism),Theodotus of Byzantium,"Rejected Christ's divinity, claiming He was adopted as God's Son at His baptism.",,,,
200.0,CE,300.0,CE,Modalistic Monarchianism,Sabellius,"Taught Father, Son, and Spirit were modes of one divine person, not distinct.",,,,
200.0,CE,300.0,CE,Patripassianism,Praxeas,Believed God the Father suffered on the cross.,,,,
200.0,CE,400.0,CE,Melchisedechians,Unknown,Worshiped Melchizedek as a heavenly power superior to Christ.,,,,
220.0,CE,300.0,CE,Sabellianism,Sabellius,"Denied the Trinity, taught modalism (God as one person with three modes).",,,,
230.0,CE,553.0,CE,Origenism,Origen,"Speculative theology including pre-existence of souls, universal salvation.",,,,
240.0,CE,700.0,CE,Manichaeism,Mani,"Dualistic religion combining elements of Christianity, Zoroastrianism, and Buddhism.",,,,
250.0,CE,400.0,CE,Borborites,Unknown,Gnostic sect accused of practicing ritual impurity and libertine rites.,,,,
251.0,CE,400.0,CE,Novatianism,Novatian,Refused forgiveness for Christians who lapsed during persecution.,,,,
280.0,CE,320.0,CE,Lucianists,Lucian of Antioch,Precursor to Arianism; emphasized Christ's created nature.,,,,
300.0,CE,400.0,CE,Audians,Audius,Rejected Nicene orthodoxy; adhered to anthropomorphic views of God.,,,,
300.0,CE,400.0,CE,Collyridianism,Unknown,"Worshiped Mary as a goddess, offering bread sacrifices to her.",,,,
306.0,CE,400.0,CE,Melitians,Meletius of Lycopolis,Schismatic group rejecting the authority of bishops who lapsed during persecution.,,,,
311.0,CE,600.0,CE,Donatism,Donatus Magnus,Believed only morally pure clergy could administer sacraments validly.,,,,
318.0,CE,700.0,CE,Arianism,Arius,"Denied the full divinity of Christ, claiming He was created by God.",,,,
330.0,CE,380.0,CE,Marcellians,Marcellus of Ancyra,"Denied the eternal nature of Christ's kingdom, accused of Sabellian tendencies.",,,,
340.0,CE,380.0,CE,Semi-Arianism,Various,"Compromise position that Christ was ""like"" God but not ""one in being"" with God.",,,,
340.0,CE,381.0,CE,Anomoeanism,Aetius of Antioch,"Radical form of Arianism, teaching Christ was ""unlike"" (anomoios) God in essence.",,,,
350.0,CE,380.0,CE,Homoiousians,Basil of Ancyra,"Middle position in Arian controversy, teaching Christ was ""of similar substance"" to God.",,,,
350.0,CE,380.0,CE,Macedonianism,Macedonius I of Constantinople,Denied divinity of Holy Spirit but accepted Christ's divinity.,,,,
350.0,CE,380.0,CE,Pneumatomachians,Macedonius I,"""Spirit-fighters"" who denied the divinity of the Holy Spirit.",,,,
350.0,CE,381.0,CE,"Apollinarianism, Apollinarism",Apollinaris of Laodicea,"Taught that Jesus lacked a human mind or soul, replaced by divine Logos. Taught Christ had a human body but divine mind/spirit.",,,,
360.0,CE,380.0,CE,Eunomianism,Eunomius,Extreme Arian view claiming Christ's essence was fundamentally different from God's.,,,,
360.0,CE,700.0,CE,Euchites (Messalians),Unknown,"Taught that constant prayer was the only path to salvation, rejecting sacraments.",,,,
370.0,CE,400.0,CE,Luciferians,Lucifer of Cagliari,Opposed leniency toward Arian clergy who repented after the Council of Nicea (325).,,,,
370.0,CE,500.0,CE,Priscillianism,Priscillian,Ascetic movement in Spain and Gaul.,,,,
410.0,CE,431.0,CE,Pelagianism,Pelagius,"Denied original sin, emphasized human free will and moral effort for salvation.",,,,
420.0,CE,529.0,CE,Semi-Pelagianism,John Cassian,Modified Pelagianism allowing both human will and divine grace in salvation.,,,,
428.0,CE,500.0,CE,Nestorianism,Nestorius,Separated Christ's divine and human natures into two distinct persons.,,,,
450.0,CE,500.0,CE,Eutychianism,Eutyches,"Extreme form of Monophysitism, denying Christ's human nature entirely.",,,,
450.0,CE,600.0,CE,Monophysitism,Eutyches,"Believed Christ had only one nature (divine), rejecting dual nature doctrine.",,,,
530.0,CE,600.0,CE,Three Chapters Controversy,Various figures,Dispute over writings seen as Nestorian; condemned by the Church.,,,,
630.0,CE,680.0,CE,Monothelitism,Sergius I of Constantinople,"Claimed Christ had two natures but one will. Taught that Christ had only one will (divine), not two wills (divine and human).",,,,
650.0,CE,900.0,CE,Paulicianism,Constantine of Mananali,Dualistic movement rejecting material world and Old Testament God.,,,,
726.0,CE,843.0,CE,Iconoclasm,Leo III (imperial support),"Opposed use of religious images, claiming it was idolatry.",,,,
830.0,CE,1000.0,CE,Tondrakians,Smbat of Zarehavan,Armenian dualistic sect rejecting Church hierarchy and sacraments.,,,,
950.0,CE,1500.0,CE,Bogomilism,Bogomil,Dualistic sect rejecting material world and Orthodox Church; precursor to Catharism.,,,,
1000.0,CE,1200.0,CE,Paterines,Unknown,Early name for various dualistic heretical movements in Northern Italy.,,,,
1100.0,CE,1400.0,CE,Albigensians (Cathars),Unknown,"Dualistic sect rejecting material world, sacraments, and Church authority.",,,,
1100.0,CE,1400.0,CE,Catharism,Unknown,"Dualistic movement in Southern Europe, rejected material world as evil.",,,,
1116.0,CE,1150.0,CE,Henricians,Henry of Lausanne,"Rejected Church hierarchy, sacraments, and wealth; precursor to Waldensian beliefs.",,,,
1170.0,CE,1600.0,CE,Waldensians,Peter Waldo,"Advocated poverty, preaching by laypeople, and rejection of Church authority.",,,,
1190.0,CE,1300.0,CE,Joachimism,Joachim of Fiore,Apocalyptic prophecies dividing history into three ages corresponding to Trinity.,,,,
1200.0,CE,1400.0,CE,Brethren of the Free Spirit,Unknown,Mystical movement teaching direct communication with God and freedom from moral law.,,,,
1200.0,CE,1400.0,CE,Free Spirit Movement,Unknown,Mystical movement teaching that individuals could achieve spiritual perfection and freedom from sin.,,,,
1200.0,CE,1500.0,CE,Beguines/Beghards,Unknown,Lay religious movements accused of heretical mysticism and autonomy from church authority.,,,,
1290.0,CE,1400.0,CE,Fraticelli,Various,Radical Franciscans emphasizing extreme poverty and rejecting Church wealth.,,,,
1300.0,CE,1307.0,CE,Dulcinians,Fra Dolcino,Apocalyptic movement preaching apostolic poverty and communal ownership.,,,,
1375.0,CE,1427.0,CE,Strigolniki,Karp and Nikita,Russian movement rejecting priesthood and sacraments.,,,,
1380.0,CE,1520.0,CE,Lollards,John Wycliffe,"Emphasized scripture in vernacular, criticized Church wealth and corruption.",,,,
1415.0,CE,1520.0,CE,Hussites,Jan Hus,"Precursor to Protestant Reformation, emphasized Bible authority over Church.",,,,
1419.0,CE,1452.0,CE,Taborites,Various,Radical Hussite faction advocating for social reform and violent apocalypticism.,,,,
1580.0,CE,1700.0,CE,Socinianism,Fausto Sozzini,Denied the Trinity and Christ's divinity; emphasized rationalist theology.,,,,
1640.0,CE,1800.0,CE,Jansenism,Cornelius Jansen,"Emphasized predestination, original sin, and divine grace; opposed Jesuit theology.",,,,
