Group/Heresy,Founder,Dates Existing,Key Belief
Carpocratians,Carpocrates,100-200,Gnostic sect advocating libertine practices and equality of all souls.
Ophites,Unknown,100-200,Gnostic sect that revered the serpent from Eden as a symbol of wisdom.
Psilanthropism,Various,100-300,View that Jesus was merely human with no divine nature.
Chiliasm (Millenarianism),Various,100-400,Belief in Christ's literal 1000-year earthly reign.
Elcesaites,Elxai,100-400,Jewish-Christian sect emphasizing strict asceticism and secret teachings.
Paterines,Unknown,1000-1200,Early name for various dualistic heretical movements in Northern Italy.
Albigensians (Cathars),Unknown,1100-1400,"Dualistic sect rejecting material world, sacraments, and Church authority."
Catharism,Unknown,1100-1400,"Dualistic movement in Southern Europe, rejected material world as evil."
Henricians,Henry of Lausanne,1116-1150,"Rejected Church hierarchy, sacraments, and wealth; precursor to Waldensian beliefs."
Waldensians,Peter Waldo,1170-1600,"Advocated poverty, preaching by laypeople, and rejection of Church authority."
Joachimism,Joachim of Fiore,1190-1300,Apocalyptic prophecies dividing history into three ages corresponding to Trinity.
Basilideans,Basilides,120-140,Gnostic group teaching a complex cosmology and salvation through secret knowledge.
Brethren of the Free Spirit,Unknown,1200-1400,Mystical movement teaching direct communication with God and freedom from moral law.
Free Spirit Movement,Unknown,1200-1400,Mystical movement teaching that individuals could achieve spiritual perfection and freedom from sin.
Beguines/Beghards,Unknown,1200-1500,Lay religious movements accused of heretical mysticism and autonomy from church authority.
Fraticelli,Various,1290-1400,Radical Franciscans emphasizing extreme poverty and rejecting Church wealth.
Dulcinians,Fra Dolcino,1300-1307,Apocalyptic movement preaching apostolic poverty and communal ownership.
Strigolniki,Karp and Nikita,1375-1427,Russian movement rejecting priesthood and sacraments.
Lollards,John Wycliffe,1380-1520,"Emphasized scripture in vernacular, criticized Church wealth and corruption."
Valentinianism,Valentinus,140-200,Gnostic movement teaching emanations from a supreme being.
Hussites,Jan Hus,1415-1520,"Precursor to Protestant Reformation, emphasized Bible authority over Church."
Taborites,Various,1419-1452,Radical Hussite faction advocating for social reform and violent apocalypticism.
Marcionism,Marcion of Sinope,144-300,"Rejected Old Testament, believed in two gods (Old Testament vs. New Testament)."
Naassenes,Unknown,150-300,Gnostic sect that revered the serpent as a symbol of divine wisdom.
Sethians,Unknown,150-300,Gnostic group venerating Seth (third son of Adam) as a spiritual ancestor.
Quartodecimanism,Polycarp (advocate),155-325,"Advocated celebrating Easter on Nisan 14, following Jewish tradition."
Socinianism,Fausto Sozzini,1580-1700,Denied the Trinity and Christ's divinity; emphasized rationalist theology.
Jansenism,Cornelius Jansen,1640-1800,"Emphasized predestination, original sin, and divine grace; opposed Jesuit theology."
Encratites,Tatian,170-200,"Ascetic group rejecting marriage, meat, and wine."
Montanism,Montanus,170-300,"Emphasized prophecy, ecstatic experiences, and strict moral discipline."
