"Below is a comprehensive chronological table of major and minor battles and conflicts involving the Jewish people, their ancestors, and their neighbors from the Hyksos era through the Bar Kokhba revolt. This table synthesizes biblical, archaeological, and historical sources, and includes legendary, debated, and well-attested events.",,,,
Date (approx.),Battle/Conflict/Event,Winners (bold) / Participants,Losers/Opponents,Notes/Outcome
c. 1725 BCE,Hyksos Invasion of Egypt,Hyksos,Egyptians,"Hyksos seize Lower Egypt, rule from Avaris."
c. 1570 BCE,Expulsion of the Hyksos,Thebans (Ahmose I),Hyksos,Hyksos expelled to Canaan.
c. 1273 BCE,Battle of Yahtzah,Israelites (Moses),"Sihon, King of the Amorites","Israelites defeat Sihon, take his territory (Transjordan)."
c. 1273 BCE,Battle of Edrei,Israelites (Moses),"Og, King of Bashan","Israelites defeat Og, take Bashan."
c. 1267 BCE,Battle of Jericho,Israelites (Joshua),Canaanites (Jericho),"Legendary conquest, walls fall (biblical account)6."
c. 1267 BCE,Battle of Ai,Israelites (Joshua),Canaanites (Ai),City captured by ambush (biblical account)6.
c. 1265 BCE,Battle of Gibeon,Israelites (Joshua),"Five Amorite Kings (Jerusalem, Hebron, Jarmuth, Lachish, Eglon)",Southern Canaanite coalition defeated5.
c. 1260 BCE,Battle of Waters of Merom,Israelites (Joshua),Northern Canaanite coalition,Led by King Jabin of Hazor; Israelites victorious5.
c. 1250–1200 BCE,"Conquest of Hazor, Debir, Lachish, etc.",Israelites,Canaanite city-states,"Series of city conquests (biblical account, partial archaeological support)."
c. 1200–1050 BCE,Judges’ Era Battles,Israelites and various,"Moabites, Ammonites, Midianites, Philistines, Canaanites","Cycles of oppression and deliverance (Deborah, Gideon, Samson, etc.)."
c. 1050 BCE,Battle of Ebenezer,Philistines,Israelites,Ark of the Covenant captured (1 Samuel 4).
c. 1012–965 BCE,Wars of King David,Israelites (David),"Philistines, Moabites, Ammonites, Arameans, Edomites",David expands Israelite territory5.
c. 1000 BCE,Siege of Jebus (Jerusalem),Israelites (David),Jebusites,"Jerusalem captured, becomes capital."
c. 925 BCE,Egyptian Invasion (Shishak),Egyptians (Shishak),Judah (Rehoboam),"Jerusalem plundered (1 Kings 14, 2 Chronicles 12)1."
c. 853 BCE,Battle of Qarqar,Syro-Israelite coalition,Assyrians (Shalmaneser III),King Ahab of Israel part of anti-Assyrian alliance3.
c. 841 BCE,Jehu’s Revolt,Jehu (Israelite faction),House of Ahab,"Jehu seizes throne of Israel, purges royal family."
c. 732 BCE,Assyrian Invasion of Northern Israel,Assyrians (Tiglath-Pileser III),Israel (Pekah),"Parts of Israel annexed, population exiled."
721 BCE,Fall of Samaria,Assyrians (Sargon II),Kingdom of Israel,"Northern Kingdom falls, ""Ten Lost Tribes"" exiled13."
701 BCE,Siege of Lachish,Assyrians (Sennacherib),Judah (Hezekiah),"Lachish falls, Jerusalem besieged but survives1."
701 BCE,Siege of Jerusalem,Judah (Hezekiah),Assyrians (Sennacherib),"Jerusalem survives siege, possibly due to plague or tribute1."
c. 690 BCE,Battle of Zoar,Judah (Hezekiah),Edomites,"Recorded in 2 Kings 8, 2 Chronicles 211."
c. 605 BCE,Battle of Megiddo,Egyptians (Necho II),Judah (Josiah),"Josiah killed, Judah becomes Egyptian vassal3."
605 BCE,Battle of Carchemish,Babylonians (Nebuchadnezzar II),"Egyptians, Assyrian remnants","Babylonian dominance, Judah under threat3."
601–586 BCE,Jewish–Babylonian War,Babylonians (Nebuchadnezzar II),Judah,"Series of sieges, end of Kingdom of Judah3."
597 BCE,First Siege of Jerusalem,Babylonians,Judah (Jehoiachin),"Jerusalem captured, king and elite exiled3."
587 BCE,Second Siege of Jerusalem,Babylonians,Judah (Zedekiah),"Jerusalem destroyed, Temple burned, exile13."
539 BCE,Persian conquest of Babylon,Persians (Cyrus the Great),Babylonians,Jews allowed to return to Judah3.
332 BCE,Alexander the Great’s conquest,Macedonians (Alexander),"Persians, local powers",Jerusalem surrenders peacefully.
198 BCE,Battle of Panium,Seleucids (Antiochus III),Ptolemies,Judea transferred from Ptolemaic to Seleucid control.
167–160 BCE,Maccabean Revolt,Maccabees (Hasmoneans),Seleucid Empire,Jewish independence restored (Hanukkah story)5.
63 BCE,Roman Capture of Jerusalem,Romans (Pompey),Hasmoneans,Judea becomes Roman client state1.
66–73 CE,First Jewish–Roman War,Romans,Jews (Judea),"Destruction of Second Temple, fall of Jerusalem12478."
67 CE,Battle of Beth Horon,Jews,Romans (Cestius Gallus),Roman defeat during Great Revolt8.
70 CE,Roman Siege of Jerusalem,Romans (Titus),Jews (Judea),"Second Temple destroyed, mass slaughter147."
73 CE,Siege of Masada,Romans,Jewish Zealots,Last holdout of Great Revolt falls4.
115–117 CE,Kitos War (Diaspora Revolt),Romans,Jews (Diaspora),"Jewish revolts in Egypt, Cyrene, Cyprus, Mesopotamia suppressed."
132–136 CE,Bar Kokhba Revolt,Romans,"Jews (Bar Kokhba, Judea)","Massive destruction, Jewish expulsion from Jerusalem12."
135 CE,Battle of Bethar,Romans,Jews (Bar Kokhba),"Final defeat of Bar Kokhba, end of major Jewish resistance1."
