Buddhist Numbered Lists,,,,
1.0,,,,
Element,Description,,,
The Buddha (Tathagata),The awakened one whose birth benefits all beings,,,
"Focused, undisturbed mind",A mind concentrated on a single object,,,
You (as an unrealized Buddha),The potential for awakening within each being,,,
2 Truths,,,,
Element,Description,,,
Relative/Conventional Truth (Samvrti),"The truth of worldly, conditioned phenomena",,,
Absolute/Ultimate Truth (Paramartha),"The truth of ultimate reality (emptiness, Nirvana)",,,
3 Refuges (Triple Gem),,,,
Element,Description,,,
The Buddha,The awakened teacher,,,
The Dharma,The teachings of the Buddha,,,
The Sangha,The monastic and practitioner community,,,
Tripitaka (3 Baskets),,,,
Element,Description,,,
Sutras,The discourses of the Buddha,,,
Abhidharma,Philosophical commentaries on the teachings,,,
Vinaya,Monastic rules and discipline,,,
3 Dharma Seals,,,,
Element,Description,,,
Impermanence (Anicca),All conditioned things are transient,,,
No-Self (Anatta),"No permanent, independent self exists",,,
Nirvana,Liberation from suffering,,,
3 Bodies (Trikaya),,,,
Element,Description,,,
Dharmakaya (Truth Body),"The formless, ultimate reality of Buddhahood",,,
Sambhogakaya (Bliss Body),"The celestial, blissful form of a Buddha",,,
Nirmanakaya (Emanation Body),Physical manifestations of a Buddha,,,
4 Noble Truths,,,,
Element,Description,,,
Dukkha (Suffering),The truth of suffering in existence,,,
Cause of Dukkha,Craving and ignorance as the root of suffering,,,
Cessation of Dukkha (Nirvana),The end of suffering is possible,,,
Noble Eightfold Path,The path leading to liberation,,,
5 Precepts,,,,
Element,Description,,,
Refrain from killing,Ethical conduct for lay Buddhists,,,
Refrain from stealing,Respecting others' property,,,
Refrain from sexual misconduct,Ethical behavior in relationships,,,
Refrain from lying,Truthful speech,,,
Refrain from intoxicants,Maintaining a clear mind,,,
Noble Eightfold Path,,,,
Element,Description,,,
Right View,Understanding the Four Noble Truths,,,
Right Intention,Cultivating compassion and non-harm,,,
Right Speech,"Truthful, kind, and beneficial speech",,,
Right Action,Ethical conduct (non-harming),,,
