"Historical Timeline (10,000 BCE - 1240 BCE)",,,,
Date,Event,People/Culture,Location,Description
"10,000 BCE",Migration begins after last ice age,Middle Eastern peoples,Middle East to Europe,Migration from the Middle East to Europe begins after the last ice age. (Status: needs confirmation)
5800 BCE,Ancient Celts arrive,Celts,"British Isles, Western Europe",Ancient Celts arrive in the British Isles and Western Europe from the Steppes; white skin genetics arrive in Europe with Middle Easterners and Central Asians. (Status: needs confirmation)
3600-3400 BCE,Core Yamnaya culture forms,Yamnaya people,"Mikhaylovka, lower Dnieper river, Ukraine","Research has found that Mikhaylovka, in the lower Dnieper river, Ukraine, formed the Core Yamnaya culture during this period."
3300-2600 BCE,Yamnaya/Pit Grave/Ochre Grave culture period,Yamnaya people,"Region between Southern Bug, Dniester, and Ural rivers (Pontic-Caspian steppe)","The Yamnaya culture, also known as the Pit Grave culture or Ochre Grave culture, was a late Copper Age to early Bronze Age archaeological culture of the region between the Southern Bug, Dniester, and Ural rivers (the Pontic–Caspian steppe). It was discovered by Vasily Gorodtsov following his archaeological excavations near the Donets River in 1901–1903. Its name derives from its characteristic burial tradition: Yamnaya is a Russian adjective meaning 'related to pits (yama)', as these people used to bury their dead in tumuli (kurgans) containing simple pit chambers."
2300 BCE,Earliest evidence of Hurrian presence,King Tupkish (Hurrian name),Urkesh (Tell Mozan),"The Hurrians were in the region as of the late 3rd millennium BCE. A king of Urkesh with a Hurrian name, Tupkish, was found on a clay sealing dated approximately 2300 BCE at Tell Mozan."
2100 BCE,First recorded Hurrian language inscription,King Tish-atal,Urkesh,"The first recorded inscription of the Hurrian language was of Tish-atal (approximately 21st century BCE), king of Urkesh."
1835 BCE,Migration due to famine,Jacob and family,From Canaan to Egypt,"In Biblical record, this is the time Jacob and his family migrated to Egypt due to famine in Canaan."
1781 BCE,Migration due to famine,Canaanites (including future Hyksos),From Canaan to Egypt,"Canaanites, including future Hyksos, migrated to Egypt due to famine. (Approximate date)"
1750-1650 BCE,Gradual influx of Semitic peoples,Semitic groups,Eastern Delta region of Egypt,Gradual influx of Semitic peoples into Egypt's eastern Delta region.
1638-1618 BCE,First mention of Mitanni (as Ḫabigalbat),,Babylonia,"Later on, Hurrians made up the main population of Mitanni, which was firstly known as Ḫabigalbat, at Babylonia, in two texts of the late Old Babylonian period, during the reign of Ammi-Saduqa, in low middle chronology."
