Order,Location/Region,Biblical Book(s) & Passage(s),Event/Activity,Companions (Mentioned),Approx. Latitude/Longitude,Approx. Year/Month CE,Duration,"Significance & Notes (incl. variations, Judas)"
1.0,Nazareth,Luke 1:26-38,Annunciation: Angel Gabriel announces Jesus’ birth to Mary,"Mary, Gabriel","32.697°N, 35.304°E",~6–5 BCE,Single event,Fulfillment of prophecy; divine conception. Only in Luke.
2.0,Judea (Hill Country),Luke 1:39-56,Mary visits Elizabeth (John the Baptist’s mother),"Mary, Elizabeth","~31.7°N, 35.2°E",~6–5 BCE,~3 months,Mary’s Magnificat. Only in Luke.
3.0,Bethlehem,Matthew 1:18–2:12; Luke 2:1-20,"Birth of Jesus; Angels, shepherds, Magi visit","Mary, Joseph, shepherds, Magi","31.705°N, 35.201°E",~6–4 BCE,Weeks–months,"Luke: shepherds, manger; Matthew: Magi, house."
4.0,Jerusalem,Luke 2:21-38,Presentation at the Temple; Simeon and Anna’s prophecies,"Mary, Joseph, Simeon, Anna","31.778°N, 35.235°E",~6–4 BCE,Days,"Only in Luke; fulfills law, prophetic recognition."
5.0,Bethlehem/Judea,Matthew 2:13-18,Herod’s massacre of infants; Flight to Egypt,"Mary, Joseph, Jesus","31.705°N, 35.201°E",~6–4 BCE,Days–years,Only in Matthew; fulfills prophecy.
6.0,Egypt,Matthew 2:13-15,Flight to Egypt to escape Herod’s massacre,"Mary, Joseph, Jesus","~30.033°N, 31.235°E",~6–4 BCE,Months–years,Only in Matthew; “Out of Egypt I called my son.”
7.0,Nazareth,Matthew 2:19-23; Luke 2:39-40,Return to Nazareth; Jesus’ childhood,"Mary, Joseph","32.697°N, 35.304°E",~4 BCE onward,Years,Both Gospels agree on Nazareth as home.
8.0,Jerusalem,Luke 2:41-52,Jesus at age 12 in the Temple,"Mary, Joseph, teachers","31.778°N, 35.235°E",~8 CE,Days,Only in Luke; Jesus’ awareness of divine mission.
9.0,Nazareth,Luke 2:51-52; Mark 6:3,Jesus’ youth and early adulthood as carpenter,"Mary, siblings","32.697°N, 35.304°E",~8–27 CE,~18 years,Preparation for ministry.
10.0,Jordan River,Matt 3:13-17; Mark 1:9-11; Luke 3:21-22; John 1:29-34,Baptism by John the Baptist,John the Baptist,"~31.950°N, 35.550°E",~27–29 CE,Day,"All Gospels; voice from heaven, Spirit descends."
