Period / Era,Original Form/Name (Transliteration),Language/Culture,Deity / Figure,Solar / Messianic / Syncretic Attributes,Evidence/Sources,Region,Syncretized / Related Deities / Figures,Iconography / Artistic Motifs
c. 3000–2000 BCE,–,"Minoan, Pre-Greek Aegean",(Unknown),"Fertility, wild nature, animal potency","Minoan iconography, cave art, figurines","Crete, Aegean","Proto-Pan, Great Mother, Minotaur","Horned men, animal masks, double-axe, bull motifs"
c. 2000–1500 BCE,–,"Anatolian, Thracian",(Unknown),"Chthonic fertility, wild nature, ritual madness","Cave sanctuaries, horned figurines, rock art","Anatolia, Thrace","Proto-Pan, Sabazios, Satyr-like spirits","Horned/animal-headed men, rustic processions"
c. 1200–500 BCE,"Σάτυρος (Satyros), Πάν (Pan)","Greek, Arcadian","Satyrs, Pan","Fertility, wildness, music, panic, sexuality","Homeric Hymns, Hesiod, vase paintings","Greece, Arcadia","Dionysus, Silenos, Faunus, Silvanus","Goat legs, horns, syrinx (pipes), animal skins, erect phallus"
c. 800–400 BCE,Πάν (Pan),Greek,Pan,"Nature, shepherds, fertility, music, panic, sexuality","Homeric Hymns, Herodotus, Pausanias, vase art","Arcadia, Greece","Satyrs, Silenos, Faunus, Silvanus","Goat legs, horns, syrinx, rustic scenes"
c. 500 BCE–400 CE,"Faunus, Silvanus","Latin, Roman","Faunus, Silvanus","Forests, fertility, wild nature, prophecy","Roman literature, inscriptions, statuary","Italy, Roman Empire","Pan, Silenos, Greek Satyrs","Goat horns, leafy crowns, rustic staff, animal pelts"
c. 500 BCE–400 CE,Κερνουνος (Cernunnos),"Gaulish, Celtic",Cernunnos,"Lord of animals, fertility, wealth, underworld","Pillar of the Boatmen, Gundestrup Cauldron","Gaul, Britain, Central Europe","Pan, Herne, Dis Pater, Mercury, Celtic horned gods","Antlers, torc, seated cross-legged, animals (stag, serpent)"
c. 100 BCE–400 CE,Herne (reconstructed),"Celtic, British",Herne the Hunter,"Wild hunt, forests, fertility, shamanic, underworld","Folklore, medieval chronicles, local legend",Britain,"Cernunnos, Woden/Odin, Pan","Antlers, hunter’s gear, ghostly procession, animal followers"
c. 100 BCE–400 CE,"Vosegus, Dusios, Viridios, Arduinna","Gaulish, Celtic, Roman",Local horned gods,"Forest, fertility, wild animals, protection","Inscriptions, statuary, Roman syncretism","Gaul, Germania, Britain","Cernunnos, Faunus, Pan, Silvanus","Horns/antlers, animals, rustic implements"
c. 400–1500 CE,"Herne, The Wild Huntsman","English, Germanic","Herne the Hunter, Wild Huntsman","Wild hunt, forests, death, shamanic, underworld","Medieval chronicles, folklore, Shakespeare","Britain, Germany, Scandinavia","Odin/Woden, Cernunnos, Pan, local spirits","Antlers, hunter’s attire, spectral hunt, animal followers"
c. 500–1500 CE,"Leshy, Veles, Porewit",Slavic,"Leshy, Veles, Porewit","Forest, animals, fertility, trickster, shamanic","Slavic folklore, medieval chronicles","Eastern Europe, Russia","Cernunnos, Pan, Odin, Puck","Horns, green man, animal companions, wildman motifs"
c. 1000–present,"The Green Man, Jack-in-the-Green","British, European",Green Man,"Vegetation, rebirth, wild nature, folk fertility","Church carvings, May Day festivals, folklore","Britain, Western Europe","Pan, Cernunnos, Herne, Silvanus","Leaf mask, foliage, horned/antlered motifs"
c. 1800–present,"Herne, Horned God (modern pagan)","English, Neo-Pagan","Herne, Horned God","Fertility, wildness, masculine energy, shamanic, solar","Wiccan, neo-pagan texts, Gerald Gardner, Margaret Murray","Britain, USA, global","Pan, Cernunnos, Green Man, Wiccan goddess","Antlers, animal skins, leafy crown, ritual horns"
