Index Table: Texts and Rituals Describing Sex-Related Tantric Practices in Kashmir Shaivism and Related Traditions,,,,,
Text Name,Tradition/Lineage,Year (CE),Description of Sex-Related Practices,Operations and Ritual Structure,Evidence & Citations
Tantrāloka (Abhinavagupta),"Trika, Kaula, Krama",c. 990–1015,"The most detailed exposition of Kaula sexual rites; devotes entire chapters (esp. 29, 35) to maithuna (ritualized sexual union), group rituals, left-hand (vamachara) practices, and the metaphysics of sexual energy. Describes the union of Shiva and Shakti as enacted by the yogini (initiated woman) and siddha (initiated man). Emphasizes the necessity of spiritual maturity, secrecy, and the goal of nondual realization.","Preparation: 
- Ritual purification and selection of partners (usually within a closed group of initiates).
- Invocation of deities and recitation of mantras.
Ritual: 
- Consumption of the five Ms (madya—wine, mamsa—meat, matsya—fish, mudra—grain, maithuna—sexual union).
- Sexual union is performed as a sacred act, with the woman seen as Shakti and the man as Shiva.
- Use of visualization, mudras, and mantras throughout.
- Retention or ritual use of sexual fluids as offerings.
Completion:
- Meditation on the unity of Shiva and Shakti.
- Dissolution of dualities and absorption in Bhairava consciousness.
- Secrecy and post-ritual purification.
Special Features:
- Sometimes performed in cremation grounds.
- Guru supervision is essential.
- Only for advanced practitioners capable of maintaining nondual awareness.",1236.0
Kulārṇava Tantra,Kaula,c. 1000–1200,"Core Kaula scripture; describes the five Ms and their ritual use, especially maithuna as a means of transcending social taboos and duality. Details the necessity of secrecy, the importance of the guru, and the transformative potential of sexual rites. Emphasizes the ritual as a microcosmic enactment of cosmic creation, with the union of male and female representing Shiva and Shakti.","Preparation:
- Ritual bath, mantra recitation, and creation of a sacred space (often a kula-cakra or group mandala).
Ritual:
- Consumption of taboo substances.
- Sexual union performed in a ritualized manner, often in darkness or with symbolic coverings.
- Both partners are seen as divine; the woman is worshipped as the goddess.
- Use of specific mantras, mudras, and visualizations.
Completion:
- Offering of sexual fluids (sometimes consumed or offered to fire).
- Final meditation on nonduality and the dissolution of the ego.
- Strict secrecy and post-ritual cleansing.
Special Features:
- Sometimes performed in cremation grounds or at night.
- Group rituals possible (ganachakra).",136.0
Jayadratha-yāmala,"Kaula, Krama",c. 1000–1200,"Esoteric tantric manual; contains detailed instructions for sexual rites, yogic techniques, and the use of sexual energy for spiritual ascent. Describes the worship of the goddess within the female partner, the channeling of sexual fluids, and the importance of secrecy and initiation.","Preparation:
- Ritual purification and creation of a sacred space.
- Invocation of deities and use of protective mantras.
Ritual:
- Sexual union with visualization of the goddess in the partner.
- Use of sexual fluids as offerings.
- Mantra recitation and meditative absorption.
Completion:
- Meditation on the unity of Shiva and Shakti.
- Ritual closure and purification.
Special Features:
- Sometimes includes group participation.
- Emphasis on secrecy and proper initiation.",136.0
Mālinīvijayottara Tantra,"Trika, Kaula",c. 900–950,Foundational scripture for Trika and Kaula; includes references to sexual rituals as part of advanced initiations and goddess worship. Explains the metaphysical basis for ritual union and the use of sexual energy for liberation.,"Preparation:
- Purification and mantra recitation.
Ritual:
- Sexual union as a meditative practice.
- Use of visualization and mantra.
Completion:
- Meditation on the dissolution of dualities.
Special Features:
- Only for advanced initiates.",13.0
Kaulajñāna-nirṇaya,Kaula (Matsyendranāth),c. 1000–1100,"Influential Kaula text; outlines the philosophical basis and ritual structure of Kaula practices, including sexual rites. Stresses the importance of secrecy, the role of the guru, and the necessity of viewing the partner as both goddess and teacher.","Preparation:
- Initiation and purification.
Ritual:
- Ritualized sexual union with mantra and visualization.
- Worship of the partner as goddess.
Completion:
- Meditation and ritual closure.
Special Features:
- Emphasis on secrecy and proper initiation.",136.0
Vijñāna Bhairava Tantra,Trika,c. 850–900,"Offers 112 dharanas (centering techniques), some involving sexual union and the use of sensual pleasure as a gateway to transcendence. Recommends the experience of divine bliss through sensual enjoyment as a means to realize the nondual state.","Preparation:
- Meditative focus.
Ritual:
- Sexual union or enjoyment of sensual pleasure as meditation.
Completion:
- Dissolution of duality in the experience of bliss.
Special Features:
- Internalized, meditative focus.",13.0
Netra Tantra,"Trika, Kaula",c. 800–900,Contains references to the use of sexual energy and ritual union for the attainment of spiritual powers and liberation.,"Preparation:
- Purification, mantra.
Ritual:
- Use of sexual energy in ritual context.
Completion:
- Meditation and closure.
Special Features:
- Focus on attainment of siddhis (powers).",135.0
Rudrayāmala Tantra,"Kaula, Shakta",c. 900–1200,"Cited as a source for left-hand tantric practices, including sexual rites and the use of taboo substances for spiritual transformation.","Preparation:
- Purification, creation of sacred space.
Ritual:
- Sexual union and consumption of taboo substances.
Completion:
- Meditation and ritual closure.
Special Features:
- Emphasis on secrecy and group ritual.",135.0
Additional Examples and Evidence of Known Practices,,,,,
,,,,,
"Ganachakra (Group Ritual): Often performed in cremation grounds or secluded places, involving a circle of initiates. The ritual includes consumption of the five Ms, collective mantra chanting, and ritualized sexual union among select partners. The aim is to dissolve social and personal boundaries, experience unity, and channel sexual energy for spiritual realization356.",,,,,
,,,,,
"Yogini-Vaktra Initiation: The adept receives initiation through union with a yogini (female initiate), who is both lover and guru. The energy generated during intercourse is ritually directed and meditated upon, with the goal of permanent awakening and realization of the Self as Shiva-Shakti6.",,,,,
,,,,,
"Secrecy and Eligibility: Only advanced practitioners, under the guidance of a guru, are permitted to participate. Strict secrecy is maintained to preserve the sanctity and power of the ritual36.",,,,,
,,,,,
"Symbolic Use of Sexual Fluids: In some rituals, sexual fluids are offered to the fire or consumed as a sacrament, symbolizing the unity of Shiva and Shakti and the dissolution of dualities6.",,,,,
,,,,,
"Transgression of Social Norms: The deliberate use of taboo substances and actions (e.g., alcohol, meat, sexual union outside marriage) is intended to break down conventional notions of purity and impurity, leading to spiritual liberation236.",,,,,
Summary of Ritual Details,,,,,
,,,,,
Preparation,,,,,
,,,,,
"Purification (bath, mantra, mental focus)",,,,,
,,,,,
"Creation of sacred space (mandala, altar)",,,,,
,,,,,
Selection of partners (initiates only),,,,,
,,,,,
"Invocation of deities, especially Shiva and Shakti",,,,,
,,,,,
Ritual Proper,,,,,
,,,,,
"Consumption of the five Ms (wine, meat, fish, grain, sexual union)",,,,,
,,,,,
"Ritualized sexual union, with the woman as Shakti and the man as Shiva",,,,,
,,,,,
"Use of mantras, mudras, and visualizations",,,,,
,,,,,
"Sometimes, collection and offering/consumption of sexual fluids",,,,,
,,,,,
Group participation in some cases (ganachakra),,,,,
,,,,,
Completion,,,,,
,,,,,
Meditation on the unity of Shiva and Shakti,,,,,
,,,,,
Absorption in nondual consciousness (Bhairava state),,,,,
,,,,,
"Ritual closure, purification, and maintenance of secrecy",,,,,
Citations,,,,,
,,,,,
-1 Wikipedia: Kashmir Shaivism,,,,,
-2 Internet Encyclopedia of Philosophy: Kashmiri Shaiva Philosophy,,,,,
"-3 Younus Rashid, ""Kashmiri Shaivism: A Historical Overview"" (PDF)",,,,,
-5 Wikipedia: Shaivism,,,,,
-6 AllSaivism.com: The Kaula Tradition of Shaivism,,,,,
-8 Reality Sandwich: Trika Rahasya,,,,,
,,,,,
"This table and summary provide numeric dating, expanded examples, and detailed descriptions of the structure and operations of sex-related tantric practices as found in the principal texts of Kashmir Shaivism and related Kaula traditions.",,,,,
Citations:,,,,,
https://en.wikipedia.org/wiki/Kashmir_Shaivism,,,,,
https://iep.utm.edu/kashmiri/,,,,,
https://iks.uok.edu.in/Files/3a963738-5d67-4444-aeba-edda77283c15/Journal/37ef7842-bb61-44f5-b480-16799c835691.pdf,,,,,
https://www.stillnessspeaks.com/kashmir-shaivism-primer/,,,,,
https://en.wikipedia.org/wiki/Shaivism,,,,,
https://www.allsaivism.com/articles/kaula.aspx,,,,,
https://library.oglethorpe.edu/files/2024/08/Wolter-Derek-2016-1.pdf,,,,,
https://realitysandwich.com/secrets_kashmir_shaivism/,,,,,
,,,,,
Answer from Perplexity: pplx.ai/share,,,,,
