"🕉️ Proto-Indo-European Myths, Tales, Fables, and Stories",,,,,,
Reconstructed Title,Theme/Focus,Associated Deities/Figures,Key Motifs & Cross-Cultural Parallels,Sources/Scholarly Notes,,
Creation Myth,"Cosmogony, origin of the world and social order","Manu (First Man), Yemo (Twin), Primordial Cow, Sky Father (Dyēws Ph₂tēr)","Sacrifice of the Twin by the First Man to create the world and social classes; body parts become elements (earth, sky, etc.); primordial cow provides sustenance. Parallels: Vedic (Manu & Yama), Iranian (Yima), Norse (Ymir), Roman (Remus & Romulus), Baltic (Jumis).","Lincoln, Death, War, and Sacrifice; Mallory & Adams, Encyclopedia of Indo-European Culture",,
Fire in Water,Fire hidden or born in water; hero's quest,"Apám Nápát, Agni, Vahagn","Fire deity emerging from or residing in water; hero retrieves or reveals the fire. Parallels: Vedic (Agni), Armenian (Vahagn), Celtic (Brigit), Greek (Prometheus, Hephaestus). Symbolizes paradox and transformation.","West, Indo-European Poetry and Myth; Watkins, How to Kill a Dragon",,
King and Virgin,"Divine birth, royal legitimacy, sacred lineage","Mādhāvi, Eochaid, Numitor, Sky Father","Virgin birth or miraculous conception leads to the founding of royal lines. Parallels: Roman (Rhea Silvia), Irish (Macha), Indian (Devaki). Often involves divine intervention and legitimizes rulership.","Dumézil, Mythes et dieux des Indo-Européens; Mallory & Adams",,
Dragon-Slaying Myth,Hero vs. serpent/dragon; restoration of order,"Trito (Third Hero), Vritra, Indra, Tarhunt, Zeus, Thor","Hero aided by a storm god defeats a multi-headed serpent/dragon to recover stolen cattle, water, or light. Parallels: Vedic (Indra vs. Vritra), Hittite (Tarhunt vs. Illuyanka), Greek (Zeus vs. Typhon), Norse (Thor vs. Jörmungandr), Slavic (Perun vs. Veles).","Watkins, How to Kill a Dragon; Lincoln, Myth, Cosmos, and Society",,
Death of a Son,"Tragic fate, unknowingly killing one’s child","Cú Chulainn, Hildebrand, Rostam, Sigurd","A hero or father unknowingly kills his own son, often in battle. Parallels: Irish (Cú Chulainn & Connla), Germanic (Hildebrand & Hadubrand), Iranian (Rostam & Sohrab), Norse (Sigurd). Reflects themes of fate, identity, and tragic destiny.",West; Mallory & Adams; Lincoln,,
Mead Cycle,"Quest for sacred drink, inspiration, immortality","Indra, Bragi, Odin, Divine Twins, Vāsuki, Jörmungandr","Sacred mead or soma as source of poetic inspiration, immortality, or divine power. Parallels: Norse (Odin’s mead), Vedic (Soma), Greek (nectar/ambrosia), Celtic (Awen). Often involves theft, contest, or creation of the drink.","West; Dumézil, The Stakes of the Warrior",,
Weapons Cult,"Ritual power of weapons, divine smiths, hero’s sword","Batradz, Arthur, Arjuna, Hephaestus, Wayland Smith","Magical or divine weapons, often forged by supernatural smiths. Ritual gifting, burial, or inheritance of swords. Parallels: Arthur (Excalibur), Arjuna (Gandiva), Greek (Hephaestus’ weapons), Germanic (Wayland Smith).",Mallory & Adams; West,,
Otherworld Journey,"Crossing into the afterlife, river or boundary","Charon, Hermóðr, Yama, Valkyries, Divine Twins","The soul’s journey to the afterlife involves crossing a river or boundary, often with a psychopomp (ferryman/guide). Parallels: Greek (Charon), Norse (Hermóðr, Valkyries), Vedic (Yama, Vaitarani), Celtic (Manannán).","Lincoln, Death, War, and Sacrifice; West",,
Cosmic Order,"Law, justice, and maintenance of the universe","Themis, Ṛta, Arta, Mitra, Varuna","Abstract principle of cosmic order, truth, and justice upheld by gods. Parallels: Vedic (Ṛta), Iranian (Asha/Arta), Greek (Themis, Dike), Roman (Fides). Central to ritual, morality, and kingship.","West; Dumézil, Archaic Roman Religion",,
Divine Twins,"Twin brothers, saviors, horsemen, dawn","Castor & Pollux, Aśvins, Dieva dēli, Nāsatyas","Divine twins associated with horses, rescue, healing, and the dawn. Parallels: Greek (Dioskouroi), Vedic (Aśvins), Baltic (Dieva dēli), Slavic (Divji Déci). Often sons of the Sky Father, linked to fertility and protection.",West; Mallory & Adams; Lincoln,,
,,,,,,
Simurgh and Conference of Birds,,,,,,
Date (BCE/CE),Name/Location / Source,Region/Country,Sect/Tradition,Numbered Sets / Trials / Sacred Tree,Dynasty/Ruler/Context,Notes/Significance
ca. 1000 BCE,Avesta (Saena/Simurgh),Ancient Iran,Zoroastrian,Sacred Tree: Gaokerena (Haoma Tree of Life); Simurgh as guardian; Seeds of all plants shaken from tree,"Early Achaemenid, pre-Achaemenid","Simurgh (Saena) perches on the world tree; when she flies, seeds of all healing plants scatter1011."
ca. 600 BCE,Farvardin Yasht (Avesta),Ancient Iran,Zoroastrian,Sacred Tree: Gaokerena; Simurgh as healer and guide,Median/Achaemenid,"Simurgh associated with healing, wisdom, and the world tree1011."
ca. 300 BCE – 300 CE,Pahlavi Texts (Sēnmurw),Sasanian Iran,Zoroastrian,Sacred Tree: Gaokerena; Simurgh as cosmic mediator,"Parthian, Sasanian","Sēnmurw as beneficent bird, guardian of the world tree and seeds10."
ca. 977–1010 CE,Shahnameh (Book of Kings),Greater Iran,Persian epic tradition,"Simurgh as helper in three major episodes: birth of Zal, birth of Rustam (first caesarean), healing Rustam; Sacred Tree (Alburz mountain as axis mundi)",Ghaznavid,"Simurgh raises Zal atop Alburz, aids in three heroic trials, and is linked to the cosmic tree11."
ca. 1177–1187 CE,Conference of the Birds (Attar),"Nishapur, Iran",Sufi/Islamic mysticism,"Numbered Set: 7 Valleys (Search, Love, Knowledge, Detachment, Unity, Bewilderment, Poverty & Annihilation); Numbered Birds: 30 birds reach Simurgh",Seljuk,7 allegorical valleys as spiritual trials; 30 birds (si-murgh) reach enlightenment/unity34579.
13th–17th c. CE,Persian Miniature Paintings,"Iran, Central Asia, India",Persianate arts,Depictions of Simurgh with Sacred Tree or in heroic scenes,"Ilkhanid, Timurid, Mughal","Artistic tradition visualizes Simurgh with tree and birds, often referencing earlier myths10."
Medieval period,Armenian/Georgian art (Siramarg),"Armenia, Georgia","Christian, local",Simurgh motif often with sacred tree or as guardian,"Bagratid, Georgian Kingdoms","Simurgh motif adopted in Christian iconography, often with tree of life10."
ca. 19th–20th c. CE,Modern literature and art,"Iran, diaspora","Secular, cultural","Simurgh as symbol of unity, wisdom, healing; Sacred Tree as motif","Qajar, Pahlavi, modern Iran",Simurgh revived as national/cultural icon; tree motif persists10.
"Key Numbered Sets, Trials, and Sacred Trees",,,,,,
,,,,,,
Numbered Birds:,,,,,,
Conference of the Birds - 30 birds (si-murgh) reach Simurgh at the end of the journey3459.,,,,,,
,,,,,,
Numbered Trials:,,,,,,
Conference of the Birds - 7 Valleys:,,,,,,
Search,,,,,,
Love,,,,,,
Knowledge,,,,,,
Detachment,,,,,,
Unity,,,,,,
Bewilderment,,,,,,
Poverty and Annihilation,,,,,,
(Each valley represents a spiritual trial or transformation459.),,,,,,
,,,,,,
Sacred Tree:,,,,,,
"Gaokerena (Haoma Tree of Life): Simurgh perches here; when she flies, seeds of all plants scatter, symbolizing healing and fertility1011.",,,,,,
"Tree of Knowledge / Sacred Tree of Asha: In later legends and modern retellings, Simurgh is guardian and companion of the cosmic tree, representing wisdom and the interconnectedness of all beings81011.",,,,,,
,,,,,,
Summary:,,,,,,
The Simurgh is always linked with a sacred tree (Gaokerena/Haoma/Tree of Knowledge).,,,,,,
The most famous numbered sets are the 7 Valleys (spiritual trials) and the 30 birds that reach Simurgh in Attar’s Conference of the Birds.,,,,,,
"In the Shahnameh, Simurgh aids heroes in three major trials and is associated with the cosmic mountain/tree motif.",,,,,,
These motifs persist in art and literature across centuries and cultures.,,,,,,
,,,,,,
,,,,,,
,,,,,,
Comparison Table: Major Eurasian Myths and Parables with Chapter/Verse Citations,,,,,,
Myth/Parable Name,Culture/Tradition,Core Theme/Plot,Main Figures/Deities,Chapter & Verse or Source Citation,Notes/Comparative Motifs,
Chaoskampf (Dragon-Slaying),Greek,"Zeus battles Typhon, restoring cosmic order","Zeus, Typhon","Hesiod, Theogony 820–868","Paralleled in Norse (Thor vs. Jörmungandr), Vedic (Indra vs. Vritra), Judeo-Christian (Yahweh vs. Leviathan), Egyptian (Ra vs. Apep), Chinese (Yu vs. Xiangliu)1.",
Chaoskampf (Dragon-Slaying),Norse,Thor battles the world serpent Jörmungandr,"Thor, Jörmungandr","Prose Edda, Gylfaginning 51",See above.,
Chaoskampf (Dragon-Slaying),Vedic (Indian),Indra slays serpent Vritra to release waters,"Indra, Vritra","Rigveda 1.32, 10.89",See above.,
Chaoskampf (Dragon-Slaying),Judeo-Christian,"Yahweh defeats Leviathan, symbolizing victory over chaos","Yahweh, Leviathan",Isaiah 27:1; Psalm 74:14; Job 41,See above.,
Chaoskampf (Dragon-Slaying),Egyptian,Ra battles chaos serpent Apep nightly,"Ra, Apep","Book of the Dead Spell 7, 39, 108",See above.,
Chaoskampf (Dragon-Slaying),Chinese,Yu the Great defeats the nine-headed serpent Xiangliu,"Yu the Great, Xiangliu",Classic of Mountains and Seas (Shan Hai Jing),See above.,
Ouroboros,"Egyptian, Greek, Norse","Serpent/dragon eating its own tail, symbolizing eternity and cycles","Ouroboros, Jörmungandr",Egyptian: Tomb of Tutankhamun; Greek: Chrysopoeia of Cleopatra; Norse: Prose Edda Gylfaginning 34,"Also appears in Vedic, South American mythologies1.",
Parable of the Sower,Jewish/Christian,"Seeds fall on various soils, symbolizing responses to divine message",Jesus (as storyteller),"Matthew 13:3–9, 18–23",One of many parables in the Gospels2.,
