"🕉️ Proto-Indo-European Myths, Tales, Fables, and Stories",,,,,,
Reconstructed Title,Theme/Focus,Associated Deities/Figures,Key Motifs & Cross-Cultural Parallels,Sources/Scholarly Notes,,
Creation Myth,"Cosmogony, origin of the world and social order","Manu (First Man), Yemo (Twin), Primordial Cow, Sky Father (Dyēws Ph₂tēr)","Sacrifice of the Twin by the First Man to create the world and social classes; body parts become elements (earth, sky, etc.); primordial cow provides sustenance. Parallels: Vedic (Manu & Yama), Iranian (Yima), Norse (Ymir), Roman (Remus & Romulus), Baltic (Jumis).","Lincoln, Death, War, and Sacrifice; Mallory & Adams, Encyclopedia of Indo-European Culture",,
Fire in Water,Fire hidden or born in water; hero's quest,"Apám Nápát, Agni, Vahagn","Fire deity emerging from or residing in water; hero retrieves or reveals the fire. Parallels: Vedic (Agni), Armenian (Vahagn), Celtic (Brigit), Greek (Prometheus, Hephaestus). Symbolizes paradox and transformation.","West, Indo-European Poetry and Myth; Watkins, How to Kill a Dragon",,
King and Virgin,"Divine birth, royal legitimacy, sacred lineage","Mādhāvi, Eochaid, Numitor, Sky Father","Virgin birth or miraculous conception leads to the founding of royal lines. Parallels: Roman (Rhea Silvia), Irish (Macha), Indian (Devaki). Often involves divine intervention and legitimizes rulership.","Dumézil, Mythes et dieux des Indo-Européens; Mallory & Adams",,
Dragon-Slaying Myth,Hero vs. serpent/dragon; restoration of order,"Trito (Third Hero), Vritra, Indra, Tarhunt, Zeus, Thor","Hero aided by a storm god defeats a multi-headed serpent/dragon to recover stolen cattle, water, or light. Parallels: Vedic (Indra vs. Vritra), Hittite (Tarhunt vs. Illuyanka), Greek (Zeus vs. Typhon), Norse (Thor vs. Jörmungandr), Slavic (Perun vs. Veles).","Watkins, How to Kill a Dragon; Lincoln, Myth, Cosmos, and Society",,
Death of a Son,"Tragic fate, unknowingly killing one’s child","Cú Chulainn, Hildebrand, Rostam, Sigurd","A hero or father unknowingly kills his own son, often in battle. Parallels: Irish (Cú Chulainn & Connla), Germanic (Hildebrand & Hadubrand), Iranian (Rostam & Sohrab), Norse (Sigurd). Reflects themes of fate, identity, and tragic destiny.",West; Mallory & Adams; Lincoln,,
Mead Cycle,"Quest for sacred drink, inspiration, immortality","Indra, Bragi, Odin, Divine Twins, Vāsuki, Jörmungandr","Sacred mead or soma as source of poetic inspiration, immortality, or divine power. Parallels: Norse (Odin’s mead), Vedic (Soma), Greek (nectar/ambrosia), Celtic (Awen). Often involves theft, contest, or creation of the drink.","West; Dumézil, The Stakes of the Warrior",,
Weapons Cult,"Ritual power of weapons, divine smiths, hero’s sword","Batradz, Arthur, Arjuna, Hephaestus, Wayland Smith","Magical or divine weapons, often forged by supernatural smiths. Ritual gifting, burial, or inheritance of swords. Parallels: Arthur (Excalibur), Arjuna (Gandiva), Greek (Hephaestus’ weapons), Germanic (Wayland Smith).",Mallory & Adams; West,,
Otherworld Journey,"Crossing into the afterlife, river or boundary","Charon, Hermóðr, Yama, Valkyries, Divine Twins","The soul’s journey to the afterlife involves crossing a river or boundary, often with a psychopomp (ferryman/guide). Parallels: Greek (Charon), Norse (Hermóðr, Valkyries), Vedic (Yama, Vaitarani), Celtic (Manannán).","Lincoln, Death, War, and Sacrifice; West",,
Cosmic Order,"Law, justice, and maintenance of the universe","Themis, Ṛta, Arta, Mitra, Varuna","Abstract principle of cosmic order, truth, and justice upheld by gods. Parallels: Vedic (Ṛta), Iranian (Asha/Arta), Greek (Themis, Dike), Roman (Fides). Central to ritual, morality, and kingship.","West; Dumézil, Archaic Roman Religion",,
Divine Twins,"Twin brothers, saviors, horsemen, dawn","Castor & Pollux, Aśvins, Dieva dēli, Nāsatyas","Divine twins associated with horses, rescue, healing, and the dawn. Parallels: Greek (Dioskouroi), Vedic (Aśvins), Baltic (Dieva dēli), Slavic (Divji Déci). Often sons of the Sky Father, linked to fertility and protection.",West; Mallory & Adams; Lincoln,,
,,,,,,
