Summary of Kabbalah Systems and Tree of Life Evolution,,,,,,,,,,
System/School,Era,Location,Key Texts/Figures,Sefirot/Tree of Life Features,,,,,,
Sefer Yetzirah,c. 200–600 CE,Israel/Babylonia,Sefer Yetzirah,"Ten Sefirot as numbers/emanations, no tree diagram",,,,,,
Early Kabbalah (Bahir),c. 1150–1200,Provence,Sefer ha-Bahir,"Sefirot as divine qualities, beginnings of Tree of Life arrangement",,,,,,
Spanish Kabbalah (Zohar),c. 1280–1300,Spain,"Zohar, Moses de Leon","Ten Sefirot as interconnected spheres, Tree of Life diagram formalized",,,,,,
Cordoveran Kabbalah,16th c.,Safed,Moses Cordovero,"Rational systematization, Sefirot as divine attributes, tree structure clarified",,,,,,
Lurianic Kabbalah,16th c.,Safed,"Isaac Luria, Hayyim Vital","Dynamic Sefirot, partzufim, Tzimtzum, Shevirat ha-Kelim, Tikkun Olam",,,,,,
Hasidic Kabbalah,18th c.,E. Europe,Baal Shem Tov,"Sefirot as spiritual path, focus on immanence and mystical experience",,,,,,
Hermetic Qabalah,19th–21st c.,Europe/USA,"Golden Dawn, Crowley, Scholem","Tree of Life adapted into Western occultism, comparative studies",,,,,,
Era (approx.),System/Structure,#,Elements/Chakras/Features,Colors/Associations,Deity/Key Figure(s),Source Text/Reference,Location/Region,Religious/Philosophical School,Kundalini Emphasis,Tree of Life/Related Symbols
c. 4000–2000 BCE,Proto-Eurasian Cosmology,–,"Elemental motifs, cosmic mountains, world trees, cycles",Not specified,Mythic figures,"Archaeological, mythological evidence",Pan-Eurasian,Shamanic/Animist,No specific Kundalini concept,World Tree motifs; Axis Mundi concepts
c. 3000–500 BCE,Ancient Egyptian Cosmology,–,"Elements (Earth, Air, Fire, Water, Aether), concepts of Ma'at (cosmic order), Djed pillar",Varies,"Ra, Osiris, Isis, Thoth","Pyramid Texts, Coffin Texts, Book of the Dead",Egypt,Egyptian Polytheism,No specific Kundalini concept,"Djed Pillar (stability, backbone of Osiris); possible Tree of Life precursors in symbolic representations of cosmic order"
c. 3000–500 BCE,Egyptian Djed Pillar,,,,,"Pyramid Texts, Coffin Texts",Egypt,"Djed pillar as symbol of stability, Osiris’s backbone, cosmic axis",,"Djed as vertical axis, sometimes merged with tree symbolism; possible influence on later esoteric vertical structures"
