"Below are comprehensive tables of all the major numbered lists found across the Lotus Sutra, based on the provided search results and established scholarship. These lists are central to the structure and doctrine of the sutra, appearing as parables, enumerations of beings, virtues, and doctrinal categories.",,,,
List Name / Context,Number,Items/Description,Reference Chapter(s),
Three Vehicles,3.0,"Śrāvaka, Pratyekabuddha, Bodhisattva (ultimately united as ""One Vehicle"")","Ch. 2, Ch. 3",
One Vehicle,1.0,The single Mahāyāna path to Buddhahood (unifying all previous vehicles),Ch. 2,
Four Great Hearers,4.0,"Mahākāśyapa, Subhūti, Mahāmaudgalyāyana, Mahākātyāyana","Ch. 6, Ch. 8",
Five Hundred Disciples,500.0,Arhats who receive prophecy of Buddhahood,Ch. 8,
Twelve Hundred Arhats,1200.0,Additional arhats who receive prophecy,Ch. 8,
Seven Parables,7.0,"1. Burning House
2. Prodigal Son
3. Medicinal Herbs
4. Phantom City
5. Jewel in the Garment
6. King with a Physician
7. Jeweled Stupa","Ch. 3, 4, 5, 7, 8, 16, 11",
Eight Nāga Kings,8.0,"Nanda, Upananda, Sāgara, Vāsukin, Takṣaka, Anavatapta, Manasvin, Utpalaka",Ch. 1,
Four Kings of Kinnaras,4.0,"Dharma, Sudharma, Mahādharma, Dharmadhara",Ch. 1,
Four Kings of Gandharvas,4.0,Not always individually named,Ch. 1,
Twenty Thousand Devaputras,20000.0,"Attendants of Śakra, king of the devas",Ch. 1,
Ten Directions,10.0,"The ten directions (East, South, West, North, NE, SE, SW, NW, Up, Down)",Throughout,
Eighteen Thousand Buddha Worlds,18000.0,Worlds illuminated by Buddha's light,Ch. 1,
Eighty-four Thousand Teachings,84000.0,Symbolic number for the Buddha’s vast teachings,"Ch. 3, and throughout",
Fourfold Assembly,4.0,"Bhikṣus (monks), Bhikṣuṇīs (nuns), Upāsakas (laymen), Upāsikās (laywomen)",Ch. 1,
Six Difficulties,6.0,"Difficulties in accepting, upholding, and teaching the Lotus Sutra",Ch. 11,
Five Hundred Yojanas,500.0,Distance in the parable of the Phantom City,Ch. 7,
Three Virtues,3.0,"Dharma body, wisdom, emancipation",Ch. 14,
Ten Merits,10.0,Benefits of upholding the Lotus Sutra,"Ch. 19, 21",
Twenty Benefits,20.0,Benefits of hearing and reciting the Lotus Sutra,Ch. 19,
Twenty-five Forms of Avalokiteśvara,25.0,Manifestations of Avalokiteśvara to save beings,Ch. 25,
Fourteen Malicious Acts,14.0,Sins to be avoided by practitioners,Ch. 14,
Twenty-seven Dhāraṇīs,27.0,Protective spells offered by bodhisattvas,Ch. 26,
Parable Number,Name (Common English),Brief Description,Reference Chapter,
1.0,Burning House,Father uses expedient means to save children from a burning house,Ch. 3,
2.0,Prodigal Son,Poor son gradually led to inherit his father’s wealth,Ch. 4,
3.0,Medicinal Herbs,"Rain falls equally, but plants receive it according to their nature",Ch. 5,
4.0,Phantom City,"Guide conjures an illusory city for travelers to rest, then reveals the real goal",Ch. 7,
