Current View,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence Type,Source/Details,Supports Buddha/Shakya Not in Traditional Area?,Supports Saka-Scythian Connection?,,,,,,,,,,,,,,,,,,,,,,
Archaeological (Lumbini),Ashoka pillar inscription at Lumbini (3rd c. BCE) and archaeological remains confirm Buddha’s birthplace in Lumbini (Nepal) and activity in nearby regions127.,No,No,,,,,,,,,,,,,,,,,,,,,,
Buddhist Tradition,"Early texts and legends consistently place Buddha’s birth in Lumbini, upbringing in Kapilavastu (Shakya republic, Himalayan foothills)15.",No,No,,,,,,,,,,,,,,,,,,,,,,
Earliest Historical Record,Ashoka’s 3rd c. BCE edicts mention Buddha and identify Lumbini as his birthplace3.,No,No,,,,,,,,,,,,,,,,,,,,,,
Shakya Political Structure,"The Shakya were a small, local aristocratic clan, possibly with a republican (gaṇasaṅgha) system, not a nomadic or steppe polity1.",No,No,,,,,,,,,,,,,,,,,,,,,,
Saka/Scythian Migration,"Saka-Scythians were nomadic Iranian peoples, active in Central Asia, Iran, and later northwestern India (from c. 2nd c. BCE); their main migration into India postdates the Buddha by centuries68.",No,Weak/No,,,,,,,,,,,,,,,,,,,,,,
Linguistic Evidence,The Saka spoke an Eastern Iranian language; Buddha’s clan spoke Indo-Aryan (Prakrit/Pali/Sanskrit)6.,No,No,,,,,,,,,,,,,,,,,,,,,,
Later Indo-Scythian Rule,"Saka-Scythian (Indo-Scythian) kingdoms arose in northwest India (Gandhara, Mathura) from c. 2nd c. BCE, centuries after the Buddha6.",No,Weak/No,,,,,,,,,,,,,,,,,,,,,,
Name Similarity (Shakya/Saka),"Some have speculated on a connection due to the similarity in names, but there is no scholarly or archaeological evidence supporting this6.",No,Weak/No,,,,,,,,,,,,,,,,,,,,,,
Genetic/Anthropological,No genetic or anthropological evidence links the Shakya clan to the Saka-Scythians6.,No,No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Arguments for Skepticism about Traditional Buddha/Shakya Origins and Saka-Scythian Connection,,,,,,,,,,,,,,,,,,,,,,,,,
Skeptical Argument/Observation,Details & Reasoning,,,,,,,,,,,,,,,,,,,,,,,,
