Name,Period,Teacher,School,School 2,Notes,Gender
Acrion,5th / 4th century BC,,Pythagorean,,visited by Plato,
Adrastus of Aphrodisias,2nd century AD,Aspasius (attributed),Peripatetic,,wrote commentaries on Aristotle's works and a commentary on Plato's Timaeus,
Aedesia,,,Late Academy,,,female
Aedesius,3rd / 4th century,Iamblichus Chalcidensis,Neoplatonic,Platonic,studied under Iamblichus before founding his own school in Pergamum,
Aeneas of Gaza,fl. 5th century / died c. 518,Hierocles of Alexandria,Neoplatonist,Platonic,Christian convert who studied under Hierocles,
Aenesidemus,1st century BC?,,Pyrrhonist,,"wrote a book called *Pyrrhonist Discourses* which became a central text for 
the Pyrrhonists",
Aesara,5th / 4th century BC,,Pythagorean,,"wrote On Human Nature, of which a fragment is preserved by Stobaeus",female
Aeschines of Neapolis,fl. c. 110 BC,Carneades of Carnea,New Academy,Platonic,"shared the leadership of the Academy at Athens together with Charmadas and 
Clitomachus about 110 BC",
Aeschines of Sphettus,5th / 4th century BC,Socrates,Socratic,,part of Socrates' circle and likely present at his death,
Aetius,4th century AD,,Peripatetic,,Antiochean convert to Christianity who studied in Alexandria,
Agapius,fl. 5th – 6th century,Marinus of Neapolis,Neoplatonist,Platonic,studied under Marinus of Neapolis. known for his learning,
Agathobulus,1st / 2nd century AD,,Cynic,,known for his severe asceticism and teacher of Demonax,
Agathosthenes,uncertain date,,"geographer, historian or philosopher",,"referred to by Tzetzes as his authority in matters connected with 
geography.",
Agrippa the Skeptic,1st / 2nd century AD,,Pyrrhonist,,"thought to be the creator of the ""five grounds of doubt""",
Al-Farabi,c. 872–950 CE,,Islamic Platonist,Aristotelian,First major Islamic philosopher; harmonised Plato and Aristotle; known as the 'Second Teacher' (after Aristotle); influenced Avicenna and Islamic political philosophy,
Al-Kindi,c. 801–873 CE,,Islamic Platonist,,Arab polymath; known as the 'First Arab Philosopher'; synthesised Greek philosophy (especially Neoplatonism and Aristotelianism) with Islamic theology; wrote On First Philosophy; first systematic translator and transmitter of Greek philosophy into Arabic,
Albertus Magnus,c. 1200–1280 CE,,Scholastic,Peripatetic,Dominican friar and polymath; teacher of Thomas Aquinas; first to systematically introduce Aristotelian philosophy into Latin Christendom; wrote commentaries on all of Aristotle; patron saint of natural scientists; also interested in Neoplatonism and Pseudo-Dionysius,
Albinus,fl. c. 150,Gaius the Platonist (attributed),Middle Platonist,Platonic,,
Alcibiades,450-404 BC,Socrates,Socratic,,Athenian General and Politician,
Alcinous,fl. c. 2nd century,,Middle Platonist,Platonic,,
Alcmaeon of Croton,5th / 5th century BC,Pythagoras (attributed),Pythagorean,,interested in medicine,
Aleksei Losev,1893–1988 CE,,Modern Platonist,,Russian philosopher; last great classical Russian Platonist; wrote an 8-volume History of Ancient Aesthetics; persecuted during Stalin era; specialist in Plato and Neoplatonism,
Alexamenus of Teos,5th century BC?,Socrates (attributed),Socratic,,may have been the first to write philosophical dialogues,
Alexander of Aegae,1st century AD,,Peripatetic,,tutored the emperor Nero,
Alexander of Aphrodisias,2nd / 3rd century AD,Sosigenes (attributed),Peripatetic,,influential commentator on the Corpus Aristotelicum,
Alexander Peloplaton,fl. 2nd century CE,,Middle Platonist,,Minor Middle Platonist; nicknamed 'Peloplaton' (Clay-Plato),
Alexicrates,1st / 2nd century AD,,Pythagorean,,,
Alexinus,4th / 3rd century BC,Eubulides,Megarian,,founded his own school which did not fare well,
Ambrosius Theodosius Macrobius,fl. 395 – 423,,Neoplatonist,Platonic,,
Amelius,fl. c. 250 – 300,Plotinus,Neoplatonist,Platonic,student of Plotinus who wrote voluminously,
Ammonius Hermiae,c. 440 – c. 520,Proclus Lycaeus,Neoplatonist,Platonic,,
Ammonius of Athens,fl. 1st century,,Middle Platonist,Platonic,teacher of Plutarch,
Ammonius Saccas,2nd / 3rd century AD,,Neoplatonic,Plotinus' teacher,Plotinus' teacher,
Anaxagoras,5th century BC,Anaximenes (attributed),Pluralist,,Proposed that the sun is a fiery stone; introduced nous (mind) as the ordering principle of the cosmos; teacher of Pericles and Euripides,
Anaxarchus,4th century BC,Democritus (school),Atomist,,Companion of Alexander the Great; known for equanimity in the face of pain,
Anaxilaus,1st century BC / 1st century AD,,Pythagorean,,,
Anaximander,7th / 6th century BC,Thales,Milesian,,First philosopher known to write in prose; proposed the apeiron (the indefinite) as the first principle,
Anaximenes of Miletus,6th century BC,Anaximander,Milesian,,Held that air is the primary substance underlying all things,
Androcydes,2nd century BC?,,Pythagorean,,,
Andronicus of Rhodes,1st century BC,,Peripatetic,,Edited and organised Aristotle's works into the corpus still read today; coined the term 'metaphysics',
Anne Conway,1631–1679 CE,Henry More,Cambridge Platonist,,English Platonist and metaphysician; wrote Principles of the Most Ancient and Modern Philosophy; influenced Leibniz; converted to Quakerism; first woman in the Cambridge Platonist circle,female
Anniceris,4th / 3rd century BC,Aristippus (school),Cyrenaic,,Modified Cyrenaic hedonism to allow for altruistic pleasure; redeemed Plato from slavery in Aegina,
Anonymous Theaetetus Commentator,,,Middle Platonist,,,
Anselm,1033–1109 CE,Lanfranc,Medieval Platonist,Scholastic,Archbishop of Canterbury; developed the ontological argument for God's existence; 'faith seeking understanding'; pivotal figure in Scholasticism,
Antiochus of Ascalon,c. 130 BC – 68/67 BC,Philo of Larissa; also Mnesarchus,Middle Platonist,Platonic,,
Antipater of Cyrene,4th century BC,Aristippus,Cyrenaic,,,
Antipater of Tarsus,2nd century BC,Diogenes of Babylon,Stoic,,,
Antipater of Tyre,1st century BC,Panaetius,Stoic,,,
Antiphon,c. 480–411 BCE,,Sophist,,Sophist and orator; wrote On Truth (fragment survives); argued for the natural equality of Greeks and barbarians; possibly the same as Antiphon the orator,
Antisthenes,5th / 4th century BC,Socrates; Gorgias,Cynic,,"Founder of Cynicism; held virtue alone is sufficient for happiness and that it cannot be taught, only demonstrated",
Antoninus,fl. 4th century,Sosipatra of Ephesus (mother),Neoplatonist,Platonic,,
