Prophecy,Passage,Description,Fulfillment,,,
1.0,Gen 3:15,Seed of a woman (virgin birth),Gal 4:4-5; Matt 1:18,,,
2.0,Gen 3:15,He will bruise Satan’s head,Heb 2:14; 1 John 3:8,,,
3.0,Gen 5:24,The bodily ascension to heaven illustrated,Mark 16:19,,,
4.0,Gen 9:26-27,The God of Shem will be the Son of Shem,Luke 3:36,,,
5.0,Gen 12:3,Seed of Abraham will bless all nations,Gal 3:8; Acts 3:25-26,,,
6.0,Gen 12:7,The Promise made to Abraham’s Seed,Gal 3:16,,,
7.0,Gen 14:18,A priest after the order of Melchizedek,Heb 6:20,,,
8.0,Gen 14:18,King of Peace and Righteousness,Heb 7:2,,,
9.0,Gen 14:18,The Last Supper foreshadowed,Matt 26:26-29,,,
10.0,Gen 17:19,Seed of Isaac (Gen 21:12),Rom 9:7,,,
11.0,Gen 22:8,The Lamb of God promised,John 1:29,,,
12.0,Gen 22:18,"As Isaac’s seed, will bless all nations",Gal 3:16,,,
13.0,Gen 26:2-5,The Seed of Isaac promised as the Redeemer,Heb 11:18,,,
14.0,Gen 28:12,The Bridge to heaven,John 1:51,,,
15.0,Gen 28:14,The Seed of Jacob,Luke 3:34,,,
16.0,Gen 49:10,The time of His coming,Luke 2:1-7; Gal 4:4,,,
17.0,Gen 49:10,The Seed of Judah,Luke 3:33,,,
18.0,Gen 49:10,Called Shiloh or One Sent,John 17:3,,,
19.0,Gen 49:10,Messiah to come before Judah lost identity,John 11:47-52,,,
20.0,Gen 49:10,Unto Him shall the obedience of the people be,John 10:16,,,
21.0,Ex 3:13-15,The Great “I AM”,John 4:26; 8:58,,,
22.0,Ex 12:5,A Lamb without blemish,Heb 9:14; 1 Pet 1:19,,,
23.0,Ex 12:13,The blood of the Lamb saves from wrath,Rom 5:8,,,
24.0,Ex 12:21-27,Christ is our Passover,1 Cor 5:7,,,
25.0,Ex 12:46,Not a bone of the Lamb to be broken,John 19:31-36,,,
26.0,Ex 15:2,His exaltation predicted as Yeshua,Acts 7:55-56,,,
27.0,Ex 15:11,His Character-Holiness,Luke 1:35; Acts 4:27,,,
28.0,Ex 17:6,The Spiritual Rock of Israel,1 Cor 10:4,,,
29.0,Ex 33:19,His Character-Merciful,Luke 1:72,,,
30.0,Lev 1:2-9,His sacrifice a sweet smelling savor unto God,Eph 5:2,,,
31.0,Lev 14:11,The leper cleansed-Sign to priesthood,Luke 5:12-14; Acts 6:7,,,
32.0,Lev 16:15-17,Prefigures Christ’s once-for-all death,Heb 9:7-14,,,
33.0,Lev 16:27,Suffering outside the Camp,Matt 27:33; Heb. 13:11-12,,,
34.0,Lev 17:11,The Blood-the life of the flesh,Matt 26:28; Mark 10:45,,,
35.0,Lev 17:11,It is the blood that makes atonement,Rom. 3:23-24; 1 John 1:7,,,
36.0,Lev 23:36-37,The Drink-offering: “If any man thirst”,John 7:37,,,
37.0,Num 9:12,Not a bone of Him broken,John 19:31-36,,,
38.0,Num 21:9,The serpent on a pole-Christ lifted up,John 3:14-18; 12:32,,,
39.0,Num 24:17,"Time: “I shall see him, but not now.”",John 1:14; Gal 4:4,,,
40.0,Deut 18:15,“This is of a truth that prophet”,John 6:14,,,
41.0,Deut 18:15-16,"“Had you believed Moses, you would believe me.”",John 5:45-47,,,
42.0,Deut 18:18,Sent by the Father to speak His word,John 8:28-29,,,
43.0,Deut 18:19,Whoever will not hear must bear his sin,Acts 3:22-23,,,
44.0,Deut 21:23,Cursed is he that hangs on a tree,Gal 3:10-13,,,
45.0,Joshua 5:14-15,The Captain of our salvation,Heb 2:10,,,
46.0,Ruth 4:4-10,"Christ, our kinsman, has redeemed us",Eph 1:3-7,,,
47.0,1 Sam 2:35,A Faithful Priest,"Heb. 2:17; 3:1-3, 6; 7:24-25",,,
48.0,1 Sam 2:10,Shall be an anointed King to the Lord,Matt 28:18; John 12:15,,,
49.0,2 Sam 7:12,David’s Seed,Matt 1:1,,,
50.0,2 Sam 7:13,His Kingdom is everlasting,2 Pet 1:11,,,
51.0,2 Sam 7:14a,The Son of God,Luke 1:32; Rom 1:3-4,,,
52.0,2 Sam 7:16,David’s house established forever,Luke 3:31; Rev 22:16,,,
53.0,2 Ki 2:11,The bodily ascension to heaven illustrated,Luke 24:51,,,
54.0,1 Chr 17:11,David’s Seed,Matt 1:1; 9:27,,,
55.0,1 Chr 17:12-13,To reign on David’s throne forever,Luke 1:32-33,,,
56.0,1 Chr 17:13,"“I will be His Father, He…my Son.”",Heb 1:5,,,
57.0,Job 9:32-33,Mediator between man and God,1 Tim 2:5,,,
58.0,Job 19:23-27,The Resurrection predicted,John 5:24-29,,,
59.0,Psa 2:1-3,The enmity of kings foreordained,Acts 4:25-28,,,
60.0,Psa 2:2,"To own the title, Anointed (Christ)",John 1:41; Acts 2:36,,,
61.0,Psa 2:6,His Character-Holiness,John 8:46; Rev 3:7,,,
62.0,Psa 2:6,To own the title King,Matt 2:2,,,
63.0,Psa 2:7,Declared the Beloved Son,Matt 3:17; Rom 1:4,,,
64.0,Psa 2:7-8,The Crucifixion and Resurrection intimated,Acts 13:29-33,,,
65.0,Psa 2:8-9,Rule the nations with a rod of iron,Rev 2:27; 12:5; 19:15,,,
66.0,Psa 2:12,Life comes through faith in Him,John 20:31,,,
67.0,Psa 8:2,The mouths of babes perfect His praise,Matt 21:16,,,
68.0,Psa 8:5-6,His humiliation and exaltation,Heb 2:5-9,,,
69.0,Psa 9:7-10,Judge the world in righteousness,Acts 17:31,,,
70.0,Psa 16:10,Was not to see corruption,Acts 2:31; 13:35,,,
71.0,Psa 16:9-11,Was to arise from the dead,John 20:9,,,
72.0,Psa 17:15,The resurrection predicted,Luke 24:6,,,
73.0,Psa 18:2-3,The horn of salvation,Luke 1:69-71,,,
74.0,Psa 22:1,Forsaken because of sins of others,2 Cor 5:21,,,
75.0,Psa 22:1,"“My God, my God, why have You forsaken me?”",Matt 27:46,,,
76.0,Psa 22:2,Darkness upon Calvary for three hours,Matt 27:45,,,
77.0,Psa 22:7,They shoot out the lip and shake the head,Matt 27:39-44,,,
78.0,Psa 22:8,"“He trusted in God, let Him deliver Him”",Matt 27:43,,,
79.0,Psa 22:9-10,Born the Savior,Luke 2:7,,,
80.0,Psa 22:12-13,They seek His death,John 19:6,,,
81.0,Psa 22:14,His blood poured out when they pierced His side,John 19:34,,,
82.0,Psa 22:14-15,Suffered agony on Calvary,Mark 15:34-37,,,
83.0,Psa 22:15,He thirsted,John 19:28,,,
84.0,Psa 22:16,They pierced His hands and His feet,John 19:34-37; 20:27,,,
85.0,Psa 22:17-18,Stripped Him before the stares of men,Luke 23:34-35,,,
86.0,Psa 22:18,They parted His garments,John 19:23-24,,,
87.0,Psa 22:20-21,He committed Himself to God,Luke 23:46,,,
88.0,Psa 22:20-21,Satanic power bruising the Redeemer’s heel,Heb 2:14,,,
89.0,Psa 22:22,His Resurrection declared,John 20:17,,,
90.0,Psa 22:27-28,He shall be the governor of the nations,Col 1:16,,,
91.0,Psa 22:31,“It is finished”,"John 19:30; Heb 10:10-12, 14, 18",,,
92.0,Psa 23:1,“I am the Good Shepherd”,John 10:11; 1 Pet 2:25,,,
93.0,Psa 24:3,His exaltation predicted,Acts 1:11; Phil 2:9,,,
94.0,Psa 30:3,His resurrection predicted,Acts 2:32,,,
95.0,Psa 31:5,“Into Your hands I commit my spirit”,Luke 23:46,,,
96.0,Psa 31:11,His acquaintances fled from Him,Mark 14:50,,,
97.0,Psa 31:13,They took counsel to put Him to death,Matt 27:1; John 11:53,,,
98.0,Psa 31:14-15,"“He trusted in God, let Him deliver him”",Matt 27:43,,,
99.0,Psa 34:20,Not a bone of Him broken,John 19:31-36,,,
100.0,Psa 35:11,False witnesses rose up against Him,Matt 26:59,,,
101.0,Psa 35:19,He was hated without a cause,John 15:25,,,
102.0,Psa 38:11,His friends stood afar off,Luke 23:49,,,
103.0,Psa 38:12,Enemies try to entangle Him by craft,Mark 14:1; Matt 22:15,,,
104.0,Psa 38:12-13,Silent before His accusers,Matt 27:12-14,,,
105.0,Psa 38:20,He went about doing good,Acts 10:38,,,
106.0,Psa 40:2-5,The joy of His resurrection predicted,John 20:20,,,
107.0,Psa 40:6-8,His delight-the will of the Father,John 4:34; Heb 10:5-10,,,
108.0,Psa 40:9,He was to preach the Righteousness in Israel,Matt 4:17,,,
109.0,Psa 40:14,Confronted by adversaries in the Garden,John 18:4-6,,,
110.0,Psa 41:9,Betrayed by a familiar friend,John 13:18,,,
111.0,Psa 45:2,Words of Grace come from His lips,John 1:17; Luke 4:22,,,
112.0,Psa 45:6,"To own the title, God or Elohim",Heb 1:8,,,
113.0,Psa 45:7,A special anointing by the Holy Spirit,Matt 3:16; Heb. 1:9,,,
114.0,Psa 45:7-8,Called the Christ (Messiah or Anointed),Luke 2:11,,,
115.0,Psa 45:17,His name remembered forever,Eph 1:20-21; Heb. 1:8,,,
116.0,Psa 55:12-14,"Betrayed by a friend, not an enemy",John 13:18,,,
117.0,Psa 55:15,Unrepentant death of the Betrayer,Matt 27:3-5; Acts 1:16-19,,,
118.0,Psa 68:18,To give gifts to men,Eph 4:7-16,,,
119.0,Psa 68:18,Ascended into Heaven,Luke 24:51,,,
120.0,Psa 69:4,Hated without a cause,John 15:25,,,
121.0,Psa 69:8,A stranger to own brethren,John 1:11; 7:5,,,
122.0,Psa 69:9,Zealous for the Lord’s House,John 2:17,,,
123.0,Psa 69:14-20,Messiah’s anguish of soul before crucifixion,Matt 26:36-45,,,
124.0,Psa 69:20,“My soul is exceeding sorrowful”,Matt 26:38,,,
125.0,Psa 69:21,Given vinegar in thirst,Matt 27:34,,,
126.0,Psa 69:26,The Savior given and smitten by God,John 17:4; 18:11,,,
127.0,Psa 72:10-11,Great persons were to visit Him,Matt 2:1-11,,,
128.0,Psa 72:16,The corn of wheat to fall into the Ground,John 12:24-25,,,
129.0,Psa 72:17,Belief on His name will produce offspring,John 1:12-13,,,
130.0,Psa 72:17,All nations shall be blessed by Him,Gal 3:8,,,
131.0,Psa 72:17,All nations shall call Him blessed,John 12:13; Rev 5:8-12,,,
